p 平
plwz 评论文章
plxe 平行
plxe 品行
plxf 平信
plxj 趴下
plxl 咆哮
plxo 品性
plxq 喷香
plxw 平息
plxx 平行线
plyc 喷涌
plyk 平原
plym 平阳
plyq 平移
plys 平易
plyu 平抑
plyy 平庸
plze 品质
plzi 跑着
plzj 平整
plzk 趴在
plzl 喷嘴
plzn 平展
plzq 品种
plzy 平装
pm 陪
pm, 陂
pm,g 陂
pmbf 陪伴
pmbx 平民百姓
pmcp 陪衬
pmdj 喷墨打印机
pmel 扑面而来
pmhu 陪护
pmj, 陪嫁
pmjc 陪酒
pmjj 泡沫经济
pmk 爿
pmkv 疋
pml/ 陪练
pmsi 陪送
pmsl 泡沫塑料
pmso 陪审
pmsy 陪审员
pmtg 陪同
pmw 陴
pmwn 陴
pmyi 陪
pmzb 陪葬
pmzd 旁门左道
pmzg 陪罪
pmzi 陪着
pmzk 陪在
pmzq 片面追求
pn 屏
pn, 劈
pn; 屁
pn;. 甓
pn;t 屁
pnbb 屏蔽
pnbf 屏保
pnca 劈柴
pnft 屏风
pngd 屁股
pnhp 屁话
pnih 屏
pnkh 劈开
pnmb 屏幕
pnmk 劈面
pnms 屏幕上
pnr, 譬如
pnto 劈头
pnx; 辟邪
pny 辟
pnyg 屁眼
pnyh 譬
pnyi 辟
pnyp 辟谣
pnzm 屏障
po 怕
pokb 怕苦
pol 怦
polg 怕累
polq 怦
popo 怦怦
porf 怕人
posj 怕事
posk 怕死
pown 怕
poxi 怕羞
pp 评
pp. 翩
pp.; 翩
ppaa 平平安安
ppb; 评比
ppbs 偏旁部首
ppcc 评测
ppcc 平平常常
ppcm 评出
ppda 评点
ppdd 平平淡淡
ppdi 评断
ppdl 铺平道路
ppdo 评定
ppdy 瓢泼大雨
ppfr 评分
ppg 扁
ppgf 评估
ppgg 瓶瓶罐罐
ppgj 扁
ppgn 评改
ppi 谱
ppih 袢
ppij 谱
ppj/ 评级
ppjf 评价
ppjn 评剧
ppjy 评奖
ppjy 裨将
pplh 评理
pplj 评论家
ppll 漂漂亮亮
ppll 破破烂烂
pplp 评论
pplq 评
pply 评论员
ppmm 婆婆妈妈
ppp 谝
pppi 评判
pppj 评聘
pppk 谝
pppp 翩翩
ppqg 谱曲
ppqw 翩翩起舞
pps/ 评书
ppsj 评述
ppso 评审
ppsp 评说
ppt 袍
pptn 袍
pptt 普普通通
ppw 裨
ppwh 评委会
ppwi 评为
ppwn 裨
ppwq 评委
ppww 平平稳稳
ppx 襻
ppxp 谱写
ppxq 评选
ppxr 襻
ppxx 评析
ppy 房
ppy, 房
ppyf 评优
ppyp 评语
ppyp 评议
ppyu 评阅
ppyx 飘飘欲仙
ppzc 评职称
ppzm 袍子
ppzx 平铺直叙
ppzz 批评指正
pq 篇
pq/ 繁
pq/u 繁
pqc 氕
pqcj 旁敲侧击
pqfg 篇幅
pqi 氆
pqij 氆
pqlh 贫穷落后
pqmg 篇目
pqp 犏
pqpk 犏
pqpk 篇
pqpq 篇篇
pqpz 平起平坐
pqt 牝
pqty 篷
pqu 筢
pqum 筢
pqxy 迫切需要
pqyq 迫切要求
pqz 笸
pqzl 笸
pqzy 篇章
pr 贫
prdv 盆地
prdw 庞然大物
prfo 贫富
prfr 贫乏
prg 盆
prgf 贫
prgj 番
prgs 盆
prho 贫寒
prjg 贫贱
prjs 盆景
prjy 贫瘠
prkb 贫苦
prkg 贫困
prkh 贫困户
prkx 贫困线
prkx 贫困县
prlr 判若两人
prm 鄱
prmk 贫民窟
prmn 贫民
prnp 贫农
prqd 盆腔
prqo 贫穷
prrn 贫弱
prw 貔
prw, 貔
prwr 旁若无人
prxd 怦然心动
prxw 贫血
pryg 番禺
pryh 鄱阳湖
prym 鄱阳
przj 盆栽
przl 贫嘴
przm 盆子
ps 曝
psck 拍手称快
psdh 排山倒海
psgf 曝光
pshy 颇受欢迎
psj 暴
psja 暴
psjh 拍手叫好
psml 扑朔迷离
pssj 曝
pswh 朴实无华
psxf 萍水相逢
pt 刨
ptdg 破土动工
ptdy 滂沱大雨
ptft 匍匐
ptgc 配套工程
ptgd 铺天盖地
ptgg 配套改革
ptgl 劈头盖脸
ptgm 蓬头垢面
ptj 匍
ptjn 匍
ptjs 配套技术
ptjy 普通教育
ptl 鲆
ptlm 抛头露面
ptlq 鲆
ptlz 评头论足
ptp 逄
ptpv 逄
ptpx 偏听偏信
ptpz 评头品足
pts 刨
ptsf 披头散发
ptt 狍
pttn 狍
pttq 普天同庆
ptwx 破涕为笑
ptzx 普天之下
pu 排
pu, 披
pu,g 披
pu. 拚
pu.k 拚
pu; 批
pu;t 批
puah 排
puao 拍案
pub/ 批驳
pub; 排比
pubk 排布
pubu 拼搏
pubw 排版
pubw 扑鼻
pubx 拍板
pubz 拍巴掌
puce 排斥
puck 拼成
pucl 批处理
pucl 扑哧
pucm 排除
pucm 排出
pucv 捧场
pucv 排场
pucx 排查
pucy 拼凑
pud; 排到
pudf 扑倒
pudh 排毒
pudm 排队
pudo 批斗
pudu 拍打
pudx 拍档
puf 扑
puf, 批发
pufb 批发部
pufd 捧腹
pufj 批发价
pufq 批复
pufs 批发商
puft 排风
pufy 排放
pugc 排灌
pugg 排骨
pugn 批改
pugu 披挂
puh 捧
puhb 抛荒
puhb 排行榜
puhe 排行
puhg 捧回
puhi 扑火
puhk 捧
puhl 批号
pui 拼
puig 撇
puih 拼
pujf 批件
pujh 抨击
pujj 扑救
pujp 披肩
pujt 排解
puju 排挤
pukh 抛开
pukh 撇开
pukj 扑克
puko 扑空
pul 抨
pul/ 排练
pulc 排涝
pulk 排列
pull 披露
pulq 排卵期
pulq 抨
puls 批量
pult 排卵
pum/ 拍马
pumf 拼命
pumh 拍卖会
pumj 拍卖
pumk 扑面
puml 扑灭
pump 拍马屁
pumt 排名
pumz 抛锚
pun 擗
punc 擗
pupi 批判
pupp 批评
pupu 拍拍
pupw 拍片
puqd 排球队
puqg 排遣
puqh 排球
puqj 排期
puqo 扒窃
puqq 排气
puqs 排球赛
puqu 拼抢
puqv 排起
puqy 抛弃
pur 扒
pusf 抛售
pusg 排水
push 批示
pusk 拼死
pusl 排水量
pusq 扒手
pusq 拍手
pusr 扑杀
pusu 拍摄
put 抛
put, 抛
put. 扑通
putd 扑腾
puto 排头
putu 拍拖
putx 排他性
puw 拍
puwc 排污
puwf 排位
puwn 拍
puwt 排外
puwx 抛物线
puwy 批文
pux. 拍戏
puxc 排泄
puxj 抛下
puxj 拍下
puxp 拼写
puxw 扑向
puxy 排序
puy 掊
puyc 排演
puyi 掊
puyp 批语
puyt 排印
puyu 批阅
puyy 拼音
puz; 批转
puzc 批注
puzi 捧着
puzk 排在
puzl 撇嘴
puzm 拍子
puzo 排字
puzq 排长
puzs 拍照
puzu 抛掷
puzv 捧走
puzy 批准
pv 培
pv, 坡
pv,g 坡
pvbk 坯布
pvd 堋
pvdd 堋
pvdi 坡道
pvdv 坡地
pvdy 坡度
pvgx 培根
pvj 埔
pvjn 埔
pvk 坯
pvkf 坯
pvl 坪
pvli 坯料
pvlq 坪
pvn 圮
pvnb 圮
pvtv 培土
pvw 埤
pvwn 埤
pvxb 培训班
pvxp 培训
pvyf 培养费
pvyi 培养
pvyi 培
pvym 培养皿
pvyy 培育
pvzm 坯子
pvzx 培植
pw 牌
pw; 片
pwbz 牌匾
pwc 乒
pwcj 片酬
pwdi 片断
pwdw 片段
pwfv 牌坊
pwhl 牌号
pwho 迫害
pwje 迫近
pwjf 牌价
pwjm 迫降
pwjp 迫击炮
pwky 片刻
pwl, 魄力
pwlx 牌楼
pwm 郫
pwmk 片面
pwmx 片面性
pwp 迫
pwpq 乒乓球
pwpv 迫
pwpw 乒乓
pwq; 迫切
pwqx 迫切性
pwr 皤
pwrq 皤
pwsf 迫使
pwtv 乒坛
pwv 乓
pww 魄
pwwn 片尾
pwwn 牌
pwwn 魄
pwyh 迫于
pwzm 牌子
pwzs 牌照
px 朴
px; 枇
px;t 枇
pxb; 攀比
pxd 棚
pxd. 攀登
pxdd 棚
pxdy 披星戴月
pxel 平心而论
pxf 朴
pxfm 攀附
pxgy 攀高
pxgz 培训工作
pxhd 评选活动
pxjc 培训教材
pxjq 平心静气
pxjy 品学兼优
pxl 枰
pxll 榀
pxlq 枰
pxm 杷
pxm; 杷
pxpe 攀爬
pxpx 枇杷
pxq 攀
pxqj 攀
pxrx 皮笑肉不笑
pxsh 朴素
pxso 朴实
pxsq 攀升
pxsx 平行四边形
pxtp 攀谈
pxyg 攀岩
pxze 朴质
pxzh 攀枝花
pxzm 棚子
pxzn 贫下中农
pxzx 培训中心
pxzz 皮下组织
py 旁
py, 疲
py,g 疲
py/ 冯
py/z 冯
pyb, 旁边
pybm 疲于奔命
pybt 疲惫
pydk 庞大
pyfr 疲乏
pyg. 旁观
pygh 漂洋过海
pygz 旁观者
pyh, 癖好
pyjf 疲倦
pyjn 排忧解难
pyjr 平易近人
pyjy 培养教育
pyk 庞
pyk, 庞
pykf 痞
pylb 疲劳
pylg 疲累
pymb 培养目标
pymk 剖面
pymt 剖面图
pymu 旁门
pyn 癖
pync 癖
pyo 烹
pyoo 烹
pyq 旆
pyqj 旆
pyr; 疲软
pyrc 培养人才
pyrf 旁人
pyrt 烹饪
pys 剖
pyt 庀
pytg 疲沓
pytl 旁听
pytn 庖
pytn 疱
pyw 裒
pyw; 裒
pywc 颇有微词
pyxt 旁系
pyxx 剖析
pyy, 旁
pyzm 痞子
pyzp 旁证
pyzq 烹制
pyzt 庞杂
pz 铺
pz, 铍
pz,g 铍
pzbc 破绽百出
pzby 旁征博引
pzcb 匹兹堡
pzd; 铺到
pzdq 匹敌
pzdu 铺垫
pzf 钋
pzfh 匹夫
pzg; 铺轨
pzgi 铺盖
pzi 镨
pzij 镨
pzjn 铺
pzkh 铺开
pzl 叵
pzlf 铺张浪费
pzll 铺路
pzm 钯
pzm; 钯
pzmc 铺满
pzmj 迫在眉睫
pzmk 铺面
pzpj 匹配
pzpl 铺平
pzs 镤
pzsa 铺上
pzsi 镤
pzsp 铺设
pzt 匹
pztd 平整土地
pzwf 铺位
pzxf 铺叙
pzy 锫
pzyi 锫
pzyy 抛砖引玉
pzz 钷
pzzk 铺在
pzzl 钷
pzzm 铺子
