h 和
h;bp 互补
h;bu 划拨
h;ce 划船
h;cm 划出
h;dh 轰动
h;dh 互动
h;do 划定
h;fp 互访
h;fr 划分
h;fw 划分为
h;gd 划归
h;h; 轰轰
h;hj 互惠
h;hu 互换
h;hy 划痕
h;jh 轰击
h;l; 互连
h;lj 互联
h;lm 轰隆
h;lp 互谅
h;lq 互利
h;lw 互联网
h;ml 轰鸣
h;mt 互勉
h;n 互
h;pc 互派
h;pk 划破
h;qc 划清
h;qi 划拳
h;r 轷
h;rp 互让
h;rq 轷
h;rt 轰然
h;s 划
h;sd 划时代
h;sp 互设
h;sq 划算
h;t. 互通
h;te 划艇
h;wi 互为
h;wi 划为
h;x/ 划线
h;xe 划行
h;xf 互信
h;xl 轰响
h;xx 互相
h;z; 划转
h;zg 互助
h;zg 互赠
h;zi 轰炸
ha 虎
habr 虎豹
hajy 虎将
hakl 虎口
hamu 虎门
hat 虎
hav 壑
hb 花
hb, 薅
hb,h 薅
hb/ 荭
hb/h 荭
hb; 荤
hb;j 荤
hbb, 花边
hbbw 花白
hbby 花瓣
hbc 菏
hbcb 荟萃
hbcb 花草
hbcb 荒草
hbcf 花丛
hbcj 画饼充饥
hbcy 毫不迟疑
hbcz 菏
hbdc 悔不当初
hbde 获得
hbdf 含苞待放
hbdp 荒诞
hbdq 华北地区
hbds 花旦
hbdt 花朵
hbdu 花掉
hbdv 荒地
hbdx 祸不单行
hbdy 花店
hbdy 毫不动摇
hbdz 获得者
hbe 蘅
hbed 蘅
hbem 荷尔蒙
hbet 花儿
hbf 荷
hbfh 荟
hbfi 花粉
hbfm 黑白分明
hbfn 花费
hbft 魂不附体
hbft 花
hbfx 还本付息
hbfy 荒废
hbfy 萑
hbfz 荷
hbg 茴
hbgf 花光
hbgl 茴
hbgs 互不干涉
hbgs 花岗石
hbgx 伙伴关系
hbgy 花岗岩
hbgz 互不干涉内政
hbhb 荷花
hbhd 荷花淀
hbhf 花会
hbhh 花环
hbhj 花卉
hbhz 互帮互助
hbj 葫
hbj, 花架
hbj; 花轿
hbjg 花甲
hbjh 蕻
hbjj 获救
hbjl 葫
hbjn 蕙
hbjq 花季
hbjx 花椒
hbjy 获奖
hbjz 获奖者
hbjz 花架子
hbk 薨
hbk. 薨
hbkh 花开
hbl 藿
hblb 葫芦
hbld 花脸
hbli 荷兰
hblm 藿
hblq 毫不留情
hblq 花篮
hblq 获利
hbls 花露水
hblt 活蹦乱跳
hbly 荒凉
hblz 胡编乱造
hbm 菡
hbm/ 荷马
hbmc 花名册
hbmc 荒漠
hbmo 花蜜
hbmp 荒谬
hbmx 花木
hbmy 菡
hbnt 花鸟
hbpe 花盘
hbpf 荒僻
hbpg 花圃
hbpi 花瓶
hbpn 花屏
hbpr 花盆
hbpv 荒坡
hbqf 互不侵犯
hbqg 花圈
hbqj 获取
hbqv 花去
hbqy 花旗
hbqz 花钱
hbry 好不容易
hbs 劐
hbsc 货币市场
hbsd 获胜
hbsg 荒山
hbsh 荤素
hbsj 货比三家
hbsl 花哨
hbsm 花生米
hbsq 花生
hbsr 获释
hbss 魂不守舍
hbst 花色
hbsy 花生油
hbsy 花市
hbsz 获胜者
hbsz 花式
hbt 获
hbtc 荒滩
hbtj 话不投机
hbtq 获
hbtv 花坛
hbty 荒唐
hbw/ 花纹
hbwb 荒芜
hbwy 候补委员
hbx, 花絮
hbxd 荤腥
hbxg 毫不相干
hbxp 花心
hbxq 花香
hbxq 茴香
hbxr 获悉
hbxy 虎背熊腰
hbxz 花销
hby 荒
hby, 荒
hbyb 花药
hbyc 荒淫
hbyf 含苞欲放
hbyg 花园
hbyg 荒野
hbyi 获益
hbyk 荒原
hbyl 荷叶
hbyl 蒿
hbyx 花样
hbyy 毫不犹豫
hbzc 货币政策
hbzd 货币制度
hbzg 获赠
hbzj 缓兵之计
hbzk 花在
hbzl 慌不择路
hbzq 获知
hbzs 菏泽市
hbzu 花招
hbzy 获准
hc 活
hc. 汉
hc; 汇
hca 滹
hca, 滹
hcag 海岸
hcag 河岸
hcao 海安
hcax 海岸线
hcb, 海边
hcb, 河边
hcb, 湖边
hcb/ 汇编
hcba 河北
hcba 湖北
hcba 淮北
hcbb 厚此薄彼
hcbb 汉堡包
hcbc 海滨
hcbf 汉堡
hcbh 汇报会
hcbo 活宝
hcbr 海豹
hcbu 汇报
hcbu 海拔
hcbu 海报
hcbx 滑板
hcby 汉白玉
hcby 怀才不遇
hcby 滑冰
hccc 海潮
hcck 汇成
hccm 汇出
hccp 海产品
hccv 汉城
hccw 河川
hccx 河槽
hccy 河床
hccy 海产
hcd; 河东
hcdb 浩荡
hcdc 海淀
hcdc 涵洞
hcdc 混沌
hcde 活得
hcdf 汉代
hcdh 活动
hcdi 河道
hcdi 汇兑
hcdj 海带
hcdk 浩大
hcdm 混蛋
hcdq 海淀区
hcdq 回肠荡气
hcdr 活动日
hcds 汇款单
hcdt 海岛
hcdv 海地
hcdv 河堤
hcdy 海盗
hcdy 海底
hcdz 活动中
hcet 海尔
hcf 淮
hcf/ 混纺
hcfd 汉服
hcff 活佛
hcfg 洪峰
hcfh 浍
hcfm 海防
hcfn 汇费
hcfp 洪福
hcfq 浩繁
hcft 海风
hcfy 淮
hcg 滑
hcg. 滑
hcgc 海港
hcgc 鸿沟
hcgf 湖光
hcgi 海关
hcgi 涵盖
hcgj 涸
hcgj 漶
hcgk 溷
hcgl 洄
hcgp 活该
hcgr 河谷
hcgt 海龟
hch 汗
hchb 汉化版
hchc 海涵
hchc 浩瀚
hchc 淮海
hchc 淮河
hchf 混合
hchf 汇合
hchf 汉化
hchj 活化剂
hchk 浑厚
hchw 混合物
hchx 汗
hcj 洪
hcj, 汉奸
hcja 潢
hcja 洪
hcjc 浑江
hcjf 汇集
hcjf 汇价
hcjg 活见鬼
hcjh 混进
hcjj 汇聚
hcjl 湖
hcjn 海疆
hcjp 海军
hcjq 滑稽
hcjs 瀚
hcjv 浩劫
hckc 祸从口出
hckj 汇款
hckl 海口
hckl 汉口
hcks 海口市
hckv 滑块
hcl, 活力
hcl; 滑轮
hclb 滑落
hclc 海浪
hclc 河流
hclc 洪涝
hclc 洪流
hclg 海里
hclg 海螺
hclg 河里
hclk 海陆空
hcll 海路
hcll 酣畅淋漓
hcll 活路
hclm 海陆
hclq 混乱
hcls 海量
hcly 海洛因
hcly 汇率
hcly 洪亮
hclz 好吃懒做
hcm 涵
hcm/ 海绵
hcmf 活命
hcmk 海面
hcmk 湖面
hcmq 鸿毛
hcmq 汗毛
hcmu 活门
hcmv 活埋
hcmy 鸿门宴
hcmy 涵
hcmz 汉民族
hcn 泓
hcn. 海难
hcn/ 泓
hcnd 海南岛
hcng 海内
hcng 河内
hcnj 海南
hcnj 河南
hcnj 湖南
hcnj 淮南
hcno 海宁
hcnt 海鸟
hcnt 混凝土
hcnw 海内外
hco 浣
hcok 海鸥
hcon 浣
hcp 浑
hcp; 浑
hcpc 活泼
hcpg 河畔
hcpg 湖畔
hcpj 汇票
hcpk 沪
hcpm 海平面
hcpq 浒
hcps 活菩萨
hcpu 混排
hcpv 滑坡
hcq 海
hcq/ 海
hcqa 浩
hcqj 活期
hcqx 活
hcqz 汇钱
hcrf 汉人
hcrr 混入
hcrt 浩然
hcrt 浑然
hcs 混
hcs. 海参
hcs/ 汉书
hcs; 混
hcsa 海上
hcsc 沪深
hcsf 海商法
hcsg 汗水
hcsg 海水
hcsg 洪水
hcsg 河山
hcsg 河水
hcsg 湖水
hcsj 涣散
hcsj 海事
hcso 活塞
hcsp 汗衫
hcss 活生生
hcsw 浑身
hcsy 沪市
hcsy 灏
hcsz 活受罪
hct 鸿
hctc 海滩
hctd 海豚
hctf 海棠
hctg 混同
hctg 涣
hctj 祸从天降
hctk 河套
hctl 滑铁卢
hcto 滑头
hctp 鸿
hctx 滑梯
hcw 湟
hcwb 海外版
hcwc 海湾
hcwd 汉武帝
hcwl 海味
hcwn 湟
hcwq 活物
hcwt 海外
hcwx 海王星
hcwy 汉文
hcxc 混淆
hcxd 汗腺
hcxe 滑行
hcxf 活像
hcxg 海峡
hcxi 滑翔
hcxj 河西
hcxl 海啸
hcxl 滑雪
hcxo 活性
hcxp 湖心
hcxs 海星
hcxt 海鲜
hcxw 混血
hcxw 活血
hcy 濠
hcy; 海牙
hcyb 汉英
hcyc 海洋
hcyf 海洋法
hcyg 浑圆
hcyh 海运
hcyi 涵养
hcyi 涵义
hcyj 海燕
hcyk 活页
hcyl 活跃
hcyl 濠
hcym 汉阳
hcym 淮阴
hcyp 汉语
hcyq 海洋权
hcyt 混用
hcyt 活用
hcyt 沆
hcyv 海域
hcyx 海洋学
hcyy 汗颜
hcz 河
hcza 混战
hcza 海战
hczb 海藻
hczc 浑浊
hczc 汗渍
hczc 混浊
hczg 汉中
hczg 海中
hczh 汗珠
hczi 汇总
hczi 活着
hczl 河
hczm 汉子
hczo 汉字
hczo 洪灾
hczs 洹
hczt 混杂
hczu 海蜇
hczy 汉族
hczz 横冲直撞
hd 胲
hdbj 荒诞不经
hdcd 很大程度
hdcs 活动场所
hddd 豁达大度
hddq 华东地区
hdfz 红得发紫
hdhs 患得患失
hdhs 或多或少
hdjr 黄道吉日
hdly 海底捞月
hdsh 河东狮吼
hdwl 画地为牢
hdwy 化敌为友
hdxb 邯郸学步
hdxg 好大喜功
hdxh 黑灯瞎火
hdxy 轰动效应
hdy, 胲
hdys 轰动一时
hdzx 活动中心
he 后
he/ 後
he/i 後
hear 很爱
heb, 后边
heba 后背
heba 后辈
hebb 后半部
hebh 航班
hebi 后半
hebj 后备军
hebk 很不
hebs 华而不实
hebs 哈尔滨市
hebt 后备
hebx 航标
hebx 很棒
hebx 徽标
heby 很必要
hecb 徽菜
hecd 后尘
hece 航船
heci 很差
hecn 很迟
hecq 很长
hecq 航程
hecu 后撤
hecv 后场
hed. 很对
hede 后盾
hedf 后代
hedf 很低
hedi 航道
hedk 很大
hedq 很短
hedr 很多人
hedt 很多
hefm 后防
hefy 后方
heg 徽
hega 徽
hegg 后果
hegh 行规
hegi 后盖
hegl 徊
hego 后宫
hegx 很高兴
hegy 很高
heh 行
heh, 很好
hehc 航海
hehf 行会
hehg 后患
hehg 很黑
heho 后悔
hehv 很坏
hehx 行
hej. 后劲
hej/ 后继
hejd 很简单
heje 很近
hejh 后进
hejl 行距
hejo 行家
hejp 后记
hejt 很久
hekb 航空兵
hekj 很快就
hekn 很可能
heko 很快
heko 航空
hel 后
hel; 后轮
helg 很累
helk 行列
hell 后来
hels 衡量
hely 很冷
helz 后来者
hem/ 航母
hemi 很美
hemk 后面
hemo 很慢
hemu 后门
hemx 航模
hemx 很明显
hemy 很满意
hen 很
hen. 很难
hen; 很
hend 后脑
heng 行内
henq 后年
hens 很难说
hens 后脑勺
hep 逅
hepc 徽派
hepo 后怕
hepu 后排
hepv 逅
heqb 后勤部
heqc 很清楚
heqj 后期
heqj 后勤
heql 衡器
heqn 很强
heqo 行情
herf 后人
hern 很弱
heru 很热
hery 很容易
hesc 很深
hesd 很少
hesg 衡山
hesi 行数
hesj 航速
hesj 后事
hesj 后世
hesq 后生
hesr 很受
hess 很是
hesy 徽商
hesz 很爽
het 衡
het. 后台
hetb 航天部
hetd 后腿
hetg 衡
heth 航天
heth 后天
hetj 航天局
hetn 后退
heto 后头
hetq 很甜
hety 航天员
hew 徨
hewh 徽文化
hewm 后卫
hewn 徨
hews 很晚
hex/ 航线
hex/ 后续
hexd 很小
hexe 航行
hexf 很像
hexh 很喜欢
hexo 徽学
hexr 很显然
hexw 航向
hexx 很想
hexy 很新
hey 航
heyh 航运
heyh 很远
heyk 很有
heym 后院
heym 衡阳
heys 行业
heyt 航
heyy 后裔
heyz 后遗症
hez/ 后缀
hezd 后肢
hezf 后传
hezg 后置
hezi 徽州
hezj 后者
hezo 很窄
hezq 行长
hezq 很重
hezs 很早
hezx 徽州学
hezy 很重要
hf 合
hfba 华北
hfbb 含苞
hfbf 伙伴
hfbh 会不会
hfbi 合并
hfbj 豪放不羁
hfbk 何不
hfbm 伙伴们
hfbn 合璧
hfbp 何必
hfbp 候补
hfbw 货币
hfc; 货车
hfca 会餐
hfce 货舱
hfce 货船
hfcf 何尝
hfcf 货仓
hfci 何曾
hfck 合成
hfcl 合唱
hfcm 何出
hfcs 候车室
hfct 何处
hfcv 会场
hfcv 货场
hfcx 会出现
hfd; 华东
hfdb 合订本
hfdi 货单
hfdi 华灯
hfdp 华诞
hfdq 何等
hfdv 何地
hfdz 会导致
hfec 华尔兹
hfej 华尔街
hff, 何妨
hffc 合法
hffd 合肥
hffd 化肥
hffh 合法化
hffn 会费
hffp 伙房
hfft 盒饭
hffy 何方
hfg 候
hfgb 化工部
hfgc 化工厂
hfgf 货
hfgg 华贵
hfgi 盒盖
hfgj 化工
hfgk 候
hfgl 合格率
hfgp 合格品
hfgs 盒
hfgt 会馆
hfgx 合格
hfgy 化工业
hfgz 合格证
hfh 会
hfh. 合欢
hfh. 会
hfhc 含混
hfhe 会后
hfhe 会徽
hfhf 合伙
hfhg 何患
hfhh 合欢花
hfhi 辉煌
hfhi 含糊
hfho 含恨
hfhp 会话
hfhp 行话
hfhr 合乎
hfhw 化合物
hfhy 呼风唤雨
hfi 伙
hfir 伙
hfj 华
hfj, 货架
hfjf 合金
hfjg 会见
hfjl 含金量
hfjm 合卺
hfjp 伙计
hfjp 合计
hfjr 侯爵
hfjs 候机室
hfjt 化解
hfjv 化境
hfjx 候机
hfjx 货机
hfk 颌
hfkb 何苦
hfkg 颔
hfkg 颌
hfkh 会刊
hfkh 化开
hfkj 货款
hfkj 会考
hfko 会客
hfky 何况
hfl 含
hfl 合
hfl, 合力
hfl; 货轮
hflc 含泪
hflg 华里
hflh 合理
hflk 合龙
hfls 含量
hflu 合拢
hfly 化疗
hflz 华丽
hfmk 会面
hfmp 合谋
hfmt 化名
hfn 侯
hfnd 化脓
hfnj 华南
hfnq 侯
hfnt 候鸟
hfp 辉
hfp; 辉
hfpl 货品
hfps 魂飞魄散
hfpu 合拍
hfqf 华侨
hfqi 会前
hfqj 何其
hfqo 合情
hfqo 含情
hfqt 洪福齐天
hfrf 华人
hfrs 何日
hfsa 会上
hfsc 华沙
hfsd 华盛顿
hfsd 会师
hfse 会所
hfsf 伙食
hfsg 华山
hfsj 何事
hfsk 化石
hfsl 含水量
hfso 候审
hfso 会审
hfsp 会说
hfsq 合适
hfss 何时
hfst 货色
hfsw 合身
hfsw 化身
hfsw 何首乌
hfsy 会商
hfsz 盒式
hft 化
hftf 会堂
hftg 合同
hftg 会同
hftg 伙同
hftp 会谈
hftu 货摊
hfty 鹤发童颜
hftz 合同制
hfwg 合围
hfwi 化为
hfwj 化繁为简
hfwp 何谓
hfwq 货物
hfws 会晤
hfwt 会务
hfwu 会问
hfwy 华文
hfxb 含蓄
hfxc 含羞草
hfxe 何须
hfxi 含羞
hfxj 化学家
hfxk 华夏
hfxn 化学能
hfxo 化学
hfxp 会心
hfxq 含笑
hfxq 候选
hfxr 候选人
hfxs 化学式
hfxx 化学系
hfxy 和风细雨
hfy. 何以
hfy/ 合约
hfy/ 化验
hfyb 合营
hfyc 货源
hfyg 合眼
hfyh 货运
hfyi 含义
hfyj 华严
hfyk 含有
hfyl 会员
hfym 灰飞烟灭
hfym 会阴
hfyp 会议
hfys 合影
hfys 辉映
hfyt 合用
hfyy 含意
hfyy 华裔
hfyy 会意
hfyz 合一
hfz 何
hfza 何止
hfzb 合著
hfzf 合作
hfzg 华中
hfzh 合奏
hfzi 含着
hfzk 何在
hfzl 何
hfzm 盒子
hfzn 会展
hfzp 化妆品
hfzp 会诊
hfzq 会长
hfzr 后发制人
hfzs 合作社
hfzv 会址
hfzx 货栈
hfzy 化妆
hfzy 合资
hfzy 货主
hfzy 盒装
hg 回
hgam 黑暗面
hgas 黑暗
hgaz 黑暗中
hgb 蠖
hgbb 黑板报
hgbf 蠖
hgbh 黑帮
hgbh 黑斑
hgbj 厚古薄今
hgbl 回报率
hgbn 回避
hgbr 黑豹
hgbu 回报
hgbw 黑白
hgbx 黑板
hgby 患病
hgc; 回车
hgcc 黑沉沉
hgcc 回潮
hgcg 蝗虫
hgcg 蛔虫
hgcq 回程
hgct 患处
hgd; 回到
hgda 黑点
hgdb 回荡
hgdc 黑洞
hgdd 黑洞洞
hgdg 蝴蝶
hgdg 回电
hgdi 黑道
hgdq 回答
hgds 回答说
hgdx 回档
hge 骺
hgez 骺
hgf 蛤
hgf, 黑发
hgfe 回返
hgfp 回访
hgfq 回复
hgfy 回放
hgfz 回光返照
hgfz 蛤
hgg 蛔
hggb 化干戈为玉帛
hggd 回归
hggg 回国
hggj 回过
hggk 回顾
hggl 宏观管理
hggl 蛔
hggs 圜
hggt 回过头
hggx 回归线
hghc 黑海
hghc 黑河
hghf 回合
hghg 黑黑
hghh 黑乎乎
hghm 回函
hghp 回话
hgj 虹
hgj/ 回绝
hgja 蟥
hgja 蚶
hgjb 回敬
hgjg 回见
hgjh 回击
hgjj 宏观经济
hgjl 蝴
hgjl 岵
hgjn 蟪
hgjo 回家
hgjv 虾
hgjy 回京
hgjz 虹
hgk 贿
hgkd 贿
hgko 黑客
hgkt 回馈
hgku 回扣
hglb 回落
hglc 回流
hglg 贿赂
hgli 回炉
hglj 黑龙江
hgll 回来
hglq 回笼
hgly 回廊
hglz 回
hgm/ 黑马
hgmb 黑幕
hgmd 黑名单
hgmg 回眸
hgmg 蛤蟆
hgmi 黑米
hgmn 回民
hgmq 回马枪
hgmt 黑猫
hgn. 患难
hgns 回暖
hgo 黑
hgoo 黑
hgp 患
hgpn 黑屏
hgpo 患
hgq 蚝
hgq; 蚝
hgqq 回迁
hgqv 回去
hgqz 黑钱
hgrf 黑人
hgs 幌
hgsc 回溯
hgsd 回师
hgsf 幌
hgsg 黑山
hgsh 黑社会
hgsi 回首
hgsj 回声
hgsk 黑石
hgsl 黑哨
hgsl 回收率
hgsm 回收
hgsq 回升
hgss 湖光山色
hgst 黑色
hgsw 回身
hgsy 黑市
hgsz 回收站
hgt 囫
hgte 囫
hgtf 黑体
hgtg 回帖
hgth 黑天
hgti 夥
hgtl 回头路
hgto 回头
hgtp 鹘
hgtv 黑土
hgtz 黑体字
hgw 蝗
hgwl 回味
hgwn 蝗
hgwy 好高骛远
hgx. 黑熊
hgx/ 回乡
hgx/ 黑线
hgxf 回信
hgxl 回响
hgxp 黑心
hgxx 回想
hgxy 回旋
hgxz 黑匣子
hgy 骸
hgy, 骸
hgyh 黑云
hgyi 黑烟
hgyk 患有
hgyl 回忆录
hgym 祸国殃民
hgyo 回忆
hgys 黑影
hgyy 黑夜
hgyy 回应
hgyy 回音
hgyy 黑黝黝
hgz 蚵
hgz; 回转
hgzf 后果自负
hgzg 回归祖国
hgzj 患者
hgzl 蚵
hgzm 幌子
hgzo 黑字
hgzu 回执
hgzx 悔过自新
hgzy 后顾之忧
hgzy 回族
hh 环
hha 琥
hha, 琥
hhbf 环保
hhbj 环保局
hhbk 好汉不吃眼前亏
hhbq 含糊不清
hhbu 环抱
hhcc 昏昏沉沉
hhcv 环城
hhcx 耗材
hhdd 浩浩荡荡
hhdg 耗电
hhdi 魂断
hhdl 耗电量
hhdt 环岛
hhdx 哈哈大笑
hhe 珩
hhea 珩
hhee 浑浑噩噩
hhf 耠
hhfn 耗费
hhfz 耠
hhgk 环顾
hhgn 黄花闺女
hhgz 花花公子
hhhh 红红火火
hhhh 含含糊糊
hhhl 互惠互利
hhhs 呼和浩特市
hhht 呼和浩特
hhj 璜
hhja 璜
hhjb 环节
hhjj 哼哼唧唧
hhjl 瑚
hhjn 耗尽
hhjs 环节上
hhjv 环境
hhjx 环境下
hhjz 环境中
hhk 顸
hhkf 环
hhkg 顸
hhlc 环流
hhll 轰轰烈烈
hhll 花花绿绿
hhm 邗
hhmj 后悔莫及
hhn 彗
hhn. 耗能
hhnz 彗
hhp 慧
hhp; 珲
hhph 琥珀
hhpo 慧
hhpw 魂魄
hhq 耗
hhq; 耗
hhqc 含糊其词
hhqh 环球
hhqy 欢呼雀跃
hhr/ 环绕
hhry 挥汗如雨
hhsg 环山
hhsj 耗散
hhsp 环视
hhss 耗时
hhsu 耗损
hhw 魂
hhwm 环卫
hhwn 魂
hhwq 后患无穷
hhxh 环形
hhxs 彗星
hhxs 环形山
hhxx 欢欢喜喜
hhyc 环游
hhyg 慧眼
hhyk 挥霍一空
hhym 赫赫有名
hhyo 环宇
hhyq 后会有期
hhys 昏昏欲睡
hhyt 耗用
hhyy 花好月圆
hhzm 耗子
hhzx 怀恨在心
hhzy 耗资
hhzz 慌慌张张
hi 火
hibi 火爆
hibi 烘焙
hibu 火把
hic; 火车
hica 火柴
hicv 火场
hicy 火成岩
hicz 火车站
hidc 火电厂
hidg 火电
hidv 火堆
hidz 火电站
hif 烩
hif, 焕发
hifh 烩
hifn 糇
hifp 焓
higf 火光
high 烘干
higj 焊工
higz 火锅
hih/ 火红
hihb 火花
hihc 火海
hihf 火化
hihi 糊糊
hihs 火花塞
hij 糊
hij. 火鸡
hija 烘
hijb 火警
hiji 火炬
hijl 煳
hijl 糊
hijq 火箭
hiju 焊接
hik 豢
hik, 豢
hiki 烘烤
hikl 糊口
hiku 火控
hikv 火坑
hil, 火力
hili 火炉
hill 火辣辣
hily 火辣
himb 火苗
hinh 糊弄
hipi 火炮
hipu 火拼
hiqh 火球
hiql 火器
hiqo 火情
hiqq 火气
hiqx 火枪
hir 烀
hir 火
hirq 烀
hiru 火热
his 焊
hisg 火山
hish 焊
hisi 火烧
hisj 火速
hisq 火舌
hisu 火势
hit 焕
hitc 糊涂
hitd 火腿
hitg 焕
hitt 焊条
hitu 烘托
hiw 煌
hiwn 煌
hix/ 火线
hixs 火星
hiyb 火药
hiyi 火焰
hiyw 火药味
hizb 火葬
hizc 火葬场
hizo 火灾
hj 黄
hjao 惠安
hjb/ 胡编
hjbc 好景不长
hjbf 厚积薄发
hjbh 环境保护
hjcc 黄澄澄
hjcg 酣畅
hjcu 胡扯
hjd 胡
hjdi 邯郸
hjdk 黄碟
hjdy 黄帝
hjdz 黄豆
hjf 翰
hjf. 翰
hjfg 黄蜂
hjg 鬟
hjge 黄瓜
hjgg 韩国
hjgj 黄
hjgk 惠顾
hjgr 韩国人
hjgs 黄果树
hjgs 鬟
hjh 韩
hjhb 黄花
hjhc 黄河
hjhc 黄花菜
hjhc 黄海
hjhj ^胡汉君
hjhl 黄鹤楼
hjhm 韩
hjhp 黄鹤
hjhs 换句话说
hjht 黄昏
hjhw 狐假虎威
hjj 酣
hjja 酣
hjjb 黄菊
hjjc 黄酒
hjjd 海军基地
hjjf 黄金
hjjh 火炬计划
hjjl 醐
hjjr ^胡孑人
hjjt 胡锦涛
hjjx 胡椒
hjjy 讳疾忌医
hjjz 黄金周
hjk 卉
hjkl 醢
hjkx 卉
hjlb 胡萝卜
hjlj 黄鹂
hjlk 黄龙
hjlp 虎踞龙盘
hjlq 胡乱
hjls 行家里手
hjls 黄连素
hjlx 翰林
hjly 翰林院
hjm 邯
hjmc 胡搅蛮缠
hjmn 惠民
hjmx 黄梅戏
hjmx 黄梅
hjn 巷
hjnb 巷
hjnj 黄南
hjnq 黄牛
hjnu 胡闹
hjp 惠
