z 在
zcyy 注意
zczb 照抄照搬
zczc 沼泽
zczc 渣滓
zcze 资产总额
zczg 治罪
zczh 在此之后
zczi 漳州
zczj 注册资金
zczl 自吹自擂
zczm 总参谋长
zczq 注重
zczq 在此之前
zczq 滋长
zczs 增产增收
zczx 自产自销
zczy 注资
zd 脂
zd; 肫
zd;g 肫
zdbh 重大变化
zdby 脏病
zdcr 长大成人
zdcs 中等城市
zdct 中低产田
zddw 主导地位
zdf 胗
zdfd 脂肪
zdfe 胗
zdfs 脂肪酸
zdfx 最毒妇人心
zdfz 指导方针
zdg 肿
zdgc 重点工程
zdgg 制度改革
zdgj 肿
zdgm 正大光明
zdgp 自动滚屏
zdgx 重大贡献
zdgz 指导工作
zdhp 脏话
zdhs 止跌回升
zdi 朕
zdih 朕
zdj 肢
zdj. 肢
zdjc 张灯结彩
zdjs 重点建设
zdjt 斩钉截铁
zdjt 肢解
zdjv 肘
zdjy 中等教育
zdjz 重大进展
zdkz 自动控制
zdlk 总的来看
zdll 主导力量
zdlq 脏乱
zdls 总的来说
zdly 肿瘤
zdmj 指点迷津
zdnl 最大努力
zdo 腙
zdo, 膣
zdon 腙
zdq 胀
zdq. 胀
zdqa 胙
zdql 自得其乐
zdqn 在短期内
zdqy 重点企业
zdsl 总的说来
zdss 重大损失
zdsw 重大伤亡
zdsx 指导思想
zdsz 最低生活保障
zdt 胝
zdt; 胝
zdtf 肢体
zdts 脂
zdxd 最大限度
zdxm 重点项目
zdy 脏
zdyc 脏
zdys 掷地有声
zdyt 值得一提
zdyy 重大意义
zdzd 肿胀
zdzj 站得住脚
zdzr 镇定自若
zdzy 值得注意
ze 质
ze. 舟
ze.z 舟
ze/ 卮
ze;b 卮
zebf 质保
zebj 正儿八经
zebw 征兵
zeby 质变
zecq 征程
zeda 质点
zedd 作恶多端
zede 征得
zedp 征订
zedv 质地
zedv 征地
zef 爪
zefd 征服
zefs 周而复始
zefz 征服者
zeg 徵
zega 徵
zegg 征购
zegj 舯
zegj 舳
zegk 质感
zegq 征稿
zegq 征管
zeh, 征婚
zehf 征候
zej 征
zej/ 征缴
zejf 征集
zejg 质
zejj 质监局
zejj 征
zejs 质监
zejx 质检
zelg 质量关
zels 质量
zens 抓耳挠腮
zepj 征聘
zepx 质朴
zeq 舴
zeqa 舴
zeqj 征求
zesg 舟山
zesi 质数
zesm 征收
zesq 征税
zetb 知恩图报
zetf 征途
zewl 爪哇
zewu 质问
zewy 征文
zexp 征询
zexp 质询
zey; 爪牙
zeyl 震耳欲聋
zeyt 征用
zeyt 质疑
zeyu 质押
zeyz 总而言之
zez, 征召
zeza 征战
zezm 爪子
zezm 质子
zezr 征兆
zf 作
zf; 侄
zf;v 侄
zfa 侦
zfag 侦
zfao 作案
zfar 做爱
zfas 倬
zfbd 做不到
zfbf 作伴
zfbg 作罢
zfbh 值班
zfbi 作弊
zfbm 政府部门
zfbs 值班室
zfbx 坐标
zfby 执法不严
zfby 执法必严
zfc; 坐车
zfca 值此
zfcb 侦察兵
zfcc 争风吃醋
zfcg 政府采购
zfcj 仲裁
zfck 做成
zfcm 做出
zfcm 作出
zfco 侦察
zfcp 作词
zfct 住处
zfcu 住持
zfcx 侦查
zfcy 侦察员
zfcz 做错
zfd. 作对
zfd; 做到
zfde 值得
zfdk 做大
zfdm 争分夺秒
zfdq 作答
zfdq 坐等
zfdt 众多
zfdu 坐垫
zfdv 住地
zfdy 住店
zfdz 作斗争
zfej 作恶
zfet 侄儿
zff 众
zffc 做法
zfff 知法犯法
zfff 众
zffn 住房难
zffp 住房
zfft 作风
zfft 做饭
zffv 作坊
zffy 作废
zfg 仲
zfgf 侧
zfgg 政府工作报告
zfgh 俎
zfgj 做工
zfgj 做过
zfgj 仲
zfgo 作怪
zfgo 做官
zfgq 掌管
zfgx 掌柜
zfgx 作梗
zfgy 政府官员
zfgz 政府工作
zfh 债
zfh, 做好
zfh. 传
zfha 债
zfhc 做活
zfhf 坐化
zfhp 住户
zfhs 做好事
zfhz 作画
zfj 做
zfj/ 侦缉
zfjf 作假
zfjf 作价
zfjg 值
zfjh 住进
zfjl 作践
zfjl 做
zfjo 作家
zfjp 传记
zfjs 振奋精神
zfk 仗
zfkj 佐
zfkl 住口
zfko 做客
zfku 掌控
zfkv 仗
zflb 坐落
zflg 传略
zfli 佐料
zflj 侏罗纪
zflo 坐牢
zflq 作乱
zflt 作乐
zflx 自费留学
zfly 伫立
zfm 仔
zfm, 做媒
zfmc 坐满
zfmi 作美
zfmm 做买卖
zfms 装疯卖傻
zfmu 掌门
zfmx 做梦
zfmy 栉风沐雨
zfmz 仔
zfn, 侄女
zfnb 作孽
zfnh 作弄
zfo 伫
zfol 作呕
zfon 伫
zfpc 作派
zfpk 侦破
zfpl 作品
zfpm 作陪
zfq 掌
zfq/ 坐骑
zfqa 作
zfqg 作曲
zfqi 债券
zfqj 值勤
zfqj 侏
zfqj 掌
zfqn 做强
zfqq 仲秋
zfqr 债权人
zfqv 做起
zfqx 掌权
zfqx 债权
zfqz 值钱
zfrf 众人
zfrf 侏儒
zfrf 做人
zfrs 值日
zfrx 振奋人心
zfsa 掌上
zfse 住所
zfsh 做寿
zfsj 掌声
zfsj 做事
zfsk 作死
zfsm 作祟
zfsn 政府首脑
zfso 住宿
zfsp 作诗
zfsp 坐视
zfsq 众生
zfsq 住手
zft 仉
zft. 坐台
zfte 偬
zftg 作图
zftk 作态
zftl 侦听
zftu 侦探
zfty 作痛
zfv 坐
zfw/ 掌纹
zfwh 指腹为婚
zfwi 作为
zfwi 做为
zfwj 坐卧
zfwo 做完
zfwq 作物
zfwr 债务人
zfwt 债务
zfwu 掌握
zfwy 作文
zfwz 做文章
zfx/ 仔细
zfxa 做些
zfxd 针锋相对
zfxj 坐下
zfxj 住下
zfxj 作协
zfxl 作响
zfxp 掌心
zfxq 作秀
zfxs 众星
zfxt 做习题
zfxw 作息
zfxy 作序
zfy 住
zfy. 佐以
zfyg 做一个
zfyh 隹
zfyi 仗义
zfyi 僮
zfyj 住
zfyk 自负盈亏
zfyl 作用力
zfym 枝繁叶茂
zfym 住院
zfys 作业
zfyt 作用
zfyv 值域
zfyx 作用下
zfyy 众议院
zfyy 众议员
zfyy 作用于
zfyz 坐月子
zfza 作战
zfzf 做作
zfzg 掌中
zfzi 坐着
zfzj 作者
zfzk 住在
zfzk 坐在
zfzl 住宅楼
zfzl 住嘴
zfzm 侄子
zfzn 政府职能
zfzo 住宅
zfzp 作证
zfzp 佐证
zfzq 住宅区
zfzv 住址
zfzy 债主
zfzy 做主
zfzy 做庄
zfzz 坐镇
zg 中
zg, 助
zg; 崭
zg;a 崭
zg;v 蛭
zga 罪
zgaa 眦
zgag 帧
zgah 罪
zgas 罩
zgb, 置办
zgbc 中波
zgbc 中巴车
zgbj 账本
zgbm 主管部门
zgbq 账簿
zgbq 珠光宝气
zgbt 置备
zgbt 贮备
zgbu 中报
zgbx 中标
zgbx 罩杯
zgbx 自顾不暇
zgby 中部
zgbz 最高标准
zgca 中餐
zgcb 贮藏
zgcg 蛀虫
zgcj 忠臣
zgck 贮存
zgcn 中层
zgcp 忠诚
zgcq 中长期
zgcq 中程
zgcs 总工程师
zgcv 中场
zgcy 中草药
zgd 胄
zgd; 中东
zgda 中点
zgdb 职工代表
zgdd 中低档
zgdd 枕戈待旦
zgde 赚得
zgdh 中毒
zgdi 账单
zgdi 中断
zgdj 置顶
zgdk 睁大
zgdl 自甘堕落
zgdl 中国大陆
zgdm 中队
zgdq 中等
zgdw 中段
zgdx 中档
zgdy 中共党员
zgdz 中队长
zgef 中俄
zgej 罪恶
zgey 中耳炎
zgf 畛
zgfa 中非
zgfc 中法
zgfe 畛
zgfp 账房
zgft 中饭
zgft 罪犯
zgft 中风
zgfy 中方
zgfy 自告奋勇
zgfy 最高法院
zgg 崽
zgg/ 赠给
zggb 政工干部
zggc 中关村
zggd 中高档
zggd 中国共产党
zggg 中国
zggh 中国工商银行
zggj 中共
zggj 罪过
zggj 崽
zggl 最高纲领
zggo 赃官
zggq 忠告
zggr 中国人
zggs 盅
zggz 职工工资
zgh 贼
zgha 帻
zghe 中行
zghf 中华
zghj 中韩
zghk 忠厚
zghl 账号
zghp 账户
zghq 中和
zght 贼
zghu 置换
zgi 赚
zgi; 嵫
zgi; 赚
zgig 赠
zgig 罾
zgj 置
zgj 中
zgj/ 中级
zgjf 中介
zgjg 置
zgjh 中国建设银行
zgjj 助教
zgjl 最高纪录
zgjp 中间派
zgjr 中间人
zgjs 中坚
zgju 中间
zgjw 中纪委
zgjy 中奖
zgk 赈
zgka 中肯
zgkg 颛
zgkh 睁开
zgkh 赈
zgkj 赃款
zgko 中空
zgkq 中看
zgkw 罪魁
zgky 中科院
zgl 帜
zglc 中流
zgld 张冠李戴
zglg 蟑螂
zglh 助理
zglk 忠烈
zgll 中路
zgln 中老年
zglp 忠良
zglr 帜
zgls 中国历史
zglt 中国联通
zgly 中立
zgmg 瞩目
zgmg 账目
zgmi 中美
zgmk 账面
zgmt 罪名
zgmz 中美洲
zgn 瞩
zgnb 罪孽
zgne 瞩
zgnh 中南海
zgnj 中南
zgnp 中农
zgnq 中年
zgnr 中年人
zgnw 在国内外
zgo 贮
zgok 中欧
zgon 贮
zgp 忠
zgpa 中频
zgpe 中盘
zgpl 赠品
zgpo 忠
zgpq 帐篷
zgpq 中篇
zgpz 中铺
zgq 账
zgq. 帐
zgq. 账
zgqa 蚱
zgqj 赚取
zgqj 中期
zgqj 蛛
zgqk 蜘
zgqk 帙
zgqn 中青年
zgqq 中秋
zgqy 趾高气扬
zgqz 赚钱
zgr 眨
zgr. 眨
zgrf 中人
zgrf 罪人
zgrg 峥嵘
zgrh 中国人民银行
zgri 助燃
zgrj 中国人民解放军
zgrm 中国人民
zgrr 置入
zgrs 中日
zgry 最高人民法院
zgs 则
zgsa 中上
zgsb 中苏
zgsc 资格审查
zgsd 中国少年先锋队
zgsd 中生代
zgsf 中伤
zgsg 中山
zgsh 这个时候
zgsi 赠送
zgsj 中世纪
zgsl 中山陵
zgsn 中国少年
zgso 忠实
zgsp 最高水平
zgsq 助手
zgss 则是
zgsw 置身
zgsx 中枢
zgsy 置身于
zgsy 追根溯源
zgsz 中山装
zgsz 中式
zgt 睁
zgtf 中途
zgtk 瞻
zgtn 峥
zgtn 睁
zgto 赚头
zgtq 助听器
zgts 中国特色
zgv 峙
zgvj 峙
zgwb 中文版
zgwh 中国文化
zgwk 助威
zgwm 中卫
zgwn 中尉
zgwq 中午
zgwq 赃物
zgws 至高无上
zgws 罪该万死
zgwt 中外
zgww 珍贵文物
zgwx 中文系
zgwy 中文
zgx/ 中线
zgxb 中宣部
zgxc 中下层
zgxd 中小
zgxe 罪行
zgxf 置信
zgxh 中型
zgxj 中西
zgxo 中学
zgxp 中心
zgxq 中选
zgxs 中学生
zgxt 中旬
zgxw 中国新闻
zgxx 中小学
zgxy 崭新
zgxy 中西医
zgxy 中下游
zgy 蛀
zgy. 赠予
zgy; 蛀牙
zgyb 中药
zgyb 中英
zgyc 赃
zgyc 中游
zgyd 主观臆断
zgyf 瞻仰
zgyg 眨眼
zgyg 中央
zgyh 忠于
zgyh 置于
zgyi 幢
zgyi 蟑
zgyi 嶂
zgyi 幛
zgyj 中雨
zgyj 则要
zgyj 中亚
zgyj 蛀
zgyk 中原
zgyl 中叶
zgym 中院
zgyp 左顾右盼
zgys 置业
zgyt 中用
zgyu 赠阅
zgyx 中医学
zgyy 忠言
zgyy 中意
zgyy 赠言
zgyy 中医药
zgyy 中庸
zgyz 中医
zgz; 中转
zgza 中止
zgzb 中组部
zgzd 自高自大
zgzd 中子弹
zgzf 中国政府
zgzg 蜘蛛
zgzh 中专
zgzh 罪责
zgzi 睁着
zgzj 中共中央政治局
zgzk 则在
zgzm 中子
zgzo 赈灾
zgzp 罪证
zgzq 助长
zgzu 中指
zgzw 载歌载舞
zgzx 中国足协
zgzy 中共中央
zgzy 至关重要
zgzy 罪状
zgzz 贞观之治
zh 专
zh. 专
zhao 专案
zhar 珍爱
zhaz 专案组
zhbd 珠宝店
zhbg 再好不过
zhbh 专横跋扈
zhbj 珍本
zhbl 坐怀不乱
zhbo 珍宝
zhbo 珠宝
zhbs 珠宝商
zhbt 责备
zhbw 专版
zhcb 珍藏
zhcc 纵横驰骋
zhcj 最好成绩
zhck 责成
zhcq 专长
zhcq 专程
zhcv 专场
zhdg 专电
zhdi 专递
zhds 驻华大使
zhen 中华儿女
zhf 珍
zhf, 专发
zhfe 珍
zhfp 专访
zhg 责
zhgf 专供
zhgf 赘
zhgf 责
zhgg 珍贵
zhgj 专攻
zhgo 责怪
zhgq 专管
zhgs 盏
zhgx 专柜
zhgy 最惠国待遇
zhh 奏
zhhc 珠海
zhhr 奏
zhhs 珠海市
zhhx 专横
zhj; 专辑
zhjc 珠江
zhjf 专集
zhjj 专家级
zhjm 专家们
zhjo 专家
zhjx 专机
zhjz 专家组
zhk 琢
zhk, 琢
zhkh 专刊
zhkj 专款
zhkq 专科
zhlf 责令
zhlh 专利号
zhlj 专利局
zhlk 专列
zhlq 专利
zhlx 专栏
zhm 耔
zhmd 专卖店
zhmh 专门化
zhmj 专卖
zhmj 追悔莫及
zhml 责骂
zhmu 专门
zhmy 琢磨
zhmz 中华民族
zhmz 耔
zhn. 责难
zhpl 珍品
zhq 珠
zhqa 瓒
zhqb 总后勤部
zhqf 珍禽
zhqj 珠
zhqk 珍奇
zhqs 征婚启事
zhqx 专权
zhqz 专区
zhrf 责任
zhrg 中华人民共和国
zhrm 走火入魔
zhrq 责任区
zhrr 责任人
zhrs 责任书
zhrt 责任田
zhrx 责任心
zhrz 责任制
zhsc 张皇失措
zhsg 专署
zhsj 驻华使节
zhsj 赘述
zhsp 珍视
zhsq 珠算
zhtd 最后通牒
zhtp 专题片
zhts 专题
zhwi 专为
zhwu 责问
zhx/ 专线
zhxf 专修
zhxj 专项
zhxl 奏响
zhxo 珍惜
zhxp 专心
zhxq 珍稀
zhxy 奏效
zhy 璋
zhyb 专营
zhyh 专业化
zhyi 璋
zhyk 专业课
zhyl 专员
zhys 专业
zhyt 专用
zhyx 专业性
zhyz 专一
zhzb 专著
zhzc 专注
zhzc 专治
zhzh 珍珠
zhzj 专政
zhzj 专职
zhzm 珠子
zhzq 珍重
zhzq 专制
zhzu 奏折
zhzy 之乎者也
zhzy 专座
zhzz 贼喊捉贼
zi 着
zi/ 兹
zi/p 兹
zi; 甑
zi;. 甑
zia 粘
zial 粘
zias 焯
zib/ 总编
zib; 总比
zibh 总不会
zibj 总编辑
zibk 总不
zibn 总不能
zibp 总被
zibu 总把
zibw 尊卑
ziby 总部
zic. 总参
zicb 总成本
zicf 遵从
zicg 尊崇
zicj 总裁
zick 总厂
zicl 总产量
zicq 尊称
zicq 总称
zicy 总产
zicz 总产值
zida 总督
zidb 总代表
zide 总得
zidi 炸断
zidm 总队
zidn 炸弹
zidv 着地
zidy 总动员
zieo 总额
zifr 总分
zify 总费用
zifz 总方针
zig 烛
zigd 总归
zigf 烛光
zigg 尊贵
zigh 总工会
zigh 着
zigi 糟糕
zigj 总共
zigj 烛
zigm 总规模
zigp 总该
zigq 总管
zigs 总公司
zihc 总汇
zihe 总行
zihf 总会
zihi 着火
ziho 着慌
zihq 总和
zihv 炸坏
zihw 炸毁
zij 尊
zij. 炸鸡
zij/ 总结
zijb 尊敬
zijd 总觉得
zije 总金额
zijf 总价
zijh 总结会
zijl 总经理
zijn 糟
zijn 总局
zijo 总觉
zijp 总计
zijs 总监
zijt 着急
zijv 尊
zijx 总机
zijx 总结性
zijy 兹将
zijz 总价值
zikh 炸开
ziki 糟糠
ziku 总括
zil 燥
zil, 着力
zilb 着落
zilf 总理府
zilh 总理
zill 燥
zilm 着陆
zilp 总论
zils 总量
zilu 总揽
zilx 总路线
zily 着凉
zim 郑
zimb 总目标
zimf 遵命
zimg 着墨
zimi 着迷
zimj 总面积
zimo 着忙
zimy 着魔
zimz 籽
zimz 孳
zin. 总能
zio 粽
zion 粽
zip 总
zipi 糟粕
zipo 总
zipp 总评
zipv 遵
ziq 炸
ziqa 炸
ziqh 曾庆红
ziqs 总趋势
zirk 总人口
ziro 尊容
zirs 总人数
ziru 灼热
zirw 总任务
zis 曾
zisf 炸伤
zisf 灼伤
zisg 总署
zisi 总数
zisj 总书记
zisk 炸死
zisl 总司令
ziso 遵守
zisp 总社
zisq 总算
zisq 着手
zisq 孳生
zisr 总收入
ziss 总是
zist 着色
zit 灼
zit. 烛台
zit/ 总统
zitf 总体
zitg 粘贴
zitl 糟蹋
zitl 糟透了
