d 的
dghp 电话
dghs 电光火石
dghw 电话网
dghx 电话线
dgi 睇
dgin 睇
dgir 赕
dgj 盯
dgj 町
dgj. 黩
dgja 蝶
dgjc 电解槽
dgjf 电价
dgjg 巅
dgjj 电教
dgjk 睹
dgjk 赌
dgjn 赌局
dgjq 典籍
dgjt 电解
dgjx 电机
dgjx 电极
dgjy 刀光剑影
dgjz 电解质
dgku 电抗
dgl, 电力
dgl, 鼎力
dgl/ 电缆
dglb 电路板
dglc 电流
dglf 电令
dglh 蝶恋花
dgli 电炉
dglj 电力局
dgll 电路
dglp 典礼
dgls 电量
dglt 电烙铁
dglt 电路图
dglw 电力网
dglx 电力线
dgly 电离
dgly 鼎立
dglz 电铃
dgm 凼
dgmk 电码
dgmq 大规模杀伤性武器
dgn 鼎
dgn. 电能
dgnc 电脑城
dgnd 电脑
dgng 渡过难关
dgnw 鼎
dgnz 电钮
dgo 蚪
dgoj 蚪
dgp 迪
dgpc 电瓶车
dgpi 电瓶
dgpl 电平
dgpt 眈
dgpv 迪
dgqg 得过且过
dgqh 电气化
dgql 电器
dgqq 赌气
dgqq 电气
dgqs 电气石
dgqy 迪庆
dgqz 赌钱
dgr 典
dgro 电容
dgrq 电容器
dgru 电热
dgrx 地广人稀
dgs 沓
dgsa 盯上
dgsj 电视机
dgsj 电视剧
dgsk 鼎盛
dgsk 迪斯科
dgsn 迪斯尼
dgsp 电视
dgst 电视台
dgt 骶
dgt. 电台
dgt; 骶
dgte 赌徒
dgtk 迪厅
dgtq 电筒
dgtx 电梯
dgwf 电位
dgwg 电网
dgwq 电位器
dgws 大公无私
dgwy 电文
dgwz 德高望重
dgx/ 电线
dgxf 电信
dgxg 电线杆
dgxh 典型
dgxj 电信局
dgxo 电学
dgxp 电讯
dgxs 多管闲事
dgxx 典型性
dgxy 电信业
dgy; 典雅
dgyc 电源
dgyg 电邮
dgyj 电影节
dgyk 电压
dgyp 电影票
dgys 电影
dgyy 电影院
dgzb 电子版
dgzc 赌注
dgzf 盯住
dgzg 电子管
dgzh 电子化
dgzi 盯着
dgzl 赌咒
dgzm 电子
dgzq 电子琴
dgzs 电子束
dgzx 电子学
dgzy 帝国主义
dgzz 电钻
dh 动
dh, 动
dh/ 毒
dh/y 毒
dha 玷
dhal 玷
dhbd 动不动
dhbj 大惑不解
dhbq 动笔
dhcb 毒草
dhci 动粗
dhcp 动词
dhcx 电话查询
dhcy 动产
dhdb 动荡
dhdj 大喊大叫
dhdu 毒打
dhdz 大红大紫
dhf 玳
dhf; 玳
dhfg 毒贩
dhg 纛
dhgh 纛
dhgj 动工
dhgk 动感
dhgr 党和国家领导人
dhgx 对华关系
dhhf 毒化
dhhh 灯火辉煌
dhhi 动火
dhhm 电话号码
dhho 毒害
dhhp 动画片
dhhy 电话会议
dhhz 动画
dhj 玎
dhjc 毒酒
dhjh 动静
dhjl 灯红酒绿
dhjx 动机
dhjy 毒剂
dhl, 动力
dhll 大汗淋漓
dhlq 动乱
dhls 调虎离山
dhlt 大祸临头
dhlx 动力学
dhly 毒瘤
dhlz 大海捞针
dhmc 动漫
dhmd 动脉
dhmx 动脉血
dhmy 对华贸易
dhn, 动怒
dhn. 动能
dhnd 动脑
dhnj 动脑筋
dho 靛
dhon 靛
dhoo 焘
dhpl 毒品
dhqo 动情
dhqq 毒气
dhqs 大获全胜
dhrf 动人
dhrm 党和人民
dhro 动容
dhrz 对号入座
dhsg 毒蛇
dhsh 毒素
dhsq 毒手
dhsq 动手
dhss 动手术
dhsw 动身
dhtk 动态
dhtl 动听
dhtm 灯火通明
dhtv 动土
dhwc 玷污
dhwh 动武
dhwj 动物界
dhwq 动物
dhwx 动物学
dhwy 动物园
dhxo 毒性
dhxp 动心
dhxs 大好形势
dhxt 毒枭
dhxw 动向
dhyb 毒药
dhyg 动因
dhyh 动员会
dhyl 动员
dhyp 动议
dhyt 动用
dhyu 动摇
dhz; 动辄
dhzc 对华政策
dhzf 动作
dhzs 妒火中烧
dhzw 动植物
di 道
di; 炖
di;g 炖
diao 断案
dib, 单边
diba 断背
dibb 单薄
dibl 道别
dibp 递补
dibw 单兵
dibx 单板
dic/ 单纯
dicm 道出
dicn 单层
dicn 断层
dicp 单词
dicq 单程
dicr 道岔
dicy 单产
did, 单刀
dida 断点
dide 道德
didf 断代
didg 断电
didi 弟弟
didi 单单
dido 断定
dido 奠定
didp 单调
dids 断代史
didt 单独
didu 单打
didy 单端
die 断
diej 断
diff 兑付
difm 单方面
dify 单方
dig 单
dig/ 递给
dig; 单轨
digf 灯光
digh 单干
digh 单
digq 灯管
digx 单杠
dihi 灯火
dihu 兑换
dij 灯
dij/ 断绝
dijb 灯节
dijf 单价
dijg 道具
dijg 灯具
dijh 单击
dijj 奠基
dijj 道教
dijo 道家
dijr 奠基人
dijs 奠基石
diju 单据
dijx 单机
dijy 递减
dijy 递交
dik 奠
dikh 断开
dikq 单科
dikv 奠
dil 兑
dilc 断流
dilh 道理
dilk 断裂
dilk 单列
dill 道路
dilq 灯笼
dils 道路上
dilt 兑
dim 郸
dim, 弟妹
dimk 单面
dimk 断面
dimp 灯谜
din 弟
dinm 弟
dip 递
dipc 灯泡
dipf 单凭
dipj 单片机
dipk 道破
dipv 道
dipv 递
diqi 道歉
diqq 断气
diqs 道琼斯
diqy 单亲
dirf 道人
dirf 单人
dirj 单人间
dirs 单日
dirt 断然
dis/ 灯丝
disa 道上
dish 单身汉
disi 断送
disi 单数
disj 道士
disp 单说
disq 单手
diss 单是
dist 灯饰
dist 单色
disw 单身
disy 灯市
disz 单式
dit 羝
dit; 羝
ditf 单体
dito 断头
ditu 递推
ditv 灯塔
diw 煅
diwf 单位
diwh 煅
diwz 单位制
dix/ 单线
dix/ 断线
dixb 灯芯
dixe 单行
dixh 兑现
dixj 道喜
dixj 单项
dixl 弟兄
dixp 道谢
dixs 单相思
dixw 单向
dixx 单相
diyc 灯油
diyh 单元
diyi 道义
diyy 断言
diyy 单衣
diyy 单音
diyz 单一
dizd 断肢
dize 单质
dizh 灯盏
dizm 单子
dizm 弟子
dizo 单字
dizv 递增
dj 丁
dj; 耋
dj;v 耋
djb; 都比
djbk 都不
djbn 都不能
djbp 都被
djbq 颠簸
djbs 都不是
djbu 都把
djbw 带兵
djbx 都必须
djby 带病
djby 顶部
djbz 顶不住
djcb 断简残编
djcf 都从
djcm 带出
djcn 顶层
djcv 都城
djd. 都对
djd; 带到
djda 顶点
djde 都得
djdf 颠倒
djdg 带电
djdh 带动
djdj 鞑靼
djdl 大吉大利
djdm 带队
djdo 打架斗殴
djdt 顶多
djdy 顶端
djdz 顶得住
djeg 待价而沽
djet 戴尔
djfg 颠峰
djfg 顶峰
djfj 颠覆
djft 顶风
djg 带
djg/ 带给
djga 聃
djgd 都感到
djgf 党纪国法
djgg 顶呱呱
djgj 戴
djgj 蠹
djgl 大驾光临
djgo 都怪
djgt 觌
djgu 耽搁
djgx 大家闺秀
djgx 带
djh, 都好
djhe 都很
djhf 都会
djhg 带回
djhk 都还
djj 耵
djj 酊
djj. 带劲
djj/ 顶级
djjd 顶尖
djjh 带进
djjl 殚精竭虑
djjs 打家劫舍
djjt 顶角
djjx 独具匠心
djjy 都将
djk 顶
djkg 颠
djkg 顶
djkj 丁克
djko 带宽
djko 鞑
djkt 颠狂
djky 都可以
djkz 都可
djld 当机立断
djlf 带领
djll 带来
djll 带路
djll 都来
djlx 带领下
djlz 顶梁柱
djm 都
djmc 都没
djmt 丁卯
djmy 都没有
djn. 都能
djp 耽
djpc 颠沛
djpt 耽
djpx 顶棚
djqv 带去
djqw 低级趣味
djrp 都让
djrr 带入
djrs 堆积如山
djrw 都认为
djs 靼
djsa 带上
djsa 戴上
djsb 都市报
djsf 都使
djsh 当今社会
djsj 当今世界
djsl 短斤少两
djsp 都说
djss 都是
djss 大惊失色
djsy 都市
djsz 靼
djtc 地久天长
djth 顶替
djto 带头
djtr 带头人
djwh 都未
djwi 都为
djwp 耽误
djxe 都行
djxf 都像
djxg 大惊小怪
djxj 戴孝
djxq 丁香
djxx 大街小巷
djxy 都需要
djy. 都以
djy; 都与
djyb 顶芽
djyg 都应该
djyj 都要
djyk 都有
djyk 带有
djyn 都已
djys 奠基仪式
djyt 带鱼
djyt 都用
djyy 都应
djzd 都知道
djzf 顶住
djzi 带着
djzi 戴着
djzk 都在
djzl 顶嘴
djzm 带子
djzo 丁字
djzu 顶撞
djzv 带走
djzy 带状
djzz 当家作主
dk 大
dk, 砀
dk,c 砀
dk. 歹
dk.e 磴
dk.l 殆
dk; 砘
dk;g 砘
dkak 大碍
dkao 大案
dkb, 大办
dkba 大步
dkbb 大可不必
dkbc 大巴车
dkbd 达不到
dkbf 大部分
dkbf 大便
dkbg 大败
dkbi 大半
dkbm 大巴
dkbq 大笔
dkbs 大别山
dkbt 大半天
dkbu 大把
dkbv 大坝
dkbw 大兵
dkbx 达标
dkby 大本营
dkby 大部
dkc; 大车
dkca 大餐
dkcc 大潮
dkcd 大肠
dkce 大船
dkcj 大臣
dkck 达成
dkcq 大乘
dkcs 大城市
dkcv 大城
dkcy 大草原
dkd, 大刀
dkd. 大叠
dkd; 达到
dkdd 大胆
dkde 夺得
dkdg 大典
dkdh 歹毒
dkdi 大道
dkdj 大都
dkdk 大大
dkdm 大队
dkdn 大殿
dkdp 大调
dkdq 大敌
dkds 大多数
dkdt 大多
dkdu 大抵
dkdv 大地
dkdw 大段
dkdy 大度
dkdz 大豆
dkec 夺眶而出
dkeo 大额
dkew 达尔文
dkf 碓
dkf, 大发
dkfc 大法
dkfd 大幅度
dkff 大佛
dkfg 大幅
dkfh 大夫
dkfs 大丰收
dkft 大风
dkfw 大范围
dkfy 大方
dkfy 碓
dkfz 大发展
dkg 碘
dkg. 大观
dkg/ 大纲
dkgb 大公报
dkgd 大股东
dkgf 大个
dkgf 大锅饭
dkgg 大国
dkgh 大干
dkgj 大功
dkgj 碘
dkgl 大功率
dkgm 大规模
dkgo 大官
dkgp 夺冠
dkgr 大公
dkgs 大公司
dkgu 大搞
dkgx 大概
dkgy 大观园
dkgz 大哥
dkgz 硐
dkh, 大好
dkh/ 大红
dkhc 大海
dkhc 大汉
dkhc 大河
dkhe 大伙儿
dkhf 大会
dkhg 夺回
dkhi 大火
dkhj 大环境
dkhl 大喊
dkhp 大户
dkhs 大旱
dkht 大会堂
dkhy 大亨
dkhz 大会战
dki 殚
dkig 殚
dkj 夺
dkj, 大姐
dkja 碟
dkja 耷
dkjc 大江
dkjc 碘酒
dkjd 大酒店
dkje 大街
dkjf 大件
dkjj 大将军
dkjl 大叫
dkjn 大局
dkjo 大家
dkjp 大军
dkjs 大奖赛
dkjt 大家庭
dkjv 夺
dkjy 大奖
dkkc 大卡车
dkkf 大开发
dkkh 大客户
dkkj 大款
dkkl 大哭
dkkv 大块
dkkw 夺魁
dkkz 大可
dkl 石
dkl, 大力
dkl; 大连
dkla 大龄
dklc 大梁
dklg 大略
dklh 大理
dklj 大陆架
dkll 大路
dklm 大陆
dkls 大量
dklt 大礼堂
dklu 耷拉
dklx 大楼
dkly 大老远
dkm, 大妈
dkmc 大漠
dkmg 夺目
dkmh 大麦
dkmi 大米
dkmj 大面积
dkml 大骂
dkmo 大忙
dkms 大明
dkmt 大名
dkmu 大门
dkmy 大麻
dkmz 大拇指
dkn, 大娘
dkn, 大怒
dkn. 大难
dknd 大脑
dknh 豆蔻年华
dknq 大年
dknu 大闹
dkny 大年夜
dko 碇
dkon 碇
dkp 达
dkpc 大篷车
dkpd 大排档
dkpe 大盘
dkpi 大炮
dkpl 大批量
dkpm 大屏幕
dkpu 大批
dkpv 达
dkpw 碟片
dkpw 大片
dkpx 大棚
dkqc 大气层
dkqf 大全
dkqh 大气候
dkqj 夺取
dkqq 大气
dkqs 大趋势
dkqt 大前提
dkqv 夺去
dkqx 大桥
dkqx 夺权
dkqy 大气压
dkqy 大庆
dkqz 大区
dkrf 大人
dkrt 大热天
dkrw 大人物
dkrx 大快人心
dks, 大嫂
dks, 大婶
dks. 大圣
dksa 大叔
dksb 大蒜
dksc 大市场
dksd 大师
dksf 大使
dksg 大山
dksg 大使馆
dksg 大水
dksh 大寿
dksi 大数
dksj 大声
dksj 大事
dksj 大肆
dksk 大厦
dksl 大森林
dksm 大沙漠
dkso 大赛
dksq 大手
