w 为
wcsu 污损
wcsw 温顺
wcth 渥太华
wctq 无从谈起
wctv 沃土
wcv 洼
wcvv 洼
wcwc 汪汪
wcwd 问长问短
wcwq 污物
wcx. 温习
wcxj 温馨
wcxs 无从下手
wcy 湾
wcyc 汪洋
wcyg 沃野
wcyr 汶
wcys 湾
wcyz 无偿援助
wczc 污浊
wczi 温州
wczj 汪直
wczx 维持秩序
wd 腕
wdfs 无的放矢
wdfz 稳定发展
wdh 肟
wdhb 肟
wdly 维多利亚
wdo 脘
wdo, 腕
wdon 脘
wdps 无党派人士
wds 腽
wdsc 五大三粗
wdsg 腽
wdsl 伟大胜利
wdsy 伟大事业
wdwj 我党我军
wdyo 无独有偶
wdyx 无敌于天下
wdyy 伟大意义
wdyz 无动于衷
wdzr 无地自容
wdzz 歪打正着
we 往
webb 微薄
webc 微波
webl 微波炉
wecd 微尘
wecf 往常
wecp 微词
wedj 微电机
wedn 微电脑
wedz 微电子
wefe 往返
wefq 往复
wefr 微分
weft 微风
wefy 忘恩负义
weg 微
weg. 微观
wega 微
wegf 微光
wehe 往后
wehg 往回
wejf 微积分
wejn 往届
wejs 往届生
wejx 微机
welg 往里
weli 微粒
well 往来
welq 微利
wels 微量
wem, 微妙
wemi 微米
wen 艉
wene 艉
wenq 往年
weqb 望而却步
weqi 往前
wer; 微软
wern 微弱
wers 往日
wesa 往上
wesj 往事
wesp 往上爬
wesq 往生
wesw 微生物
wesw 望而生畏
wetp 微调
wewe 往往
wewe 微微
wews 往往是
wewt 往外
wex/ 微细
wexd 微小
wexh 微型
wexj 往下
wexj 往昔
wexq 微笑
wexz 微笑着
weyj 往
weyx 莞尔一笑
wf 位
wf; 佤
wf;. 佤
wfbj 违法必究
wfbl 无风不起浪
wfbn 无法比拟
wfbr 为富不仁
wfcy 位次
wfdk 伟大
wfed 闻风而动
wfet 望风而逃
wfez 闻风而至
wffz 违法犯罪
wfg 偎
wfgd 违反规定
wfgj 偎
wfgz 伟哥
wfh 伟
wfhd 违法活动
wfhm 伟
wfi 伪
wfi. 伪
wfj 伍
wfj/ 伟绩
wfjn 位居
wfjn 伍
wfjp 伪军
wfko 倭寇
wfkx 伪科学
wfld 伪劣
wflj 违法乱纪
wflk 位列
wfll 威风凛凛
wfpm 望风披靡
wfq 侮
wfq/ 侮
wfqd 倭
wfqj 仵
wfrf 伟人
wfrk 侮辱
wfsb 文房四宝
wfsd 闻风丧胆
wfsi 伪善
wfsi 位数
wftg 位图
wfwt 无法无天
wfxj 枉费心机
wfxq 歪风邪气
wfxw 违法行为
wfy 隹
wfyf 偎依
wfyh 位于
wfyh 隹
wfyi 位
wfyq 位移
wfys 伟业
wfzd 为非作歹
wfzg 位置
wfzm 位子
wfzp 伪证
wfzq 伪造
wfzy 伪装
wfzy 佤族
wg 网
wg; 畏
wg;r 畏
wgay 胃癌
wgbh 顽固不化
wgbl 网吧
wgby 胃病
wgcd 胃肠
wgcg 蚊虫
wgcg 网虫
wgcv 围城
wgcy 胃肠炎
wgd 胃
wgda 网点
wgdj 无关大局
wgef 无功而返
wgeg 巍峨
wgex 温故而知新
wgf 帷
wgfd 五谷丰登
wgfy 帷
wgg. 围观
wggg 蜈蚣
wggi 网关
wggj 围攻
wggq 网管
wggx 网格
wgh 围
wghm 帏
wghm 围
wgho 畏寒
wgi 罔
wgil 罔
wgj/ 围剿
wgjb 网警
wgjc 万贯家财
wgjg 围巾
wgjj 微观经济
wgjk 围歼
wgjo 畏惧
wgjq 为国捐躯
wgjs 网景
wgjy 无关紧要
wgk 崴
wgk; 崴
wgka 网卡
wgkg 围困
wgkl 胃口
wgkn 围垦
wgky 胃溃疡
wgl 蜈
wgl/ 网络
wglb 网络版
wglg 网罗
wglg 蜗
wglh 蜈
wgll 网路
wgls 网络上
wglu 围拢
wglx 围栏
wgly 网恋
wgmb 帷幕
wgmc 围满
wgmi 网迷
wgmn 网民
wgmt 网名
wgn 幄
wgn. 畏难
wgnq 蜗牛
wgnq 幄
wgo 蜿
wgo, 畹
wgo, 蜿
wgpe 网盘
wgq 巍
wgqd 巍
wgqh 网球
wgqp 围裙
wgqv 围墙
wgqx 围棋
wgqz 位高权重
wgr/ 围绕
wgrm 我国人民
wgrr 网
wgrt 巍然
wgrz 围绕着
wgs/ 畏缩
wgsa 网上
wgsf 文过饰非
wgsj 网速
wgss 五光十色
wgt. 网通
wgty 无关痛痒
wgtz 外国投资
wgv 蛙
wgvv 蛙
wgw 嵬
wgwg 帷幄
wgwm 为国为民
wgwn 嵬
wgx/ 网线
wgxq 蚊香
wgxx 网校
wgy 蚊
wgyc 蛙泳
wgyc 网游
wgyc 胃液
wgyg 蜿蜒
wgyi 胃炎
wgyk 网友
wgyk 网页
wgyr 蚊
wgys 网易
wgyz 物归原主
wgz 囗
wgzf 围住
wgzg 为国争光
wgzg 畏罪
wgzg 蚊帐
wgzi 围着
wgzj 外国专家
wgzk 围在
wgzm 蚊子
wgzv 网址
wgzx 温故知新
wgzy 网站
wh 无
wha 王
whaa 武
whau 未按
whaz 呜呼哀哉
whb, 无边
whb; 无比
whba 违背
whbd 王八蛋
whbf 未卜
whbk 无不
whbm 五花八门
whbp 未必
whbp 未被
whbr 王八
whbt 无话不谈
whby 未变
whca 无此
whcb 外汇储备
whcd 文化程度
whcf 未尝
whcf 无偿
whcf 无从
whci 未曾
whcj 无耻
whcj 王朝
whck 未成
whcl 卧虎藏龙
whcn 未成年
whcs 武昌
whct 无处
whcz 无产者
whd 未
whd. 未对
whd; 未到
whdd 无底洞
whde 未得
whdf 武当
whdh 无毒
whdi 王道
whdi 武断
whdl 武大郎
whdm 文化大革命
whdo 未定
whdp 无党派
whdq 无敌
whds 武当山
whdu 武打
whdv 未
whdy 无度
whdy 无端
whf, 无妨
whf/ 无缝
whfa 无非
whfc 无法
whfc 违法
whfe 违反
whfh 武夫
whfj 王府井
whfs 无非是
whft 违犯
whfy 王府
whfz 违法者
whgf 无光
whgg 顽固
whgg 王国
whgh 违规
whgi 无关
whgj 无故
whgj 无辜
whgj 武功
whgn 未敢
whgo 王宫
whgo 武官
whgp 王冠
whgz 武钢
whh 玩
whh, 未婚
whhb 未获
whhc 武汉
whhd 文化活动
whhe 王后
whhf 未婚夫
whhg 无花果
whhi 玩火
whhm 玮
whho 无害
whho 无悔
whhp 无话
whhq 未婚妻
whhs 武汉市
whht 玩
whhx 无核
whhy 无痕
whj/ 违纪
whj/ 未经
whjb 武警
whjf 无价
whjg 玩具
whjl 文化交流
whjm 无际
whjn 无尽
whjo 玩家
whjp 违禁品
whjs 文化建设
whju 无间
whjw 无机物
whjx 违禁
whjx 无机
whjy 顽疾
whjy 文化教育
whjy 无机盐
whk 顽
whkg 顽
whkh 未开
whko 无愧
whks 无话可说
whku 顽抗
whku 违抗
whky 无愧于
whkz 无可
whl, 无力
whl, 武力
whlf 违例
whlh 无理
whlj 无聊
whlj 无赖
whll 未来
whlp 无论
whlp 无礼
whlq 无利
whls 无论是
whlt 玩乐
whlx 武林
whlz 无论在
whm 韦
whmc 未满
whmf 玩命
whmh 无名火
whmk 王码
whmm 未命名
whms 无明
whmt 未免
whmt 无名
whmu 无门
whmz 无名指
whn. 无能
whn. 未能
whnh 玩弄
whnk 无奈
whnu 玩闹
who 琬
who, 琬
whof 玩偶
whp 违
whp, 顽皮
whpv 违
whpw 王牌
whqj 无期
whqk 武器库
whql 武器
whqn 顽强
whqo 无情
whqo 无穷
whqv 无趣
whqw 微乎其微
whqx 无权
whrf 无人
whrh 无任何
whrs 无日
whrt 未然
whs. 无双
whsa 无上
whsc 外汇市场
whse 无所
whsf 玩赏
whsh 五湖四海
whsh 文化生活
whsi 无数
whsi 未遂
whsj 武术
whsj 无声
whsj 武士
whsk 玩耍
whsk 顽石
whsl 无神论
whsm 王孙
whso 王室
whsp 无视
whsq 无私
whss 无时
whst 无色
whsu 无损
whsw 无所谓
whsy 忘乎所以
wht 鹉
wht 无
whtb 物华天宝
whtj 无条件
whtp 鹉
whts 无题
whtu 未提
whty 顽童
whwc 未完成
whwf 王位
whwg 无畏
whwh 玩玩
whwi 无为
whwk 武威
whwl 无味
whwn 问寒问暖
whwo 未完
whwp 无误
whwq 玩物
whwr 无污染
whws 完好无损
whwy 晚婚晚育
whwy 无望
whx/ 无线
whxd 无线电
whxe 无须
whxf 武侠
whxh 无形
whxh 无瑕
whxl 无需
whxm 无限
whxo 无性
whxp 违心
whxp 无心
whxq 玩笑
whxs 无暇
whxw 无息
whxy 无效
whxz 无锡
whxz 无休止
whxz 无限制
why 玟
why. 无以
why/ 无缘
why/ 违约
why; 武夷
whya 无虞
whyb 武艺
whyc 无源
whye 玩意儿
whyf 无余
whyg 无遗
whyi 无益
whyi 无烟
whyj 违约金
whyk 未有
whyl 文化娱乐
whym 无烟煤
whyn 无异
whyo 无忧
whyp 无语
whyr 王爷
whyr 玟
whys 武夷山
whys 无业
whys 无意识
whys 文化艺术
whyt 无疑
whyt 无用
whyu 无援
whyv 无垠
whyy 无意
whyy 无言
whyy 玩意
whyy 无异于
whyz 无意中
whzb 武装部
whzc 为虎作伥
whzf 玩火自焚
whzg 无助
whzg 无罪
whzh 无纸化
whzj 王者
whzl 无踪
whzm 王子
whzp 无证
whzq 无知
whzq 未知
whzs 玩忽职守
whzs 未知数
whzt 武则天
whzy 违章
whzy 武装
whzy 顽症
whzy 无助于
whzz 乌合之众
wi 烷
wi. 为
wibj 为本
wibm 为避免
wica 为此
widb 为代表
widq 为敌
wif; 为辅
wig 煨
wigg 为国
wigj 煨
wigr 为公
wih 炜
wih, 为好
wihf 为何
wihg 为患
wihm 炜
wiho 为害
wihr 关
wihx 为核心
wij 焐
wijc 为基础
wijf 为佳
wijg 为界
wijn 焐
wijs 为鉴
wilf 为例
wilm 为了
wimb 为目标
wimn 为民
wimt 为名
win. 为难
wion 烷
wipf 为凭
wipg 为盼
wiqj 为期
wiqt 为前提
wirb 为荣
wirf 为人
wirm 为人民
wisi 为首
wisi 为数
wisl 为啥
wism 为什么
wiso 为实
wisp 为谁
wisq 为生
wiss 为时
wisx 为实现
wits 为题
wixm 为限
wixy 为序
wiyg 为由
wiyo 为宜
wiza 为止
wizd 为指导
wizg 为祖国
wizi 为着
wizj 为自己
wizp 为之
wizq 为重
wizs 为最
wizt 为主体
wizx 为中心
wizy 为主
wj 五
wjba 吾辈
wjbb 晚节不保
wjbc 无坚不摧
wjbd 武警部队
wjbf 物极必反
wjbf 万劫不复
wjbh 五保户
wjbk 五百
wjbq 五笔
wjby 卧病
wjbz 外交部长
wjck 五成
wjcr 五彩
wjcy 卧床
wjdc 无精打采
wjdc 外交大臣
wjdf 卧倒
wjdf 五代
wjdh 万家灯火
wjdk 五大
wjdl 五角大楼
wjdy 卧底
wjdz 五大洲
wjez 无疾而终
wjf 卧
wjff 巫
wjfo 斡
wjfp 卧房
wjgf 五个
wjgj 五更
wjgl 物价管理
wjgo 五官
wjgr 五谷
wjgt 危急关头
wjgx 外交关系
wjhd 外交活动
wjhh 五环
wjhr 外籍华人
wjhx 无机化学
wjj/ 五级
wjjf 五金
wjjn 五届
wjjx 五角星
wjkg 无家可归
wjks 无计可施
wjl 吾
wjl 軎
wjly 五粮液
wjmb 外经贸部
wjn 五
wjnq 五年
wjp 恶
wjpc 巫婆
wjpo 恶
wjpz 卧铺
wjql 挖掘潜力
wjqq 五千
wjqy 物尽其用
wjrs 五日
wjry 外交人员
wjsd 巫师
wjsf 危机四伏
wjsg 五四
wjsg 巫山
wjsj 五十
wjsm 五讲四美
wjso 卧室
wjsq 未经授权
wjst 五色
wjsy 未尽事宜
wjsz 卧式
wjsz 物价上涨
wjth 五天
wjtj 外交途径
wjts 五台山
wjtt 五条
wjtx 卧榻
wjw; 五万
wjwl 五味
wjwp 违禁物品
wjws 无拘无束
wjxe 五行
wjxg 巫峡
wjxj 五星级
wjxk 未经许可
wjxp 五线谱
wjxs 五星
wjxw 违纪行为
wjxy 斡旋
wjy 馼
wjyd 五月
wjyj 五一节
wjyr 馼
wjys 无济于事
wjyw 五岳
wjyz 五一
wjzb 无价之宝
wjzc 五洲
wjzd 五脏
wjzg 五中
wjzi 卧着
wjzm 五脏庙
wjzq 五子棋
wjzs 物价指数
wjzt 无稽之谈
wjzu 五指
wk 威
wk, 戊
wk,v 戊
wk;q 威
wkb 兀
wkbb 无可辩驳
wkbn 无可比拟
wkbr 无孔不入
wkbz 威逼
wkes 威尔士
wkfg 无可奉告
wkft 威风
wkfy 无可非议
wkhc 威海
wkhf 无可厚非
wkhl 威吓
wkhs 威海市
wkj 歪
wkjj 歪
wkjy 无可救药
wkkq 碗筷
wkl, 威力
wklg 碗里
wklh 歪理
wkly 兀立
wkmt 威猛
wknh 无可奈何
wkns 威尼斯
wko 碗
wko, 碗
wkq 硪
wkqa 硪
wkqg 歪曲
wkqx 威权
wkso 威慑
wktl 唯恐天下不乱
wkwh 无可挽回
wkwh 威武
wkwy 威望
wkxd 威胁
wkxf 威信
wkxk 戊戌
wkxs 挖空心思
wkyj 威严
wkym 网开一面
wkzb 无可争辩
wkzd 纨绔子弟
wkzi 歪着
wkzl 威震
wkzw 兀自
wkzy 无可争议
wl 吴
wlaq 网络安全
wlbg 吴邦国
wlbl 吻别
wlbt 乌兰巴托
wlbz 无利不起早
wlcc 万里长城
wlcz 万里长征
wldi 味道
wldt 唯独
wlf 唯
wlfw 网络服务
wlfy 唯
wlg 喂
wlgj 喂
wlgl 网络管理
wlgz 吴官正
wlh 味
wlhd 五雷轰顶
wlhd 味
wlhf 吻合
wlhl 呜呼
wlhr 吴
wlht 无力回天
wlj 唔
wljc 吴江
wlji 味精
wljj 万籁俱寂
wljn 唔
wljo 味觉
wljs 网络技术
wlkh 雾里看花
wlkj 唯恐
wlkt 无利可图
wlm/ 喂马
wlmi 味美
wlmq 乌鲁木齐
wlms 乌鲁木齐市
wln 喔
wln, 喂奶
wlnf 吻你
wlnq 喔
wlqj 唯其
wlqn 无理取闹
wlqq 雾气
wlqs 五劳七伤
wlr 嗡
wlr. 嗡
wlrh 无论如何
wlsg 雾水
wlsl 哇噻
wlsp 伪劣商品
wlsq 网络适配器
wlst 唯利是图
wlt 雾
wlte 吻
wltn 呜
wltp 雾
wlv 哇
wlvv 哇
wlwl 喔喔
wlwl 嗡嗡
wlwl 呜呜
wlwq 唯物
wlwy 万里无云
wlxl 唯心论
wlxp 唯心
wlxs 未老先衰
wlxs 歪理邪说
wlxt 网络系统
wlxx 网络信息
wly 雯
wlyi 喂养
wlyk 唯有
wlyl 呜咽
wlyp ^吴语
wlyr 雯
wlys 微量元素
wlyv ^吴越
wlyx 网络游戏
wlyy ^吴越语
wlyz 唯一
wlzy 网络资源
wm 卫
wmbt 万马奔腾
wmbw 卫兵
wmbz 萎靡不振
wmch 为民除害
wmck 外贸出口
wmdj 我们大家
wmdm 卫队
wmdw 文明单位
wmg 隈
wmgg 卫国
wmgj 隈
wmjl 物美价廉
wmk 阢
wmkb 阢
wmky 我们可以
wmlm 文明礼貌
wmmg 卫冕
wmqg 闻名全国
wmqm 为民请命
wmqy 万马齐喑
wmsb 卫生部
wmsc 唯命是从
wmsj 卫生间
wmsj 卫士
wmsj 卫生巾
wmsj 卫生局
wmsk 卫戍
wmsm 卫生棉
wmsp 卫视
wmsq 卫生
wmst 卫生厅
wmsy 卫生院
wmsz 卫生纸
wmw 隗
wmwn 隗
wmwq 完美无缺
wmwx 惟妙惟肖
wmwx 完美无瑕
wmwx 维妙维肖
wmxd 歪门邪道
wmxe 闻名遐迩
wmxs 卫星
wmxx 卫校
wmyd 我们一定
wmys 闻名于世
wmyx 无名英雄
wmz 卫
wmzb 无名之辈
wmzc 无米之炊
wmzk 望梅止渴
wmzt 亡命之徒
wmzw 闻名中外
wn 屋
wn;v 屋
wnao 慰安
wnbm 尾巴
wnby 尾部
wncf 望女成凤
wncy 吴牛喘月
wndj 屋顶
wnhe 屋后
wnj 尉
wnjb 慰藉
wnjh 万念俱灰
wnjt 屋角
wnjv 尉
wnjy 屋脊
wnlb 慰劳
wnlg 屋里
wnmk 屋面
wnng 屋内
wnp 慰
wnpe 尾盘
wnpo 慰
wnq 尾
wnq; 尾
wnqq 尾气
wnqx 畏难情绪
wnrc 温暖如春
wnrl 委内瑞拉
wnry 未能如愿
wnsi 尾数
wnsj 尾声
wnsm 尾随
wnwd 慰问电
wnwl 无能为力
wnwp 慰问品
wnwt 屋外
wnwu 慰问
wnwx 慰问信
wnyo 屋宇
wnyx 屋檐
wnzj 忘年之交
wnzm 屋子
wnzs 污泥浊水
wo 完
wob; 完毕
wobc 窝边草
wobt 完备
wocb 窝藏
woch 完成后
wock 完成
wocm 悟出
wod; 悟到
woda 窝点
wodm 完蛋
wof 惟
wofy 惟
wog 惘
wogi 惘
wogj 完工
woh 怃
woh, 完好
woh, 完婚
wohi 窝火
wohl 完好率
woht 完
woht 怃
woj 悟
woj/ 完结
wojn 悟
wol 窝
wold 窝里斗
wolf 窝里反
wolg 窝
wolm 完了
wom 寤
womc 完满
womi 完美
womk 寤
wonf 窝囊废
woni 忤逆
wonj 窝囊
woo 惋
woo, 惋
wopx 窝棚
woq 忤
woqf 完全
woqj 忤
woqs 完全是
wor, 宛如
worb 宛若
wort 宛然
wos 剜
wosi 完善
wosj 完事
wosq 完税
wot 宛
woto 窝头
wotp 宛
wowo 窝窝
woxo 惋惜
woxo 悟性
wozj 完整
wozx 完整性
wp 误
wpbu 误报
wpcf 误传
wpci 误差
wpda 误点
wpdn 误导
wpdp 误读
wpg 谓
wpgg 误国
wpgj 误工
wpgj 诿过
wpgj 谓
wpgq 诬告
wph 袜
wphd 袜
wphf 误会
wpj 诬
wpjf 诬
wpjt 误解
wplh 误
wplj 诬赖
wpmb 诬蔑
wpmk 误码
wpml 误码率
wpq 诿
wpqd 诿
wpqz 误区
wprr 误入
wprw 误认为
wpsf 误伤
wpsj 误事
wpsr 误杀
wpss 误时
wpwi 误为
wpxm 诬陷
wpyp 谓语
wpyt 误用
wpyw 误以为
wpzm 袜子
wpzp 误诊
wq 物
wq, 委
wq,z 委
wqa 我
wqab 我
wqan 我爱你
wqar 我爱
wqba 稳步
wqbf 舞伴
wqbi 舞弊
wqbs 无巧不成书
wqby 无奇不有
wqbz 乌七八糟
wqca 午餐
wqcc 舞池
wqcv 舞场
wqcy 物产
wqdf 稳当
wqdf 我党
wqdh 舞动
wqdj 舞蹈家
wqdl 舞蹈
wqdo 稳定
wqdw 我的
wqdx 稳定性
wqft 午饭
wqfy 我方
wqgg 我国
wqgg 稳固
wqhe 午后
wqhf 舞会
wqhf 物候
wqj 午
wqjb 物价表
wqjf 物价
wqjf 稳健
wqjj 物价局
wqjn 舞剧
wqjn 牾
wqjo 我家
wqjp 我军
wqju 午间
wqjy 我将
wqkq 我看
wqky 完全可以
wql, 物力
wqlc 物流
wqlh 物理
wqli 物料
wqlx 物理学
wqmf 我们
wqmj 我们将
wqmm 温情脉脉
wqms 我们是
wqmy 我们要
wqmz 我们在
wqn, 舞女
wqn. 我能
wqp 逶
wqpb 顽强拼搏
wqpc 委派
wqpl 物品
wqpv 委培
wqpv 迕
wqpv 逶
wqqf 物权法
wqqg 委曲
wqqg 舞曲
wqqi 午前
wqqn 委屈
wqqq 委曲求全
wqqv 舞起
wqqx 物权
wqrf 委任
wqrw 我认为
wqsd 我省
wqse 我所
wqsg 午睡
wqso 委实
wqsp 我说
wqss 歪曲事实
wqst 物色
wqsy 我市
wqt 舞
wqt. 舞台
wqte 物
wqtf 物体
wqtk 舞厅
wqtn 稳
wqtr 稳妥
wqts 委托书
wqtu 委托
wqtv 舞坛
wqtx 无期徒刑
wqty 舞
wqw 魏
wqw, 委婉
wqwg 无牵无挂
wqwj 无穷无尽
wqwn 魏
wqws 无权无势
wqwu 我问
wqxb 望其项背
wqxf 午休
wqxw 我希望
wqxx 我想
wqy. 委以
wqyh 委员会
wqyj 我要
wqyk 稳压
wqyl 委员
wqym 我院
wqyo 午宴
wqyq 逶迤
wqyr 物欲
wqys 物业
wqyy 午夜
wqyz 委员长
wqzb 武器装备
wqzc 万全之策
wqze 物质
wqzf 稳住
wqzg 外强中干
wqzi 舞着
wqzj 物资局
wqzk 我在
wqzp 物证
wqzq 稳重
wqzy 物资
wqzy 舞姿
wr 翁
wr.; 翁
wr; 瓮
wr;. 瓮
wrcf 蔚然成风
wrcs 为人处事
wrgw 无人过问
wrkx 万人空巷
wrmk 文人墨客
wrmw 为人民服务
wrqr 文如其人
wrqt 误入歧途
wrsb 为人师表
wrsp 无人售票
wrsz 为人所知
wrts 稳如泰山
wrtt 温柔体贴
wrwj 无人问津
wrxq 文人相轻
wryl 巍然屹立
wrzd 误人子弟
wrzz 为人正直
ws 晚
wsao 晚安
wsba 晚辈
wsbb 五十步笑百步
wsbc 万死不辞
wsbd 纹丝不动
wsbd 为数不多
wsbd 无事不登三宝殿
wsbg 玩世不恭
wsbh 晚班
wsbj 卫生保健
wsbn 无所不能
wsbq 畏缩不前
wsbs 为数不少
wsbt 无所不谈
wsbu 晚报
wsbw 无所不为
wsby 无所不有
wsbz 无所不在
wsca 晚餐
wscl 污水处理
wsda 晚点
wsdh 无绳电话
wsdj 万事大吉
wsdq 晚稻
wsdy 无伤大雅
wsdz 外商独资
wsft 晚风
wsft 晚饭
wsfx 无私奉献
wsfy 卫生防疫
wsgj 无所顾忌
wsgw 网上购物
wsgz 为时过早
wsh 旺
wsh, 晚婚
wsha 旺
wshd 外事活动
wshf 晚会
wshh 文山会海
wshi 旺火
wshm 韪
wsj 晤
wsjb 万事俱备
wsjb 晚节
wsjn 晤
wsjq 旺季
wsjs 晚景
wsju 晚间
wskn 万事开头难
wsll 威慑力量
wsnq 晚年
wspf 污水排放
wsqc 晚清
wsqj 晚期
wsqq 晚秋
wsqs 万水千山
wsry 万事如意
wssa 晚上
wssc 无所适从
wssf 无事生非
wssk 旺盛
wsss 无所事事
wssy 晚熟
wssz 为时尚早
wstg 晚
wstj 卫生条件
wsty 外商投资企业
wstz 外商投资
wswj 无所畏惧
wswj 万寿无疆
wswk 无时无刻
wswq 瓮声瓮气
wsws 旺盛
wsww 闻所未闻
wsww 万事万物
wsww 畏首畏尾
wswx 无声无息
wsxa 晚些
wsxl 晚霞
wsxy 温室效应
wsyh 握手言和
wsyo 晚宴
wsyw 为所欲为
wsyw 为时已晚
wsyx 无所用心
wsyy 晚育
wszw 无所作为
wszx 晚自习
wt 外
wt, 务
wt/ 危
wtb, 外边
wtbh 外表
wtbo 外宾
wtbp 务必
wtbt 外包
wtbv 外埠
wtbw 外币
wtby 外部
wtcm 外出
wtcn 外层
wtcv 外场
wtdg 外电
wtdh 勿动
wtdj 外带
wtdp 外调
wtdr 外地人
wtdv 外地
wte 勿
wtf 外
wtfp 危房
wtfy 外方
wtg 猬
wtg. 外观
wtgd 乌干达
wtgg 外国
wtgh 外国货
wtgj 猥
wtgj 猬
wtgr 外公
wtgr 外国人
wtgt 乌龟
wtgu 外挂
wtgy 外国语
wthc 外汇
wthe 外行
wthg 乌黑
wthh 外环
wthl 外号
wtho 危害
wthx 危害性
wtj, 外加
wtj/ 外经
wtjb 外交部
wtjf 乌金
wtjg 危机感
wtjg 外界
wtjg 外交官
wtjj 外交家
wtjm 外经贸
wtjn 危局
wtjp 外军
wtjq 外籍
wtjs 外景
wtjt 危急
wtjt 危及
wtju 外接
wtjx 危机
wtjy 外交
wtk 鲔
wtkd 鲔
wtkj 外壳
wtkl 乌克兰
wtko 外快
wtkq 外科
wtkx 外框
wtl, 外力
wtl; 外轮
wtlc 外流
wtlg 乌拉圭
wtlk 乌龙
wtll 外来
