g 个
gcwc 港湾
gcwj 港务局
gcwt 港务
gcxm 工程项目
gcxq 滚雪球
gcxy 工程学院
gcy 滚
gcyh 港元
gcyr 滚
gczc 灌注
gczh 滚珠
gczl 工程质量
gczr 光彩照人
gczx 贯彻执行
gczy 共产主义
gczz 共产主义者
gd 归
gdao 归案
gday 肝癌
gdbd 胳膊
gdbi 归并
gdbj 股本
gdbn 胳臂
gdby 肝病
gdcy 故地重游
gdd; 股东
gddd 肝胆
gddh 股东大会
gddm 归队
gddx 归档
gde 胍
gde. 胍
gdf 胱
gdff 股份
gdfm 归附
gdfq 胱
gdfs 肝腹水
gdfz 股份制
gdgg 股骨
gdgg 归国
gdgh 更多更好
gdgj 归功
gdgp 敢打敢拼
gdgr 归公
gdgx 归根
gdgy 归功于
gdh 肝
gdhi 肝火
gdhk 归还
gdhl 固定汇率
gdhx 肝
gdj 肛
gdj/ 归结
gdjf 股价
gdjo 归家
gdjq 各大军区
gdjt 归咎
gdjw 归结为
gdjy 高等教育
gdjy 归咎于
gdjz 臌
gdjz 肛
gdk 尜
gdk. 肱
gdkl 归口
gdku 尜
gdli 归类
gdll 归来
gdlq 股利
gdmj 耕地面积
gdmn 股民
gdmu 肛门
gdmz 高度民主
gdn/ 归纳
gdnf 归纳法
gdng 共渡难关
gdnz 归
gdpj 股票
gdpp 股评
gdqf 归侨
gdqj 归期
gdqs 各得其所
gdqv 归去
gdqx 股权
gdqz 广大群众
gdrc 古道热肠
gdrm 广大人民
gdrr 归入
gdrz 广大人民群众
gdsb 光电鼠标
gdsi 股数
gdsm 广大市民
gdsn 归属
gdso 归宿
gdsp 高档商品
gdsq 过渡时期
gdsr 固定收入
gdsw 归顺
gdsy 股市
gdt 股
gdt. 股
gdtf 归途
gdtv 胳
gdwi 归为
gdxm 归降
gdxt 供电系统
gdxw 股息
gdxx 高等学校
gdxz 肝胆相照
gdy 光大银行
gdyh 肝硬化
gdyh 归于
gdyi 肝炎
gdym 归隐
gdyq 供大于求
gdyx 高等院校
gdz 膈
gdzc 固定资产
gdzd 肝脏
gdzg 广大职工
gdzl 膈
gdzm 股子
gdzq 股长
gdzs 高度重视
gdzu 股指
gdzz 扛鼎之作
ge 瓜
ge.v 瓜
gedd 感恩戴德
gefq 高尔夫球
gefr 瓜分
gegb 瓜葛
gegg 瓜果
gegz 广而告之
gep, 瓜皮
gery 瓜瓤
getb 感恩图报
gews 公而忘私
gez 舸
gezl 舸
gezm 瓜子
gf 光
gf, 伽
gf,l 伽
gfao 个案
gfbc 光波
gfbh 光斑
gfbl 个别
gfbr 功夫不负有心人
gfbu 个把
gfbx 光标
gfbz 国防部长
gfcc 估测
gfcm 供出
gfcp 供词
gfcr 光彩
gfdg 供电
gfdg 光电
gfdj 供电局
gfdk 光碟
gfdk 光大
gfdx 国防大学
gfdz 光电子
gfet 个儿
gffh 供奉
gffq 光复
gfgd 个股
gfgf 个个
gfgk 光顾
gfgq 供稿
gfgs 股份公司
gfgx 光棍
gfhc 光滑
gfhf 供货
gfhf 光辉
gfhh 光环
gfhs 供货商
gfj 供
gfj/ 供给
gfja 供
gfjc 光洁
gfjd 光脚
gfjf 估价
gfjl 估
gfjp 估计
gfjs 光景
gfjx 个旧
gfk 颌
gfkg 颌
gfkq 光靠
gfku 光控
gfkz 广泛开展
gfl 合
gfl/ 光缆
gflb 佝偻病
gflf 佝偻
gflj 高风亮节
gfll 光溜溜
gfls 光临
gfls 估量
gfly 光亮
gfmb 光芒
gfms 光明
gfmu 估摸
gfn. 光能
gfnq 光年
gfns 供暖
gfo 倌
gfom 倌
gfpc 鸽派
gfpe 光盘
gfpp 光谱
gfq 仡
gfq/ 光驱
gfqb 仡
gfqc 光
gfqg 光圈
gfqj 供求
gfrb 光荣
gfrf 个人
gfrp 供认
gfru 供热
gfru 光热
gfs 刽
gfsg 供水
gfsg 鬼斧神工
gfsi 个数
gfsj 光速
gfsq 估算
gfss 光是
gfsx 光栅
gft 鸽
gftf 个体
gfth 个体户
gftl 佝
gfto 个头
gfto 光头
gftp 鸽
gftt 光秃秃
gfw 傀
gfwf 个位
gfwn 傀
gfx 个
gfx/ 光线
gfxh 个性化
gfxl 供需
gfxo 个性
gfxo 光学
gfxs 供销社
gfxt 光鲜
gfxw 供血
gfxy 刮风下雨
gfxz 供销
gfyc 光源
gfyf 光耀
gfyi 供养
gfyl 供应量
gfym 光阴
gfys 光影
gfys 股份有限公司
gfys 供应商
gfyy 供应
gfyz 供应站
gfz; 光轴
gfza 供桌
gfzc 光泽
gfzg 个中
gfzi 光着
gfzj 供职
gfzm 鸽子
gfzm 光子
gfzs 孤芳自赏
gfzs 光照
gfzs 刽子手
gfzz 股份制改造
gg 国
ggad 国奥队
ggaw 国奥
ggay 骨癌
ggbb 亘古不变
ggbg 国宾馆
ggbi 购并
ggbl 国别
ggbm 各个部门
ggbo 贵宾
ggbo 国宝
ggbr 格格不入
ggbu 刚把
ggbx 国标
ggby 故宫博物院
ggcf 刚从
ggch 公共场合
ggch 国产化
ggci 国粹
ggcj 刚才
ggck 贵厂
ggcq 国策
ggcs 公共场所
ggcy 国产
ggcz 公共财政
ggd 骨
ggd; 刚到
ggdd 归根到底
ggdf 各个地方
ggdi 果断
ggdj 国都
ggdk 国大
ggdl 盖棺定论
ggdo 固定
ggdq 各个地区
ggdw 各个单位
ggdx 革故鼎新
ggdy 国度
ggdy 果冻
ggel 滚滚而来
ggf 蛤
ggf, 贵妃
ggfa 改革方案
ggfb 国防部
ggfc 国法
ggfm 国防
ggfp 购房
ggfy 贵方
ggfz 改革发展
ggfz 蛤
ggg 贵
gggd 鳏寡孤独
gggf 贵
gggg 刚刚
gggg 骨骼
gggh 骨干
gggh 帼
gggh 蝈
gggh 蜾
gggj 国共
gggj 崮
gggk 骨感
gggl 公共管理
gggn 果敢
gggr 岗
gggs 蛊
gggx 公共关系
gggy 贵庚
gggz 国歌
ggh 果
ggh, 刚好
ggha 国
gghb 国花
gghe 国徽
gghf 国货
gghf 国会
gghk 骨灰
gghl 高官厚禄
gghq 归国华侨
gghz 国画
gghz 蛊惑
gghz 果
ggj 固
ggj, 骨架
ggj. 刚劲
ggjc 果酒
ggjd 归根结底
ggjf 国际法
ggjg 贵贱
ggjg 国界
ggjh 国际化
ggjj 干干净净
ggjj 恭恭敬敬
ggjj 规规矩矩
ggjj 罡
ggjl 蛄
ggjl 罟
ggjl 固
ggjm 国际
ggjn 国君
ggjo 国家
ggjp 各个击破
ggjq 国籍
ggjs 国际上
ggjv 国境
ggjx 国际性
ggjy 果酱
ggkf 改革开放
ggko 贵客
ggkq 骨科
ggkq 国库券
ggks 刚开始
ggky 国库
ggl, 国力
gglk 刚烈
gglk 骨碌
ggll 刚来
gglr 孤寡老人
ggls 滚瓜烂熟
gglx 岗楼
ggly 公共利益
ggly 国立
ggmb 购买
ggmd 国民党
ggmi 国美
ggmj 灌溉面积
ggml 购买力
ggmn 国民
ggmt 国名
ggmu 国门
ggmx 果木
ggmz 购买者
ggn. 国难
ggng 国内
ggnp 果农
ggnw 国内外
ggp, 果皮
ggpj 购票
ggpl 果品
ggq 虼
ggqb 虼
ggqc 公共汽车
ggqf 国企
ggqj 刚巧
ggqj 国庆节
ggqn 刚强
ggqo 国情
ggqq 骨气
ggqr 国庆日
ggqy 国庆
ggqy 国旗
ggr 冈
ggr. 蚣
ggrf 国人
ggrg 骨肉
ggrg 果肉
ggrm 各国人民
ggrr 购入
ggrs 果然是
ggrt 果然
ggrt 固然
ggs 刚
ggs 刿
ggs, 固始
ggs/ 购书
ggsc 固沙
ggsd 歌功颂德
ggsg 骨髓
ggsj 国事
ggsl 岗哨
ggso 果实
ggso 固守
ggsq 国税
ggss 公共设施
ggss 鬼鬼祟祟
ggsx 果树
ggt 购
ggt. 购
ggtf 固体
ggtf 国体
ggtk 固态
ggtl 岣
ggto 骨头
ggtp 鹘
ggtq 国统区
ggtv 国土
ggtv 骼
ggty 岗亭
ggwf 岗位
ggwh 国王
ggwk 国威
ggwq 购物
ggwq 国务卿
ggws 公共卫生
ggwt 国外
ggwt 国务
ggwy 国务院
ggx, 贵姓
ggxm 攻关项目
ggxo 国学
ggxo 刚性
ggxx 高高兴兴
ggxx 贵校
ggxz 购销
ggy 赅
ggy, 赅
ggyb 国营
ggyf 国优
ggyg 国有股
ggyg 果园
ggyh 耿耿于怀
ggyk 固有
ggyk 国有
ggyl 崞
ggym 贵阳
ggyo 国宴
ggyp 国语
ggyq 供过于求
ggys 贵阳市
ggyy 刚毅
ggzb 国葬
ggzc 果汁
ggzd 呱呱坠地
ggze 骨质
ggzf 国债
ggzg 购置
ggzi 贵州
ggzj 刚直
ggzj 果真
ggzk 贵在
ggzl 骨子里
ggzm 果子
ggzq 贵重
ggzs 高高在上
ggzu 骨折
ggzu 固执
ggzv 刚走
ggzx 改过自新
ggzy 贵族
ggzz 工工整整
gh 干
ghbb 干巴巴
ghbg 干贝
ghbn 规避
ghbo 瑰宝
ghbx 干杯
ghby 干部
ghby 干瘪
ghbz 关怀备至
ghca 干柴
ghcd 干脆
ghcl 光辉灿烂
ghcm 干出
ghcq 过河拆桥
ghcq 规程
ghde 干得
ghdi 干道
ghdo 规定
ghds 规定是
ghdu 干掉
ghdv 耕地
ghdx 规定性
ghfb 规范
ghfh 规范化
ghfi 干粉
ghfx 规范性
ghg 规
ghg; 干戈
ghgg 干果
ghgh 规格化
ghgt 觏
ghgt 规
ghgx 规格
ghgy 各行各业
ghh 耕
ghh, 干好
ghh; 规划
ghhc 干活
ghhc 干涸
ghhe 干活儿
ghhs 干旱
ghhw 耕
ghhz 规划中
ghj 珙
ghj. 干劲
ghja 珙
ghjb 干警
ghjp 规诫
ghjq 规矩
ghjy 干净
ghkc 干渴
ghkx 干枯
ghl/ 干练
ghlc 干流
ghle 规律
ghli 干粮
ghlj 干酪
ghlk 干裂
ghlx 规律性
ghlz 瑰丽
ghmh 规模化
ghml 干吗
ghmx 规模
ghnq 耕牛
ghp 遘
ghpv 遘
ghq. 规劝
ghqc 干渠
ghqn 干群
ghrs 隔行如隔山
ghrs 干扰素
ghru 干扰
ghrx 蛊惑人心
ghsc 干涉
ghsj 干事
ghsl 干啥
ghsm 干什么
ghsp 勾魂摄魄
ghsy 干瘦
ghtg 耕田
ghw 瑰
ghwn 瑰
ghx 干
ghx/ 干线
ghxb 干细胞
ghxc 干洗
ghxo 干性
ghxs 干休所
ghxt 干系
ghxw 隔海相望
ghxx 干校
ghy. 干预
ghyg 孤魂野鬼
ghyh 耕耘
ghyy 国会议员
ghzf 耕作
ghzg 规则
ghzi 干燥
ghzj 干燥剂
ghzq 耕种
ghzy 规章
ghzz 工会组织
gi 关
giam 关隘
giar 关爱
gibt 糕饼
gibu 关闭
gibz 盖被子
gid; 关东
gida 糕点
gidi 关灯
gidt 关岛
gidu 关掉
gifp 盖房
gig 盖
gigr 关公
gigs 盖
gih, 关好
giho 关怀
gihr 关乎
gihr 关
gii 糕
giih 羹
giih 糕
gijb 关节
gijc 关键词
gijf 关键
gijh 关进
gijs 关键是
gijx 关机
gijy 关节炎
gijz 关键
gikl 关口
gilj 关联
gimu 关门
gin 炔
ging 关内
ginr 炔
gio 羔
gioo 羔
giq; 关切
giqa 关卡
giqv 关起
gisa 关上
gisq 关税
gito 关头
gixd 关系到
gixh 关系户
gixp 关心
gixs 关系上
gixt 关系
gixw 关系网
gixz 关系着
giy. 关羽
giyh 关于
giyi 羔羊
giyt 盖印
giyu 关押
giz 馘
gizc 关注
gizf 盖住
gizg 关中
gizl 馘
gizm 盖子
gizn 关张
gizs 关照
gizy 盖章
gj 过
gj, 功
gj; 丐
gja 甘
gjah 国际奥委会
gjaj 古埃及
gjaq 国家安全
gjaz 甘
gjbf 工本费
gjbf 古堡
gjbi 过半
gjbj 工本
gjbk 更不
gjbm 古巴
gjbn 更不能
gjbq 过不去
gjbs 更不是
gjbw 工兵
gjbx 古板
gjby 过把瘾
gjbz 国际标准
gjca 故此
gjcb 甘草
gjcd 共产党
gjcf 共创
gjcj 功臣
gjck 工厂
gjck 共存
gjcl 鼓吹
gjcm 革除
gjcq 过程
gjcq 工程
gjcs 工程师
gjct 共处
gjcv 古城
gjcw 共存亡
gjcy 工程院
gjcy 故伎重演
gjcz 过错
gjcz 过程中
gjdb 古董
gjdc 过渡
gjdd 诡计多端
gjde 功德
gjdf 古代
gjdg 古典
gjdh 鼓动
gjdi 过道
gjdj 古都
gjdk 更大
gjdp 攻读
gjdq 更迭
gjdq 过得去
gjdq 过渡期
gjds 国家大事
gjdt 更多
gjdt 过多
gjdu 攻打
gjdv 工地
gjdw 各级党委
gjdx 过渡性
gjdy 过度
gjdy 功底
gjdy 共度
gje; 共轭
gjej 国际儿童节
gjek 故而
gjf 恭
gjff 古佛
gjfg 工蜂
gjfh 功夫
gjfh 工夫
gjfj 鼓风机
gjfm 攻防
gjfo 恭
gjfp 工房
gjfr 过分
gjft 辜负
gjfv 共赴
gjfx 国家副主席
gjfy 功放
gjfz 孤军奋战
gjg 革
gjgf 贡
gjgf 贾
gjgg 巩固
gjgh 瞽
gjgh 革
gjgi 攻关
gjgi 过关
gjgj 功过
gjgl 国际惯例
gjgn 更改
gjgo 故宫
gjgo 古怪
gjgq 共管
gjgr 孤家寡人
gjgr 汞
gjgs 高级工程师
gjgx 国际关系
gjgy 更高
gjh 酐
gjh, 更好
gjh, 恭贺
gjhb 国际货币
gjhc 过河
gjhe 过后
gjhe 工行
gjhf 工会
gjhf 恭候
gjhg 共和国
gjhh 功耗
gjhi 过火
gjhj 国际环境
gjhk 更何况
gjhn 共患难
gjhp 过户
gjhq 共和
gjhs 鞲
gjht 钢筋混凝土
gjhu 更换
gjhw 国际互联网
gjhx 酐
gjhy 国际会议
gji 耿
gjir 耿
gjj 鼓
gjj, 更加
gjj. 鼓劲
gjj. 鼓
gjj/ 功绩
gjjb 恭敬
gjjb 过节
gjjc 国际机场
gjjc 过激
gjjf 古今
gjjf 更佳
gjjf 工件
gjjg 工具
gjjh 攻击
gjjj 国际经济
gjjl 工具栏
gjjl 酤
gjjn 共建
gjjn 故居
gjjp 共计
gjjq 古籍
gjjr 国际金融
gjjs 攻坚
gjjt 过几天
gjjt 过急
gjjv 过境
gjjw 国家计委
gjjx 工具箱
gjjy 古迹
gjjy 过奖
gjjz 工匠
gjjz 国际竞争
gjkb 甘苦
gjkj 攻克
gjkk 工矿
gjko 更快
gjkp 功课
gjkq 工科
gjl 古
gjl, 功力
gjla 工龄
gjlb 功劳
gjlc 过滤
gjlg 攻略
gjlj 古老
gjlk 鼓励
gjll 过来
gjll 过路
gjll 甘露
gjll 干净利落
gjlq 功利
gjlr 国家领导人
gjls 过量
gjlt 过两天
gjlx 鼓楼
gjly 功率
gjly 国家利益
gjmb 古墓
gjmf 革命
gjmg 过目
gjmg 甘冒
gjmh 革命化
gjmi 甘美
gjmi 更美
gjmj 革命家
gjml 共鸣
gjmq 过敏
gjms 国计民生
gjmt 共勉
gjmt 更名
gjmt 工贸
gjmt 功名
gjmu 过门
gjmx 革命性
gjmy 国际贸易
gjmz 革命者
gjn 更
gjn. 功能
gjna 嘏
gjnb 工农兵
gjnj 功能键
gjnp 工农
gjnq 过年
gjnq 更年期
gjny 工农业
gjnz 更
gjpk 攻破
gjpo 更怕
gjpv 过
gjpx 古朴
gjpx 工棚
gjq 故
gjqb 乾
gjqh 古琴
gjqj 过期
gjqn 更强
gjqp 恭请
gjqr 攻
gjqr 故
gjqs 过去时
gjqt 共青团
gjqv 过去
gjqw 甘泉
gjqx 聒
gjqy 共庆
gjqz 工钱
gjqz 工区
gjr 共
gjrd 工人党
gjrf 故人
gjrf 工人
gjrf 古人
gjrl 古人类
gjrp 更让
gjrr 攻入
gjrs 各界人士
gjru 过热
gjrw 关键人物
gjry 高级人民法院
gjry 更容易
gjrz 过日子
gjs/ 古书
gjsa 过上
gjsb 甘薯
gjsc 国际市场
gjsc 更深
gjsd 更少
gjsf 工伤
gjsh 国际社会
gjsi 过塑
gjsj 故事
gjsj 工商局
gjsj 共事
gjsk 关键时刻
gjsk 过盛
gjsl 工商联
gjsn 甘肃
gjsn 各尽所能
gjso 攻守
gjsp 共识
gjsq 过剩
gjsq 过失
gjsr 甘受
gjss 更是
gjss 过时
gjss 工时
gjst 古色
gjsu 攻势
gjsw 国际事务
gjsx 古树
gjsy 工商
gjsy 工商业
gjsy 共商
gjsz 关键所在
gjt 巩
gjt. 彀
gjt. 毂
gjtd 共同点
gjtf 过堂
gjtg 共同
gjth 更替
gjtj 国家统计局
gjtl 感激涕零
gjtl 恭听
gjto 工头
gjto 过头
gjtp 鸪
gjtq 甘甜
gjtq 狗急跳墙
gjts 各具特色
gjtt 共同体
gjtv 故土
gjtv 巩
gjtx 共同性
gjty 国家统一
gjw/ 恭维
gjwe 过往
gjwh 革委会
gjwi 更为
gjwj 国家外汇管理局
gjwq 鼓舞
gjwq 古物
gjwt 关键问题
gjwu 过问
gjwy 古文
gjx/ 故乡
gjxb 工薪
gjxd 更小
gjxf 更像
gjxg 古县
gjxj 贡献
gjxj 恭喜
gjxl 功勋
gjxm 攻陷
gjxo 共性
gjxp 甘心
gjxq 古稀
gjxs 国际形势
gjxw 国际新闻
gjxy 工序
gjxy 共享
gjxy 更新
gjxy 功效
gjy 辜
gjyb 工艺
gjyc 甘油
gjyd 古驿道
gjyf 工余
gjyg 故园
gjyh 过于
gjyi 辜
gjyj 更要
gjyk 甘愿
gjyk 过硬
gjyk 更有
gjyk 共有
gjyk 工友
gjyl 国际舆论
gjyp 工艺品
gjyq 工业区
gjys 工业
gjyt 功用
gjyt 共用
gjyt 古猿
gjyw 国际要闻
gjyx 更有效
gjyy 故意
gjyy 过意
gjyy 过瘾
gjyy 过夜
gjz 工
gjza 攻占
gjzb 甘蔗
gjzc 高级职称
gjzf 工作
gjzf 鼓掌
gjzi 过着
gjzj 更正
gjzj 工整
gjzj 耿直
gjzj 革职
gjzl 工作量
gjzm 故障
gjzo 过窄
gjzp 恭祝
gjzr 工作日
gjzs 过早
gjzs 工作室
gjzt 工作台
gjzu 共振
gjzw 古今中外
gjzx 国家主席
gjzy 工资
gjzz 工作者
gk 感
gkbd 顾不得
gkbs 顾不上
gkct 感触
gkd; 感到
gkde 顾得
gkdh 感动
gkdj 顾大局
gkdz 高开低走
gkeg 感恩
gkf 尬
gkfw 尬
gkgd 感光度
gkgf 感光
gkgk 尴尬
gkgo 感官
gkgp 硅钢片
gkgr 硅谷
gkgz 硅钢
gkh 矸
gkhf 感化
gkhx 矸
gkj 龚
gkja 龚
gkjc 感激
gkjd 感觉到
gkjd 硅胶
gkjn 顾忌
gkjo 感觉
gkjt 顾及
gkk 顾
gkkg 顾
gkko 顾客
gkko 感慨
gkla 顾虑
gkld 孤苦伶仃
gklh 鬼哭狼嚎
gkmg 感冒
gknf 感念
gkpg 顾盼
gkpo 感
gkpw 硅片
gkqf 顾全
gkqo 感情
gkqy 工矿企业
gkrc 感染
gkrf 感人
gkrl 感染力
gkrz 感染者
gks 尴
gksd 感受到
gksf 感伤
gksj 硅酸
gksq 尴
gksr 感受
gkt 硌
gkth 感叹号
gktl 感叹
gktv 硌
gkv 硅
gkvv 硅
gkwo 感悟
gkwu 顾问
gkxb 公开选拔
gkxo 感性
gkxp 感谢
gkxq 感兴趣
gkxx 感想
gky 磙
gkyc 硅油
gkyk 功亏一篑
gkyl 广开言路
gkyr 磙
gkyy 感应
gkz, 感召
gkzl 感召力
gkzq 感知
gl 跟
gl, 咖
gl,l 咖
glb 噶
glbf 管理办法
glbh 跟班
glbm 管理部门
glbq 跪拜
glbs 跟不上
glbs 噶
glby 哥伦比亚
glcc 顾虑重重
glcf 跟从
gldf 跪倒
gldl 咕咚
gldo 跟斗
glds 高楼大厦
gle 呱
gle. 呱
glf 咣
glfq 咣
glfs 管理方式
glft 跟风
glfy 管理费用
glg 呙
glgj 呱呱叫
glgr 呙
glgs 管理公司
glgw 孤陋寡闻
glgz 管理工作
glhg 光临惠顾
glj 咕
glja 咁
gljg 管理机构
gljh 跟进
gljl 咕
gljn 哽
gljy 格鲁吉亚
gljz 管理机制
glk 嘎
glkg 嘎
glll 咕噜
glll 咖喱
glms 管理模式
gln 哏
gln; 跟
gln; 哏
glqi 跟前
glqx 管理权限
glry 管理人员
gls 剐
glsa 跟上
glsm 跟随
glsp 管理水平
glt 跪
gltg 管理体系
gltk 跪
gltl 管理条例
glto 跟头
gltv 咯
gltz 管理体制
glwy 孤立无援
glxc 寡廉鲜耻
glxj 跪下
glxt 管理系统
glxy 管理学院
glyl 哽咽
glys 公路运输
glz 嗝
glzd 管理制度
glzi 跟着
glzk 跟在
glzl 跟踪
glzl 嗝
glzx 管理中心
glzy 官僚主义
gm 隔
gmbn 隔壁
gmbw 过目不忘
gmcn 隔层
gmct 革命传统
gmdh 国民大会
gmdi 隔断
gmdi 孤单
gmdj 关门大吉
gmdl 革命道路
gmdt 孤独
gmdw 革命队伍
gmdy 沽名钓誉
gmdz 革命斗争
gme 孤
gme. 孤
gmet 孤儿
gmey 孤儿院
gmgd 革命根据地
gmgo 孤寡
gmgy 怪模怪样
gmhu 隔阂
gmj/ 隔绝
gmjj 国民经济
gmjo 孤寂
gmjp 孤军
gmjs 革命精神
gmjy 规模经营
gmkb 孤苦
gmkh 隔开
gmll 光明磊落
gmll 功名利禄
gmll 孤零零
gmly 隔离
gmly 孤立
gmmd 隔膜
gmpf 孤僻
gmqv 隔墙
gmrb 光明日报
gmrs 隔日
gmru 隔热
gmsr 国民收入
gmsw 孤身
gmsy 顾名思义
gmsz 国民生产总值
gmth 冠冕堂皇
gmwz 光芒万丈
gmxk 刮目相看
gmxl 革命先烈
gmxq 鬼迷心窍
gmy 陔
gmy, 陔
gmyh 国民议会
gmyy 隔夜
gmyz 革命意志
gmzd 光明正大
gmzi 隔着
gmzl 隔
gmzp 各民主党派
gmzz 革命战争
gn 改
gn; 艮
gn;c 艮
gnb 弓
gnb/ 改编
gnbg 敢不敢
gnbw 改版
gnby 改变
gnck 改成
gncq 改称
gncz 改错
gnde 改得
gndh 改动
gndi 改道
gndu 改掉
gng. 改观
gngh 敢干
gngj 改革
gngp 改革派
gngq 改稿
gngx 观念更新
gngz 改革者
gnh, 改好
gnhe 改行
gnhg 改回
gnhu 改换
gnj, 改嫁
gnjh 改进
gnjj 国内经济
gnjn 改建
gnjp 敢讲
gnjq 弓箭
gnkl 改口
gnlp 改良
gnmt 改名
gnmy 国内贸易
gnn, 弓弩
gnpi 改判
gnq 敢
gnqj 改期
gnqo 敢情
gnqr 改
gnqr 敢
gnrf 改任
gnrs 改日
gnsc 国内市场
gnsd 敢死队
gnsi 改善
gnsp 敢说
gnsz 国内生产总值
gntd 肝脑涂地
gnth 改天
gnwc 国内外市场
gnwi 改为
gnwu 敢问
gnx/ 改线
gnxh 弓形
gnxn 弓弦
gnxp 改写
gnxq 改选
gnxs 国内形势
gnxw 国内新闻
gnxx 故弄玄虚
gnyc 工农业生产
gnyh 敢于
gnyt 改用
gnz/ 改组
gnzf 改作
gnzf 敢做
gnzj 改正
gnzq 改造
gnzq 改制
gnzy 改装
gnzz 改锥
go 官
go. 怪
go.v 怪
go/ 惯
go/a 惯
goar 割爱
gob, 官办
gobd 怪不得
gobw 官版
gobw 官兵
gocb 割草
gocf 惯常
goci 官差
gocj 怪才
gocm 割除
gocv 官场
godi 割断
godn 宫殿
godt 官邸
godv 割地
gof, 寡妇
gofy 官方
gofy 官府
gog; 官
gogo 怪怪
gohp 官话
gohp 怪话
goj. 宫颈
gojl 怪叫
gojo 官家
gojp 官军
goju 割据
gojz 官架子
gok 寡
gokg 寡
gol 宫
golf 惯例
golf 官僚
golj 官吏
golk 割裂
goll 宫
golp 怪论
gols 惯量
gon, 宫女
gopk 割破
gopy 怪癖
