q 起
qcja 淇
qcjc 清洁
qcjg 浅见
qcjg 清洁工
qcjh 清静
qcjy 清净
qckb 清苦
qcko 清空
qcl, 潜力
qclg 潜力股
qclh 清理
qclm 浅陋
qcly 清凉
qcly 清廉
qclz 清丽
qcmj 清明节
qcms 清明
qcn. 潜能
qcox 青春偶像
qcp 沁
qcpo 沁
qcpr 清贫
qcq 汽
qcq; 汽
qcqb 汔
qcqc 浅浅
qcqd 湫
qcqj 去粗取精
qcql 漆器
qcql 群策群力
qcqt 清欠
qcqw 清泉
qcrr 潜入
qcru 清热
qcsc 缺吃少穿
qcsg 清水
qcsg 潜水
qcsg 汽水
qcsj 前程似锦
qcsp 浅说
qcsq 清算
qcsr 浅释
qcst 潜水艇
qcst 浅色
qcsu 清扫
qcsx 漆树
qcsy 清瘦
qcsy 洽商
qcsz 清爽
qctc 清汤
qctc 浅滩
qcte 潜艇
qcte 汽艇
qcth 洽谈会
qctn 清退
qctp 洽谈
qctq 清甜
qctr 潜逃
qcts 洽谈室
qcwb 千差万别
qcwh 起草委员会
qcwj 潜望镜
qcx 柒
qcx 渠
qcxc 清洗
qcxd 清晰度
qcxf 漆
qcxj 清醒
qcxp 潜心
qcxq 清香
qcxq 清秀
qcxs 清晰
qcxu 清闲
qcxx 气喘吁吁
qcxy 清新
qcy 泣
qcyc 汽油
qcyh 清远
qcyi 泣
qcyj 汽油机
qcyl 青出于蓝
qcym 沁阳
qcys 潜意识
qcys 清一色
qcyx 清幽
qcyy 气喘吁吁
qcyy 清音
qczb 清蒸
qcze 潜质
qczg 清账
qczj 前车之鉴
qczj 清真
qczk 潜在
qczs 清早
qczs 清真寺
qczz 浅尝辄止
qd 腔
qdbf 气度不凡
qdbh 雀斑
qdck 情窦初开
qdcn 枪打出头鸟
qdcz 屈打成招
qddp 腔调
qdgx 裙带关系
qdhc 恰到好处
qdi 雀
qdix 雀
qdjt 拳打脚踢
qdlx 取得联系
qdnt 雀鸟
qdo, 腔
qdqg 全党全国
qdsx 取得实效
qdt 朐
qdtf 肷
qdtg 巧夺天工
qdtl 朐
qdtz 全党同志
qdwg 千刀万剐
qdy 脐
qdyl 雀跃
qdyr 脐
qe 衢
qebb 千儿八百
qebs 锲而不舍
qedz 取而代之
qegh 衢
qek 颀
qekg 颀
qelx 妻儿老小
qep 愆
qepo 愆
qewx 千恩万谢
qexg 衢县
qeyj 轻而易举
qezi 衢州
qf 全
qf,l 伽
qf. 俟
qf.q 俟
qf; 倾
qf;k 倾
qf;r 戗
qfa 企
qfaa 企
qfb, 侨办
qfbd 侨胞
qfbh 全班
qfbj 千方百计
qfbk 全不
qfby 全部
qfbz 全不知
qfc/ 倾巢
qfcj 全才
qfck 全厂
qfcq 全长
qfcq 全称
qfcq 全程
qfcv 全场
qfcx 全村
qfdf 倾倒
qfdf 全党
qfdj 全都
qfdk 侵夺
qfdm 全队
qfdq 全等
qfds 棋逢对手
qfdt 全岛
qfeo 全额
qfeq 企鹅
qff 俏
qffc 俏
qffm 全方面
qfft 侵犯
qffw 全方位
qffz 全副
qfg 禽
qfg. 禽
qfg/ 全给
qfgc 全过程
qfgg 全国
qfgq 企管
qfgx 全国性
qfh 倩
qfh, 全好
qfh; 企划
qfha 倩
qfha 全
qfhc 侨汇
qfhe 全行
qfhf 全会
qfhj 前赴后继
qfho 侵害
qfhx 勤奋好学
qfj 俅
qfjf 全集
qfji 侨眷
qfjk 全歼
qfjn 全局
qfjo 全家
qfjp 全军
qfjr 全家人
qfjs 全景
qfjt 企及
qfjt 倾角
qfjt 全角
qfjv 全境
qfjx 全局性
qfjy 缺乏经验
qfjy 俅
qfkq 全靠
qfl, 全力
qflg 侵略
qflj 侵略军
qflj 侨联
qflz 侵略者
qfmb 倾慕
qfmi 全美
qfmk 全面
qfmn 全民
qfmr 全貌
qfmt 全名
qfmx 全面性
qfmz 全民族
qfn 侵
qfn. 全能
qfnc 巧妇难为无米之炊
qfnl 侵
qfnq 全年
qfnx 全能型
qfo 佥
qfoq 佥
qfp, 俏皮
qfpe 全盘
qfpg 企盼
qfph 俏皮话
qfpj 全票
qfpm 全屏幕
qfpn 全屏
qfpq 全篇
qfpr 倾盆
qfpu 全拼
qfq 侨
qfqh 全球
qfqj 企求
qfqo 倾情
qfqr 侨
qfqx 侵权
qfqx 全权
qfqx 仟
qfqz 全区
qfrf 仇人
qfrg 禽肉
qfrl 全人类
qfrr 侵入
qfrs 全日
qfrt 全然
qfru 侵扰
qfrz 全日制
qfs 劁
qfs/ 全书
qfsd 全省
qfsd 全胜
qfsh 全社会
qfsi 禽兽
qfsj 全世界
qfsk 全盛
qfsp 倾诉
qfss 全是
qfst 侵蚀
qfsw 全身
qfsx 全身心
qfsy 全市
qfsy 企事业
qfsz 千夫所指
qft 仇
qftf 全体
qftg 企图
qfth 侵吞
qfth 全天候
qfth 全天
qftk 全套
qftl 倾听
qftl 倾吐
qfwh 全无
qfwt 侨务
qfwy 全文
qfwz 全副武装
qfx/ 全线
qfxc 倾泻
qfxf 倾斜
qfxg 全县
qfxh 全形
qfxj 倾斜角
qfxk 侵袭
qfxp 倾心
qfxq 全选
qfxw 倾向
qfxw 全息
qfxx 全校
qfxy 倾向于
qfxy 全新
qfxz 倾销
qfyf 企业法
qfyf 全优
qfyh 全运会
qfyh 企业化
qfyj 企业家
qfyk 全有
qfyl 全员
qfym 全院
qfys 企业
qfyt 衾
qfyz 企业中
qfza 侵占
qfzc 倾注
qfzd 全自动
qfzg 全中国
qfzi 全州
qfzt 切肤之痛
qfzy 侨资
qfzz 全镇
qg 且
qg. 黢
qg.r 黢
qgb 虬
qgbk 岂不
qgbn 峭壁
qgbq 瞧不起
qgbs 岂不是
qgbx 曲柄
qgcg 蛆虫
qgch 气贯长虹
qgcp 轻工产品
qgda 圈点
qgdh 全国代表大会
qgdn 黔东南
qgdp 曲调
qgdq 瞧得起
qgdv 圈地
qgf 瞧
qgfa 岂非
qgfc 峭
qgfe 遣返
qgfl 全国妇联
qgfm 强国富民
qgfp 黔
qgft 囚犯
qgfw 全国范围
qgfy 瞿
qgfy 瞧
qgfz 囚
qgg 蛆
qggd 全国各地
qggh 蠼
qggh 蛆
qggj 蛐
qggn 岂敢
qggq 曲棍球
qgh 圊
qgha 蜻
qgha 圊
qghg 曲高和寡
qghk 螓
qghw 岍
qghz 且
qgi 圈
qgih 蜷
qgih 蜣
qgih 圈
qgij 蝤
qgj 曲
qgj. 岐
qgja 嵌
qgja 蜞
qgjc 黔江
qgjc 曲酒
qgjg 瞧见
qgjl 清规戒律
qgjq 前功尽弃
qgjt 曲解
qgjx 勤工俭学
qgjx 囚禁
qgjx 曲
qgjy 赇
qgk 崎
qgko 畎
qgkp 岖
qgky 崎
qgkz 岂可
qgli 岂料
qglm 全国劳模
qglo 囚牢
qglw 全国联网
qgly 曲率
qgmk 曲面
qgmo 且慢
qgmw 轻歌曼舞
qgn 岂
qgn. 岂能
qgnb 屺
qgnb 岂
qgng 圈内
qgnj 黔南
qgo 髂
qgo, 髂
qgp 遣
qgpj 全国平均
qgpp 曲谱
qgpv 遣
qgq 峤
qgq; 氍
qgqc 倾国倾城
qgqg 瞧瞧
qgqg 崎岖
qgqg 蛐蛐
qgqr 峤
qgqs 秋高气爽
qgrd 全国人大
qgrh 全国人大常委会
qgrh 全国人民代表大会
qgrk 全国人口
qgrm 全国人民
qgrr 嵌入
qgs/ 蜷缩
qgsi 遣送
qgsj 遣散
qgsz 曲式
qgte 囚徒
qgtg 蜻蜓
qgtk 圈套
qgtk 嵌套
qgv 畦
qgvv 畦
qgw 蚯
qgwj 蚯
qgx/ 曲线
qgxd 旗鼓相当
qgxn 黔西南
qgxt 曲线图
qgy 黥
qgyb 曲艺
qgyg 蚯蚓
qgyl 黥
qgyr 蛴
qgyu 圈阅
qgz; 曲轴
qgza 岂止
qgzg 圈中
qgzh 全国总工会
qgzi 瞧着
qgzi 嵌着
qgzj 曲直
qgzl 强国之路
qgzm 圈子
qgzq 岂知
qgzu 曲折
qgzx 全国政协
qh 青
qha 璩
qha, 璩
qhbh 气候变化
qhbj 青黄不接
qhbw 青白
qhby 球部
qhc. 青翠
qhcb 青菜
qhcb 青草
qhch 青春
qhcq 青春期
qhcv 球场
qhd 青
qhdf 秦代
qhdi 青灯
qhdm 球队
qhds 青岛市
qhdt 青岛
qhdx 清华大学
qhf 琴
qhfg 青峰
qhfp 琴
qhgf 青光
qhgg 秦国
qhgj 青工
qhgy 青光眼
qhhc 青海
qhhc 秦汉
qhhd 秦皇岛
qhj 球
qhja 琪
qhjb 球茎
qhjq 青筋
qhju 球技
qhjx 契机
qhjy 球
qhk 琦
qhkq 青稞
qhkv 契
qhky 琦
qhl/ 青绿
qhlb 权衡利弊
qhlg 青睐
qhlg 秦岭
qhli 球类
qhlk 青龙
qhlx 青楼
qhmb 青苗
qhmi 球迷
qhmk 球面
qhms 青霉素
qhmu 球门
qhmx 青梅
qhnb 青年报
qhnj 青年节
qhnq 青年
qhnr 青年人
qhnt 青年团
qhnx 骑虎难下
qhpu 球拍
qhq 秦
qhqd 秦腔
qhqd 秦
qhqh 青青
qhqj 挈
qhqz 权衡轻重
qhs/ 青丝
qhsb 青石板
qhsc 青涩
qhsc 期货市场
qhsg 青山
qhsh 秦始皇
qhsj 琴声
qhsk 青石
qhsl 青饲料
qhsn 青少年
qhso 球赛
qhsp 青衫
qhst 青色
qhsx 青松
qhsz 秋后算账
qht. 球台
qhtb 青苔
qhtf 球体
qhth 青天
qhtq 青铜器
qhtz 青铜
qhw 亓
qhwf 秋毫无犯
qhwg 青蛙
qhxh 球形
qhxj 球鞋
qhxl 强化训练
qhxn 琴弦
qhxs 球星
qhy 琼
qhy/ 契约
qhyb 球艺
qhyc 奇花异草
qhyh 青云
qhyi 青烟
qhyl 球员
qhyl 琼
qhym 青阳
qhyt 漆黑一团
qhyy 青衣
qhzb 青红皂白
qhzb 青藏
qhzc 球轴承
qhzd 琼脂
qhzi 青州
qhzn 青壮年
qhzy 前后左右
qhzy 球状
qi 前
qi, 券
qi. 羟
qi.j 羟
qib, 前边
qiba 前辈
qibb 前半部
qibi 前半
qibj 前不久
qicq 前程
qicv 前场
qidn 前导
qidq 前敌
qids 前
qidu 拳打
qidw 前段
qidy 前端
qieo 前额
qif 炝
qif/ 炝
qifh 前夫
qifx 前锋线
qify 前方
qifz 前锋
qih 羌
qihe 前后
qihz 羌
qij 酋
qijb 酋
qijd 拳脚
qijh 前进
qijh 拳击
qijj 羟基
qijn 前几年
qijs 前景
qijt 前几天
qijy 歉疚
qikj 前款
qil; 前轮
qilk 前列
qill 前来
qilx 前列腺
qimb 前茅
qimk 前面
qimu 前门
qin 炔
qinq 前年
qinr 炔
qip 遒
qipu 前排
qipv 遒
qiq 拳
qiq/ 前驱
qiq; 前妻
qiqf 前倾
qiqi 拳拳
qiqj 前期
qiqj 拳
qiqv 前去
qirf 前人
qirf 前任
qirs 前日
qise 前所
qisj 前世
qisl 前哨
qism 歉收
qisq 前生
qisw 前身
qisx 前首相
qisy 券商
qit 歉
qit. 前台
qitd 前腿
qitf 前途
qitf 歉
qith 前天
qito 前头
qito 拳头
qits 前提是
qitu 前提
qitx 前提下
qity 前庭
qiw 糗
qiwe 前往
qiwm 前卫
qiwn 糗
qix, 前嫌
qix/ 前线
qixa 前些
qixd 前胸
qixe 前行
qixn 前些年
qixt 前夕
qixt 前些天
qiyc 前沿
qiyd 前一段
qiyt 前一天
qiyy 歉意
qiyy 前言
qiz/ 前缀
qizd 前肢
qizf 前传
qizg 前置
qizh 前奏
qizj 前者
qizq 酋长
qizr 前兆
qizt 前总统
qizx 前瞻性
qizy 前站
qizy 羌族
qj 期
qj, 勤
qj,z 娶
qj. 取
qj/ 綦
qj/u 綦
qj; 巧
qjar 求爱
qjb 醛
qjbd 奇迹般地
qjbf 取保
qjbf 醛
qjbh 气急败坏
qjbm 千娇百媚
qjcj 勤俭持家
qjcm 取出
qjcs 其次是
qjcx 取材
qjcy 其次
qjd 期
qjd/ 取缔
qjd; 娶到
qjdc 倾家荡产
qjde 期待
qjde 取得
qjdf 取代
qjdi 取道
qjeh 其二
qjf 鞘
qjfc 鞘
qjfh 銎
qjfk 勤奋
qjft 欺负
qjg 蛩
qjgg 求购
qjgh 巧干
qjgj 取过
qjgj 蛩
qjgn 全局观念
qjh, 求婚
qjhe 其后
qjhf 巧合
qjhf 期货
qjhg 取回
qjhq 求和
qji 鬈
qjih 鬈
qjj/ 取经
qjjf 勤俭
qjjg 求见
qjjj 求救
qjjp 巧计
qjjq 取景器
qjjt 求解
qjju 期间
qjjy 取决于
qjk 磬
qjkb 勤苦
qjkh 期刊
qjkj 取款
qjkl 巧克力
qjkl 磬
qjkn 勤恳
qjko 勤快
qjkv 乾坤
qjl 跫
qjla 跫
qjlb 勤劳
qjll 取来
qjlm 乾隆
qjlt 取乐
qjly 欺凌
qjm 邛
qjm, 巧妙
qjmc 期满
qjmg 欺瞒
qjmh 期末
qjmk 取码
qjmt 勤勉
qjmt 取名
qjng 期内
qjnm 千金难买
qjns 取暖
qjof 求偶
qjp 逑
qjp/ 欺骗
qjpg 期盼
qjpo 悫
qjpv 逑
qjpx 欺骗性
qjq 乾
qjq; 娶妻
qjqb 乾
qjqf 求全
qjqj 罄
qjqj 求取
qjqo 求情
qjqr 鞒
qjqx 鹊桥
qjqy 娶亲
qjqz 取钱
qjr 其
qjrf 求人
qjrt 求饶
qjrw 请君入瓮
qjs 耆
qjsd 取胜
qjsf 取舍
qjsg 取水
qjsj 千金散尽
qjsj 求索
qjsj 覃
qjsl 缺斤少两
qjso 其实
qjsq 求生
qjsq 巧手
qjss 其实是
qjt 壳
qjtf 其他
qjtf 欺
qjtg 求同
qjti 麴
qjto 其它
qjtp 鹊
qjtr 其他人
qjwd 轻举妄动
qjwf 欺侮
qjwh 千家万户
qjwm 千军万马
qjws 清洁卫生
qjwt 勤务
qjwx 抢救无效
qjwy 期望
qjwz 迄今为止
qjxc 取消
qjxf 取信
qjxj 取下
qjxm 期限
qjxo 求学
qjxq 取笑
qjxs 求贤
qjxw 取向
qjxx 拳脚相向
qjxy 求新
qjy 求
qjyc 求
qjyf 其余
qjyg 巧遇
qjyh 勤于
qjyh 謦
qjyj 求雨
qjyk 欺压
qjyo 取悦
qjyr 强加于人
qjyt 裘
qjyu 求援
qjyx 取样
qjyz 其一
qjyz 求医
qjza 求战
qjzc 求治
qjzg 其中
qjzg 求助
qjzg 期中
qjzh 秦晋之好
qjzj 求职
qjzp 欺诈
qjzp 取证
qjzp 求证
qjzq 求知
qjzv 取走
qjzw 取自
qjzx 情急之下
qjzy 求知欲
qjzy 取之于
qk 确
qk; 砌
qk;, 砌
qk;q 硗
qka 戚
qkaj 戚
qkb/ 牵绊
qkbf 确保
qkc 磲
qkc; 磲
qkcj 奇才
qkcu 牵扯
qkdh 牵动
qkdo 确定
qkds 旗开得胜
qkdx 确定性
qkfg 奇峰
qkfy 奇方
qkg. 奇观
qkgj 奇功
qkgo 奇怪
qkgu 牵挂
qkh 碛
qkha 碛
qkjb 奇迹般
qkjs 奇景
qkjy 奇迹
qkl; 牵连
qkld 穷困潦倒
qklg 牵累
qkly 确立
qklz 奇丽
qkm, 奇妙
qkmu 奇门
qknh 牵牛花
qko 犬
qkpb 奇葩
qkq 牵
qkq; 确切
qkqj 奇巧
qkqj 牵
qkqn 牵强
qkqq 奇缺
qkrp 确认
qksc 牵涉
qksj 奇事
qksl 请客送礼
qkso 确实
qksq 牵手
qkss 确实是
qkt 欹
qktf 欹
qkto 牵头
qktp 奇谈
qktq 奇特
qktt 确
qkwu 奇闻
qkx/ 牵线
qkxf 确信
qkxk 奇袭
qkxy 奇效
qkyg 奇遇
qkyk 确有
qkyl 牵引力
qkyn 奇异
qkyn 牵引
qkz 奇
qkzi 牵着
qkzj 顷刻之间
qkzl 奇
qkzp 确诊
qkzq 牵制
qkzs 确凿
ql 器
ql; 跷
ql;q 跷
qlbl 七零八落
qlcx 器材
qldg 敲锣打鼓
qlf 呛
qlf/ 跄
qlf/ 呛
qlfx 强烈反响
qlfy 噙
qlgo 器官
qlh 嗪
qlhk 嗪
qlja 喋
qljf 器件
qljg 器具
qljq 黔驴技穷
qljz 咭
qlk 嘁
qlka 嘁
qlko 器
qlky 强烈抗议
qlls 器量
qlmg 器皿
qlmm 巧立名目
qlp 吣
qlpo 吣
qlql 蹊跷
qlr 蹊
qlri 蹊
qlrr 其乐融融
qltt 千里迢迢
qlwq 其乐无穷
qlwq 器物
qlxf 权力下放
qlxx 器械
qlyf 全力以赴
qlyg 勤劳勇敢
qlyt 器乐
qlze 器质
qlzf 勤劳致富
qlzq 器重
qlzs 妻离子散
qlzx 器质性
qm 阡
qm; 戕
qm;r 戕
qmby 其貌不扬
qmde 亟待
qmdx 轻描淡写
qmfz 全面发展
qmgc 全面贯彻
qmho 戕害
qmjj 全面解决
qmjs 全面建设
qmjz 全面禁止
qmks 期末考试
qmls 全面落实
qmlw 群魔乱舞
qmly 青面獠牙
qmmm 阡陌
qmpk 全面铺开
qmqd 全面启动
qmqx 阡
qmsy 全民所有
qmsz 全民所有制
qmtg 全面提高
qmtj 全面推进
qmwj 亲密无间
qmz 亟
qmzk 全面展开
qmzl 犬马之劳
qmzm 青梅竹马
qn 强
qnby 强辩
qnbz 勤能补拙
qnbz 强逼
qncf 屈从
qndh 强电
qndk 强大
qndp 强调
qndq 强敌
qndt 群岛
qndy 强度
qndy 强盗
qnfb 群芳
qnfd 屈服
qnfg 群峰
qnft 强风
qnfy 屈服于
qngf 强光
qngg 强国
qngj 强攻
qnhf 强化
qnho 强悍
qnhx 强横
qni 群
qnih 群
qnj, 强加
qnj. 强劲
qnjf 强健
qnjj 群聚
qnjk 强碱
qnjn 群居
qnjn 屈居
qnjp 强记
qnjy 强加于
qnl, 强力
qnlb 群落
qnlg 强
qnlk 强烈
qnm 屈
qnmg 屈
qnnu 强扭
qnok 群殴
qnpw 强迫
qnqj 强求
qnqo 群情
qnqx 强权
qnr, 强忍
qnrf 强人
qnrk 屈辱
qnrn 强弱
qnsg 群山
qnsj 强酸
qnsk 强盛
qnsq 强手
qnsu 强势
qnsw 强身
qntf 群体
qntq 去年同期
qnxd 屈膝
qnxe 强行
qnxj 强项
qnxj 强心剂
qnxk 群雄
qnxs 群星
qnyb 群英
qnyd 青年一代
qnyh 群英会
qnyh 强于
qnyk 强硬
qnyl 强有力
qnyp 强硬派
qnyt 群言堂
qnza 强占
qnzf 群众
qnzm 强弩之末
qnzq 强制
qnzu 屈指
qnzx 强制性
qnzy 强壮
qnzy 群主
qnzz 群众中
qo 情
qo, 穷
qo. 悛
qo.r 悛
qo/ 骞
qo/z 骞
qo; 窃
qo;, 窃
qoar 情爱
qobj 情报局
qobs 情报所
qobu 情报
qobw 情报网
qoco 憔悴
qocu 情操
qocv 情场
qodf 恰当
qodq 情敌
qof 恰
qof, 情妇
qofc 悄
qofh 情夫
qofr 情分
qoft 恰逢
qofy 憔
qofz 恰
qogd 穷光蛋
qogg 穷国
qogk 情感
qogo 寝宫
qogz 情歌
qoh 惬
qoh, 恰好
qoha 情
qohi 惬
qoho 情怀
qohp 情话
qoi 慊
qoi; 慊
qoj 窍
qoj/ 情结
qojb 情节
qojh 窍
qojn 穷尽
qojs 情景
qojt 情系
qojv 情境
qokb 穷苦
qokg 穷困
qokx 情况下
qoky 情况
qolf 情侣
qolh 情理
qoly 悭吝
qomk 情面
qomu 窍门
qon 穹
qonb 穹
qono 怯懦
qoq 愀
qoqd 愀
qoqh 悄悄话
qoqj 恰巧
qoqj 窃取
qoqj 搴
qoqo 悄悄
qoqo 恰恰
qoqs 恰恰是
qoqv 情趣
qor, 恰如
qorf 情人
qorf 穷人
qorj 情人节
qort 悄然
qorz 穷日子
qos 悭
qos. 悭
qos/ 情书
qosc 情深
qosf 恰似
qosg 情思
qosj 悄声
qoso 寝室
qoso 情愫
qosp 情诗
qoss 怯生生
qost 情色
qosu 情势
qosy 情商
qotk 情态
qotl 窃听
qotq 窃听器
qov 怯
qov. 怯
qowg 情网
qox/ 情绪
qoxh 情形
qoxj 窃喜
qoy 寝
qoy/ 情缘
qoyg 寝
qoyi 情义
qoyk 情愿
qoyp 情谊
qoyr 情欲
qoyt 褰
qoyy 情意
qoyy 惬意
qozg 窃贼
qozj 情真
qp 请
qp/ 綮
qp/u 綮
qpao 请安
qpau 请按
qpbc 七拼八凑
qpbf 请便
qpbj 请病假
qpbp 襁褓
qpbu 请把
qpbw 谦卑
qpby 请不要
qpca 启齿
qpcm 祛除
qpcq 启程
qpd; 请到
qpdg 启迪
qpdh 启动
qpdj 裙带
qpdp 祈祷
qpdy 倾盆大雨
qpe 祈
qpej 祈
qpf 诮
qpf, 启发
qpfc 诮
qpfh 诠
qpfs 启发式
qpfv 启封
qpfx 启发性
qpfy 谯
qpfz 袷
qpg 谴
qpg/ 请给
qpgj 请功
qpgj 谦恭
qpgj 谴
qph/ 祁红
qpha 请
qphe 启航
qphj 前仆后继
qphq 谦和
qphy 亲朋好友
qpi 谦
qpi; 谦
qpj 祺
qpja 祺
qpjf 请假
qpjh 请进
qpjj 请教
qpjy 请将
qpko 请客
qpkq 请看
qpl 启
qpll 请来
qpls 祁连山
qpm 祁
qpmb 启蒙
qpmf 请命
qpmg 诎
qpmu 祁门
qpmx 启明星
qpn 裙
qpnb 襁
qpnf 请你
qpnk 裙
qpq 讫
qpqb 讫
qpqj 请求
qprp 谦让
qpsd 请稍等
qpsh 请示
qpsh 启示
qpsj 启事
qpsl 启示录
qpsr 诠释
qptg 请帖
qpv 祛
qpv. 祛
qpwt 请勿
qpwu 请问
qpwy 祈望
qpxa 谦虚
qpxh 全盘西化
qpxm 谦逊
qpxw 请向
qpxz 请选择
qpy. 请予
qpy; 请与
qpyh 请于
qpyh 启运
qpyk 请愿
qpyl 千篇一律
qpys 请愿书
qpyt 启用
qpz; 请转
qpza 请战
qpzf 请坐
qpzg 请罪
qpzh 谴责
qpzm 裙子
qpzy 请注意
qq 气
qq. 氢
qq.j 氢
qq; 气
qqb 乞
qqb/ 缺编
qqbb 清清白白
qqbc 秋波
qqbg 千奇百怪
qqbk 千百
qqbn 千百年
qqbu 秋播
qqbw 千百万
qqcc 清清楚楚
qqcc 气冲冲
qqcl 气喘
qqcm 迁出
qqcy 千次
qqd; 签到
qqda 缺点
qqdb 全权代表
qqde 缺德
qqdh 千岛湖
qqdi 签单
qqdj 秋冬季
qqdn 氢弹
qqdo 签定
qqdp 签订
qqdt 秋冬
qqdu 气垫
qqdy 气度
qqdy 千秋大业
qqeo 缺额
qqez 群起而攻之
qqf 签
qqf, 签发
qqff 千伏
