y 一
ybsj 艺术节
ybsl 一般说来
ybsp 艺术品
ybsq 营生
ybst 艺术团
ybsz 一波三折
ybt 莺
ybt; 茚
ybtd 一败涂地
ybte 英特尔
ybto 芋头
ybtp 苑
ybtp 莺
ybtq 莸
ybtt 仪表堂堂
ybv 茔
ybw 萸
ybw; 萸
ybwb 英文版
ybwh 英武
ybwl 一本万利
ybwq 药物
ybwt 药丸
ybwy 英文
ybxh 乙型
ybxi 乙烯
ybxk 英雄
ybxo 药性
ybxy 药效
ybxz 营销
ybxz 鹬蚌相争
yby 薏
yby, 菸
yby. 英勇
ybyb 一步一步
ybyc 药液
ybye 营业额
ybyf 一饱眼福
ybyh 营运
ybyi 营养
ybyi 薏
ybyp 英语
ybyq 亦步亦趋
ybys 营业
ybyt 药用
ybyt 义薄云天
ybyy 营业员
ybyy 有板有眼
ybyz 言不由衷
ybzj 一本正经
ybzl 一臂之力
ybzq 营造
ybzy 英姿
yc 油
yc. 涌
yc.g 涌
yc/ 胤
yc/v 胤
ycag 沿岸
ycaq 液氨
ycb 滢
ycb, 沿边
ycbb 一成不变
ycbd 扬长避短
ycbd 严惩不贷
ycbd 用词不当
ycbj 渊博
ycbk 油泵
ycbk 油布
ycbp 潆
ycbp 滢
ycbr 一尘不染
ycbt 油饼
ycbu 演播
ycbx 阳春白雪
ycbx 永垂不朽
ycby 演变
yccb 洋葱
yccb 油菜
yccc 泳池
ycce 渔船
ycce 游船
ycch 演唱会
yccl 演唱
yccm 演出
yccm 溢出
yccn 油层
ycct 演出团
yccv 渔场
yccx 源程序
yccy 渔产
ycd; 涌到
ycdb 游荡
ycdb 淫荡
ycdh 涌动
ycdh 游动
ycdi 油灯
ycdj 已成定局
ycdm 源代码
ycdy 一锤定音
yce 沂
ycej 一蹴而就
ycej 沂
ycel 由此而来
yceq 扬长而去
ycf 渝
ycfh 渔夫
ycfp 洋房
ycfw 有偿服务
ycfz 瀹
ycfz 渝
ycg 泱
ycgc 渔港
ycgf 油光
ycgh 汩
ycgj 沿革
ycgj 油
ycgk 洇
ycgk 泱
ycgq 浴缸
ycgq 油管
ycgt 游逛
ycgv 油垢
ycgy 油膏
ycgz 洋鬼子
ych 沅
ychc 沿海
ychc 沿河
ychf 演化
ychf 液化
ychh 油耗
ychj 滟
ychq 液化气
ychq 淫秽
ycht 沅
ychz 油画
yci 洋
ycih 漾
ycih 洋
ycik 溢
ycj 湮
ycjb 由此及彼
ycjc 沿江
ycjd 游击队
ycje 沿街
ycjf 油价
ycjf 一触即发
ycjg 渔具
ycjh 游击
ycjh 涌进
ycji 油煎
ycjj 严词拒绝
ycjm 湮
ycjp 演讲
ycjp 游记
ycjq 淤积
ycjr 语出惊人
ycjs 液晶
ycju 演技
ycjy 遗传基因
ycjz 游击战
yck 源
yckj 由此可见
yckl 由此看来
ycko 游客
ycku 淹
yckv 涯
yckw 源
ycky 油库
yckz 由此可知
ycl/ 演练
ycl; 油轮
ycl; 渔轮
yclc 游乐场
yclc 源流
ycli 油料
yclk 游历
ycll 涌来
yclq 淫乱
yclq 渔利
ycls 游览
yclt 游乐
ycly 油亮
ycly 游离
ycmb 沂蒙
ycmc 淹没
ycmd 夜长梦多
ycmg 油墨
ycmk 源码
ycml 湮灭
ycmn 渔民
ycmq 游牧
ycms 沂蒙山
ycmu 油门
ycmz 一筹莫展
ycn, 洋奴
ycnc 淤泥
ycnd 油腻
ycnx 沂南县
yco 演
ycon 演
ycp 泳
ycp, 泳
ycpl 油品
ycpr 浴盆
ycqc 油漆
ycqq 油气
ycqv 涌起
ycqw 源泉
ycqz 洋钱
ycr 浴
ycrf 游人
ycrf 洋人
ycrf 浴
ycri 淫
ycrq 渊
ycrr 涌入
ycsa 涌上
ycsb 渊薮
ycsg 油水
ycsh 演示
ycsj 因材施教
ycsj 言传身教
ycsk 淹死
ycso 浴室
ycsp 游说
ycsp 演说
ycsq 演算
ycsy 有偿使用
yct 沿
ycte 游艇
yctf 液体
yctf 沿途
yctg 渔
yctg 油田
yctk 液态
yctl 沿
ycto 源头
yctq 漪
ycts 与此同时
yctt 油条
yctv 泳坛
yctx 油桶
ycwc 油污
ycwg 渔网
ycwg 腰缠万贯
ycwh 游玩
ycwj 源文件
ycwk 淫威
ycwn 遗臭万年
ycwr 渔翁
ycwt 洋务
ycww 运筹帷幄
ycx. 游戏
ycx. 演习
ycx/ 沿线
ycxc 涌现出
ycxd 以诚相待
ycxd 羊肠小道
ycxe 游行
ycxf 与此相反
ycxh 涌现
ycxj 游戏机
ycxk 沿袭
ycxo 油性
ycxq 油箱
ycxw 涌向
ycxx 洋相
ycy 游
ycy, 淤
ycy, 游
ycy/ 演绎
ycy; 游弋
ycyb 演艺
ycyb 游艺
ycyb 瀛
ycyc 游泳
ycyc 渊源
ycyc 洋溢
ycyc 阴差阳错
ycyf 液
ycyg 游园
ycyg 与此有关
ycyh 源于
ycyi 演义
ycyi 油烟
ycyj 淫雨
ycyk 液压
ycyl 演员
ycym 一草一木
ycyq 演艺圈
ycys 渔业
ycyt 沿用
ycyt 油印
ycyy 游泳衣
ycyz 洋溢着
yczd 油脂
ycze 渔舟
yczh 演奏
yczi 油炸
yczi 沿着
yczj 烟草专卖局
yczm 游子
yczr 有偿转让
yczv 游走
yczw 源自
yd 月
yd; 胰
yd;; 胰
ydan 印第安那
ydar 印第安人
ydaz 印第安纳州
ydbc 药到病除
ydbd 一动不动
ydbs 言多必失
ydbt 腰包
ydbt 月饼
ydbu 月报
ydby 以德报怨
ydcb 腌菜
ydcc 臆测
ydcd 一定程度
ydcl 月产量
ydcm 月出
ydcp 月初
ydcs 一定程度上
ydcy 远渡重洋
ydcy 月产
yddh 移动电话
yddi 臆断
yddj 腰带
yddm 由点到面
yddq 远东地区
ydds 胰岛素
yddt 勇斗歹徒
yddy 月底
ydff 月份
ydfs 有的放矢
ydg 胭
ydgd 以毒攻毒
ydgf 月光
ydgj 月工
ydgk 胭
ydgo 月宫
ydgx 腰杆
ydgz 月工资
ydhb 腰花
ydi 媵
ydih 媵
ydj 腰
ydj/ 月经
ydjd 一定阶段
ydjm 腰
ydjv 月均
ydk 腌
ydkh 月刊
ydku 腌
ydld 一刀两断
ydlk 月历
ydll 月来
ydlx 远大理想
ydly 月亮
ydmh 月末
ydmq 腋毛
ydms 月明
ydng 月内
ydny 印度尼西亚
ydpj 月票
ydpj 月平均
ydqh 月球
ydqi 月前
yds 刖
ydsc 约定俗成
ydsf 月食
ydsj 一段时间
ydsl 一段时间以来
ydsr 月收入
ydsr 诱敌深入
ydst 月色
ydt. 月台
ydtd 腰腿
ydtx 移动通信
ydty 腰疼
ydw 腴
ydw; 腴
ydwg 腰围
ydxb 月薪
ydxd 胰腺
ydxj 月下
ydxr 一代新人
ydxw 月息
ydxx 臆想
ydxx 异端邪说
ydy 腋
ydy/ 臃
ydy; 月牙
ydyd 月月
ydyf 腋
ydyg 月圆
ydyi 臆
ydyp 移动硬盘
ydyq 压倒一切
ydys 有胆有识
ydyy 月夜
ydz/ 月终
ydzd 臃肿
ydzd 胭脂
ydzg 月中
ydzm 月子
ydzn 印度支那
ydzq 臆造
ydzq 月租
ydzx 腰椎
ydzy 因地制宜
ye 役
yebf 引而不发
yec 衍
yece 以讹传讹
yecg 御赐
yedi 御道
yedl 掩耳盗铃
yedq 御敌
yeh/ 殷红
yeho 御寒
yehy 御花园
yei 徉
yeih 徉
yeiv 舣
yej 衙
yejn 衙
yejy 幼儿教育
yemu 衙门
yeq 御
yeq; 殷切
yeqj 殷勤
yeqj 御
yer 徭
yeri 徭
yeso 殷实
yesq 衍生
yesw 衍射
yesy 殷商
yet 殷
yet. 役
yet. 殷
yewx 言而无信
yeye 徭役
yeyt 御用
yeyx 言而有信
yf 亿
yf. 耀
yf.; 耀
yf.g 俑
yf; 伢
yf;d 伢
yfb 亿
yfbc 以防不测
yfbd 原封不动
yfbf 依傍
yfbh 仪表
yfbs 依法办事
yfby 有法必依
yfca 依此
yfcc 依法查处
yfcf 依从
yfch 伊春
yfck 依存
yfcl 依法处理
yfcq 悠长
yfct 一反常态
yfcw 依次为
yfcy 依次
yfd 俞
yfda 优点
yfde 优待
yfdh 余毒
yfdk 攸
yfdl 亿吨
yfdq 优等
yfds 俞
yfdv 余地
yfdy 伊甸园
yfeo 余额
yff, 愈发
yffc 依法
yffm 依附
yffs 一帆风顺
yffu 优抚
yfg 觎
yfgf 仰光
yfgi 攸关
yfgj 佯攻
yfgt 觎
yfgy 愈高
yfh 余
yfh, 愈好
yfhd 余
yfhf 优化
yfhf 愈合
yfhj 优惠
yfhk 优厚
yfhs 余晖
yfhx 余杭
yfi 仪
yfih 佯
yfiv 仪
yfj 俨
yfj, 愈加
yfj/ 优级
yfjf 佣金
yfjf 俨
yfjo 余悸
yfjt 悠久
yfju 依据
yfjx 依旧
yfk 优
yfk. 优
yfkd 侑
yfkj 余款
yfkl 佑
yfkp 伛
yfkq 依靠
yfky 有法可依
yfky 倚
yfl 俣
yfl, 余力
yfld 优劣
yflh 俣
yfli 余粮
yflj 依赖
yflk 伊拉克
yfll 龠
yflp 优良
yflp 伊朗
yflq 伊犁
yflx 依赖性
yfly 愈来愈
yfly 依恋
yfmb 仰慕
yfme 伊妹儿
yfmi 优美
yfmk 仰面
yfmt 余名
yfmy 亿美元
yfn 伊
yfnk 伊
yfnq 余年
yfns 依法纳税
yfp 愈
yfpo 悠
yfpo 愈
yfpv 逾
yfq 佚
yfqb 仡
yfqd 优缺点
yfqj 逾期
yfqk 佚
yfql 仪器
yfqq 余缺
yfr 佾
yfrd 佾
yfrf 佣人
yfro 仪容
yfrs 依然是
yfrt 依然
yfrt 俨然
yfrt 悠然
yfru 余热
yfs, 伊始
yfsd 优胜
yfsg 余岁
yfsi 余数
yfsj 优胜奖
yfsl 伊斯兰
yfsp 仰视
yfsq 优生
yfsu 优势
yfsx 优生学
yfsz 仪式
yfsz 约法三章
yfsz 优胜者
yft 仰
yfth 佣
yftk 仪态
yftm 仰
yfto 仰头
yftu 依托
yftx 有福同享
yfty 义愤填膺
yfw; 亿万
yfwe 一分为二
yfwf 依偎
yfwj 仰卧
yfwk 依我看
yfwl 余味
yfwy 仰望
yfwy 以防万一
yfwz 预防为主
yfxe 依循
yfxj 优秀奖
yfxj 余下
yfxn 余弦
yfxo 余兴
yfxq 优秀
yfxq 优先
yfxq 依稀
yfxq 优选
yfxs 余暇
yfxu 悠闲
yfy 依
yfy, 余姚
yfy; 优雅
yfyc 仰泳
yfyf 悠悠
yfyg 耀眼
yfyg 优越感
yfyh 亿元
yfyh 悠远
yfyh 优于
yfyn 优异
yfys 移风易俗
yfyt 依
yfyu 悠扬
yfyv 优越
yfyv 逾越
yfyw 阳奉阴违
yfyx 优越性
yfyy 优育
yfz 偃
yfzd 仪仗队
yfze 优质
yfzf 仰仗
yfzf 依仗
yfzg 依法治国
yfzi 仰着
yfzj 悠哉
yfzr 应付自如
yfzs 依照
yfzs 偃
yfzy 佯装
yfzz 迎风招展
yg 因
yg, 婴
yg,z 婴
yg. 野
yg.g 蛹
yg.h 峄
yg.l 贻
yg.l 眙
yg.m 野
yg/ 黝
yg/p 蚴
yg/p 黝
yg; 蚜
yg;d 岈
yg;d 蚜
yg;z 屿
ygaz 严格按照
ygb/ 邮编
ygbb 眼巴巴
ygbd 由不得
ygbm 有关部门
ygbn 崖壁
ygbq 愚笨
ygbt 邮包
ygbu 邮报
ygby 眼部
ygbz 衣冠不整
ygc. 邮戳
ygca 因此
ygca 野餐
ygca 由此
ygcb 野菜
ygcb 野草
ygcc 衣冠楚楚
ygcf 遗传
ygcg 蚜虫
ygch 愚蠢
ygci 邮差
ygck 遗存
ygcn 岩层
ygcx 遗传性
ygcy 遗产
ygd; 遇到
ygdb 邮电部
ygdc 岩洞
ygdf 眼袋
ygdg 邮电
ygdh 遗毒
ygdi 邮递
ygdj 园丁
ygdj 邮电局
ygdm 鸭蛋
ygds 邮电所
ygdv 野地
ygdv 园地
ygdw 有关单位
ygdy 眼底
ygdz 愚钝
ygdz 以工代赈
ygej 一干二净
ygek 因而
ygel 一概而论
yger 鱼贯而入
yget 婴儿
ygf 嵛
ygfl 有关法律
ygfm 有关方面
ygfn 邮费
ygfp 眼福
ygfs 因公负伤
ygft 遗风
ygfz 蝓
ygfz 嵛
ygg 蚰
yggd 有关规定
yggf 眼光
yggg 因果
yggg 邮购
yggh 圆规
yggj 因故
yggj 蚰
yggl 严格管理
yggm 遗孤
yggr 因公
yggs 圜
yggx 因果关系
yggy 云贵高原
ygh 曰
ygh/ 眼红
yghb 曳
yghc 圆滑
yghe 央行
yghg 黝黑
yghi 野火
yghl 叶公好龙
yghm 婴孩
yghn 圆弧
ygho 遗憾
ygho 遇害
yght 园
yghx 禺
yghz 岩画
ygi 蚁
ygih 蛘
ygij 蝤
ygiv 蚁
ygj 由
ygj. 野鸡
ygjd 眼见得
ygjf 邮件
ygjg 眼睛
ygjg 遇见
ygjg 眼界
ygji 遗精
ygjj 遇救
ygjm 崾
ygjn 邮局
ygjn 圄
ygjo 邮寄
ygjt 眼角
ygjt 圆角
ygjy 遗迹
ygjz 眼镜
ygjz 由
ygk 央
ygkd 囿
ygkg 眼眶
ygkh 圆括号
ygkl 岩
ygkq 眼看
ygkq 眼科
ygku 崦
ygku 罨
ygkv 睚
ygkv 因
ygkv 央
ygkw 螈
ygkz 严格控制
ygl 圆
ygl, 眼力
yglc 眼泪
yglc 遗漏
ygld 圆脸
yglg 蝇
yglg 眼里
yglg 圆
yglj 鸭绿江
ygll 由来
yglo 眼帘
yglq 鸭梨
yglt 遗留
yglx 园林
ygly 屹立
yglz 一国两制
ygm 邮
ygm/ 野马
ygmc 圆满
ygmk 邮码
ygmm 阳光明媚
ygmn 愚民
ygms 愚昧
ygmx 圆梦
ygmy 野蛮
ygmy 圆明园
ygmz 欲盖弥彰
ygn 眼
ygn. 遇难
ygn; 眼
ygne 一股脑儿
ygnh 愚弄
ygnm 蚓
ygnz 遇难者
ygo 蛇
ygo, 蛇
ygp 遗
ygp, 眼皮
ygpe 圆盘
ygpj 邮票
ygpo 愚
ygpv 遇
ygpv 遗
ygq 罂
ygqb 屹
ygqg 眼圈
ygqg 圆圈
ygqh 眼球
ygqi 眼前
ygqj 央求
ygqj 因其
ygqj 罂
ygqk 有关情况
ygqs 言过其实
ygqs 衣冠禽兽
ygqy 遗弃
ygqz 园区
ygr 峪
ygrc 圆润
ygrd 艺高人胆大
ygrf 愚人
ygrf 峪
ygrg 鸭肉
ygrj 愚人节
ygro 遗容
ygru 眼热
ygry 有关人员
ygrz 圆融
ygs 蜴
ygs, 遗孀
ygsa 遇上
ygsg 野史
ygsh 因素
ygsi 野兽
ygsi 因数
ygsj 遇事
ygsk 岩石
ygsn 眼屎
ygsp 眼神
ygsq 遗失
ygsq 野生
ygst 眼色
ygst 蜴
ygsy 眼熟
ygt 鸭
ygtf 遗体
ygti 黟
ygto 蝇头
ygtp 鸯
ygtp 鹦
ygtp 鸭
ygtq 嶷
ygtq 圆筒
ygtq 雨过天晴
ygtw 因特网
ygtx 异国他乡
ygv 崖
ygvi 圉
ygvv 崖
ygw 蜒
ygw; 蜒
ygwh 鹦鹉
ygwi 因为
ygwl 野味
ygwo 眼窝
ygwp 贻误
ygwq 遗物
ygws 以攻为守
ygwt 野外
ygwt 有关问题
ygwy 遗忘
ygxf 遗像
ygxg 眼见
ygxg 黟县
ygxh 圆形
ygxj 眼下
ygxm 遇险
ygxo 野性
ygxp 野心
ygxp 圆心
ygxq 邮箱
ygy 蝣
ygy, 蝣
ygy/ 因缘
ygyb 野营
ygyb 园艺
ygye 婴幼儿
ygyh 由于
ygyj 有根有据
ygyk 遗愿
ygym 忧国忧民
ygyq 严格要求
ygys 愚公移山
ygys 眼影
ygyw 莺歌燕舞
ygyy 遗言
ygz 蜮
ygza 野战
ygza 圆桌
ygzb 圆珠笔
ygzc 有关政策
ygzd 眼中钉
ygzf 英国政府
ygzg 眼中
ygzh 眼珠
ygzi 遇着
ygzj 邮政
ygzj 邮政局
ygzj 有过之而无不及
ygzl 遗嘱
ygzl 圆周率
ygzl 蜮
ygzm 鸭子
ygzm 园子
ygzp 遗诏
ygzq 一鼓作气
ygzt 野猪
ygzt 圆周
ygzv 遗址
ygzx 圆柱
ygzy 由衷
ygzy 邮资
ygzz 眼睁睁
ygzz 圆锥
ygzz 言归正传
yh 远
yh. 云
yh/ 骜
yh/z 骜
yh; 琊
yh;d 琊
yha 玉
yhav 玉
yhb 瑛
yhb; 远比
yhbg 瑛
yhbj 疑惑不解
yhbk 有何不可
yhbo 元宝
yhbr 远不如
yhbs 阴魂不散
yhbw 玉帛
yhbz 烟花爆竹
yhca 于此
yhcc 瑶池
yhcj 元朝
yhcm 运出
yhcn 云层
yhcq 远程
yhcq 运筹
yhcr 云彩
yhcs 雨后春笋
yhct 远处
yhd 玥
yhd; 运到
yhd; 远东
yhda 远点
yhdb 与会代表
yhdc 运动场
yhdc 远动车
yhdd 玉皇大帝
yhdf 运动服
yhdf 因祸得福
yhdf 元代
yhdh 运动
yhdi 远道
yhdk 远大
yhdl 运动量
yhdq 沿海地区
yhds 元旦
yhdt 云朵
yhdu 运抵
yhdx 运动鞋
yhdy 运动员
yhdy 玉帝
yhdz 运动战
yheg 一晃而过
yheq 一哄而起
yhes 一哄而散
yhf 瑜
yhfa 远非
yhfc 云浮
yhfg 月黑风高
yhfn 运费
yhfv 远赴
yhfw 友好访问
yhfy 远方
yhfz 瑜
yhg 璎
yhgf 璎
yhgg 云贵
yhgj 远古
yhgk 沿海港口
yhgm 远隔
yhgs 盂
yhgx 友好关系
yhh 耘
yhh. 耘
yhhc 运河
yhhc 云海
yhhe 远航
yhhf 运货
yhhg 迂回
yhhw 玉皇
yhi 琰
yhir 琰
yhj 聱
yhja 聱
yhje 远近
yhjf 云集
yhjf 元件
yhjf 瑜伽
yhjg 远见
yhjj 沿海经济
yhjl 远距离
yhjm 移花接木
yhjn 于今年
yhjq 远郊区
yhjs 远景
yhjy 远郊
yhl 鼋
yhl, 运力
yhla 远虑
yhlg 鼋
yhli 运粮
yhlj 元老
yhlk 云龙
yhll 眼花缭乱
yhlx 玉林
yhly 远离
yhlz 艳丽
yhm/ 云母
yhmg 玉门关
yhmi 玉米
yhmp 与虎谋皮
yhmu 远门
yhmu 玉门
yhmy 易货贸易
yhn, 玉女
yhnj 云南
yhnq 元年
yhnt 欲壑难填
yhp 运
yhpj 元配
yhpv 迂
yhpv 远
yhpv 运
yhqd 云雀
yhqg 元曲
yhqh 运球
yhqj 远期
yhqj 元器件
yhql 玉器
yhqq 运气
yhqq 元气
yhqv 远去
yhqy 远亲
yhqz 元钱
yhr 瑶
yhr; 珧
yhri 瑗
yhri 瑶
yhrs 友好人士
yhry 医护人员
yhs 韫
yhs; 运输
yhsc 远输车
yhsc 运输船
yhsd 元帅
yhsf 艳俗
yhsg 韫
yhsh 元素
yhsi 运送
yhsi 元首
yhsj 运输机
yhsk 玉石
yhsl 运输量
yhsq 运算
yhss 于是
yhss 引火烧身
yhsw 远射
yhsx 运输线
yhsy 运输业
yht 元
yhtg 远眺
yhtg 云团
yhtm 艳
yhty 友好条约
yhwe 运往
yhwl 云雾
yhwl 友好往来
yhwp 淫秽物品
yhwq 贻害无穷
yhwy 远望
yhwz 有害物质
yhx 于
yhxc 异乎寻常
yhxe 运行
yhxj 元宵节
yhxl 云霄
yhxl 元勋
yhxl 云霞
yhxo 元宵
yhxr 元凶
yhxt 玉玺
yhxy 运行于
yhxz 远销
yhxz 运销
yhyb 运营
yhyc 远洋
yhyd 元月
yhyh 远远
yhyi 云烟
yhyj 云雨
yhym 艳阳
yhyt 运用
yhyu 远扬
yhyy 元音
yhyy 运用于
yhz; 运转
yhzc 优惠政策
yhze 远征
yhzf 运作
yhzj 运载
yhzk 远在
yhzp 远祖
yhzs 炎黄子孙
yhzv 运走
yhzy 瑶族
yi 义
yi, 炀
yi,c 炀
yi. 熠
yi.; 熠
yibc 烟波
yibw 养兵
yiby 养病
yicb 烟草
yicd 烟尘
yicg 益虫
yich 养蚕
yick 养成
yict 益处
yicv 羊城
yicw 烟囱
yidf 烟袋
yidi 义弟
yidk 养大
yido 烟斗
yidy 炎帝
