m 们
mcto 满头
mctp 漫谈
mctt 泖
mcwl 没味
mcwn 满屋
mcwo 没完
mcwt 没问题
mcx 沐
mcx. 没戏
mcxd 渺小
mcxd 没想到
mcxp 满心
mcxx 没想
mcyc 漫游
mcyc 沐浴
mcyg 满眼
mcyk 没有
mcyr 没有人
mcyt 没用
mcyw 满以为
mcyy 满意
mcza 满桌
mczb 芒刺在背
mczc 满洲
mczj 满载
mczl 满足
mczy 满足于
mczy 满族
mczy 满座
md 脉
mdb 膜
mdbg 磨刀不误砍柴工
mdbp 朦
mdbq 膜拜
mdbs 膜
mdbu 脉搏
mdcg 马到成功
mdcy 脉冲
mddz 酩酊大醉
mdgy 脉管炎
mdhd 门当户对
mdhh 磨刀霍霍
mdi 脒
mdij 脒
mdjh 矛盾激化
mdjj 矛盾加剧
mdk 腼
mdkg 腼
mdl/ 脉络
mdld 朦胧
mdmd 脉脉
mdms 满打满算
mdp, 脉
mdtd 腼腆
mdzz 灭顶之灾
me 艋
meb 艨
mebp 艨
mebx 秘而不宣
medf 马尔代夫
memj 艋
mf 命
mf. 侔
mf.q 侔
mfao 命案
mfgz 命根子
mfjl 满腹经纶
mfkb 命苦
mfkj 免费空间
mflf 命令
mflh 命理
mflm 命
mfls 满腹牢骚
mflz 仫佬族
mfmd 命脉
mfmt 命名
mfmu 命门
mfqs 名副其实
mfrj 免费软件
mfrw 模范人物
mfsc 买方市场
mfsc 卖方市场
mfsw 眉飞色舞
mft 仫
mfts 命题
mftv 仫
mftz 民法通则
mfub 们
mfxx 免费信箱
mfyh 命运
mfyx 免费邮箱
mfz/ 命终
mfzg 命中
mfzl 命中率
mfzy 模范作用
mg 目
mg. 眸
mg.q 蛑
mg.q 眸
mg/ 蚂
mg/z 蚂
mgay 默哀
mgb 瞒
mgbg 瞄
mgbg 蠛
mgbj 螨
mgbj 瞒
mgbk 蟒
mgbo 墨宝
mgbp 蠓
mgbq 墨笔
mgbs 蟆
mgbu 瞒报
mgbx 目标
mgcc 目测
mgcg 螨虫
mgcm 冒出
mgcy 冒充
mgd 眇
mgdd 目的地
mgdf 美观大方
mgdg 目睹
mgdi 眇
mgdp 默读
mgdq 目光短浅
mgdw 目的
mgeb 墨尔本
mgf/ 眯缝
mgft 冒犯
mgg 冒
mggf 目光
mggh 帽
mggh 冒
mggr 淼
mggs 马革裹尸
mghf 墨盒
mghi 冒火
mghl 冒号
mghz 目
mgi 眯
mgij 眯
mgj 眄
mgj/ 眄
mgjc 岷江
mgjd 冒尖
mgjh 目击
mgjh 冒进
mgjy 墨迹
mgjz 目击者
mgk 默
mgko 默
mgl/ 墨绿
mglf 睦邻
mglf 冒领
mgln 目录
mgm 嵋
mgmg 默默
mgmj 蜢
mgmk 嵋
mgms 冒昧
mgmt 冒名
mgn 眠
mgnf 默念
mgnn 岷
mgnn 眠
mgp 瞑
mgps 螟
mgps 瞑
mgpw 冒牌
mgqh 默契
mgqi 目前
mgqr 卖国求荣
mgrj 目光如炬
mgrp 默认
mgrt 默然
mgrz 默认值
mgs 皿
mgsg 墨水
mgsg 幔
mgsi 目送
mgsp 目视
mgsq 冒失
mgsr 毛骨悚然
mgsz 皿
mgt 冕
mgtg 冕
mgtt 峁
mgv 墨
mgvr 睦
mgxg 墨西哥
mgxm 冒险
mgxp 默许
mgxx 默想
mgy 虻
mgyb 虻
mgyg 蚂蚁
mgyi 冒烟
mgyj 冒雨
mgyj 卖官鬻爵
mgyt 墨鱼
mgyx 帽檐
mgzc 墨汁
mgzf 美国政府
mgzg 蚂蚱
mgzi 冒着
mgzm 帽子
mgzt 美国总统
mgzy 瞄准
mh 麦
mh/ 玛
mh/z 玛
mhbj 迷惑不解
mhbq 末笔
mhbq 模糊不清
mhd 末
mhdf 末代
mhdl 麦当劳
mhdv 末
mhdy 末端
mhec 面红耳赤
mher 面红耳热
mhfh 麦麸
mhg 瑁
mhgg 蒙混过关
mhgh 玫瑰
mhgh 瑁
mhgs 玫瑰色
mhhe 末后
mhjb 末节
mhjq 麦秸
mhjs 面黄肌瘦
mhkf 麦克风
mhll 末路
mhlz 玛丽
mhmb 麦苗
mhmd 穆罕默德
mhn 珉
mhnh 玛瑙
mhnn 珉
mhnq 末年
mhpy 梦幻泡影
mhq 玫
mhqj 末期
mhqr 玫
mhrs 末日
mhsh 美好生活
mhsm 麦收
mhsx 末梢
mhtg 麦田
mhtv 麦
mhwf 末位
mhwl 蛮横无理
mhwn 末尾
mhxx 满怀信心
mhy 玟
mhy; 玛雅
mhyc 耱
mhyr 玟
mhzm 麦子
mhzz 明火执仗
mi 美
mibw 美白
micf 迷彩服
mici 美差
micm 美丑
micn 煤层
micq 美称
micr 迷彩
micz 美钞
mide 美德
mif, 美发
mifi 米粉
mifr 美分
mift 米饭
mify 美方
mig. 美观
migg 美国
migj 美工
migk 美感
migo 迷宫
migr 美国人
mih, 美好
mihf 美化
mihh 迷魂
mihi 迷糊
miht 迷魂汤
mihw 美猴王
mihy 迷魂药
mihz 迷惑
mij 米
mija 煤
mijc 美酒
mijc 迷津
mijc 米
mijf 美金
mijp 美军
mijq 美籍
mijs 美景
miki 米糠
mikk 煤矿
mikv 美
mili 米兰
milj 美利坚
mill 迷路
milq 迷乱
mils 美联社
mily 迷恋
milz 美丽
mim, 美妙
mimb 迷茫
mimb 迷蒙
mimc 美满
mimm 美眉
mimr 美貌
mimt 美名
mimx 美梦
min, 美女
minf 迷你
minq 迷你裙
minz 美男子
mip 迷
mipv 迷
miq 敉
miqh 煤球
miqq 煤气
miqr 敉
mirf 美人
mirf 迷人
miro 美容
mirs 美日
miry 美容院
mis 熳
misa 迷上
misf 美食
misg 美术馆
misg 熳
misj 美声
misj 美术
misq 迷失
misz 美式
mitb 煤炭部
mitc 米汤
mitf 迷途
mitg 煤炭
mitg 煤田
mitk 煤碳
mitp 美谈
miu 焖
miu. 焖
miwl 美味
miwo 迷惘
mix/ 米线
mixf 迷信
mixo 美学
miyc 煤油
miyh 美元
miyi 煤烟
miym 美院
miyo 美誉
miyp 美语
miyy 美言
miyy 美意
miyy 美育
mizb 美洲豹
mizc 美洲
mize 煤质
mizf 迷住
mizg 美中
mizn 美展
mizz 美滋滋
mj 某
mjby 某部
mjcb 卖菜
mjcj 卖出价
mjcl 卖唱
mjcm 卖出
mjct 某处
mjcv 卖场
mjcy 某次
mjd; 卖到
mjda 卖点
mjdc 没精打采
mjdj 耄耋
mjdu 卖掉
mjdv 某地
mjfy 卖方
mjg/ 卖给
mjgf 某个
mjgg 卖国
mjgy 民间工艺
mjgz 卖国贼
mjhr 美籍华人
mji 醚
mjij 醚
mjjf 卖价
mjjo 某家
mjjz 摩肩接踵
mjl, 卖力
mjlg 孟加拉国
mjlq 卖力气
mjmf 卖命
mjmj 某某
mjnh 卖弄
mjnq 某年
mjo 卖
mjok 卖
mjpj 卖票
mjq 髦
mjq/ 酶
mjq; 耄
mjq; 髦
mjrf 某人
mjrs 某日
mjrx 灭绝人性
mjsb 鸣金收兵
mjsj 某事
mjss 某时
mjt 酩
mjtg 鞔
mjth 某天
mjtt 民间团体
mjtv 酩
mjwo 卖完
mjwq 某物
mjx 某
mjxa 某些
mjxj 某项
mjxr 某些人
mjyb 卖艺
mjyc 卖淫
mjyd 某月
mjyg 某一个
mjys 民间艺术
mjyz 某一
mjzq 某种
mjzx 铭记在心
mjzy 卖主
mjzz 民间组织
mk 面
mk/ 码
mk/z 码
mkb 硭
mkbc 面包车
mkbh 码表
mkbp 礞
mkbt 面包
mkbx 面板
mkby 面部
mkby 硭
mkd. 面对
mkdj 面带
mkdm 面对面
mked 梅开二度
mkeo 面额
mkfi 面粉
mkg 冇
mkgx 面
mkgy 面广
mkjg 面具
mkjl 面颊
mkjq 面积
mkjy 面交
mkkm 面孔
mkli 面料
mklq 门可罗雀
mkls 面临
mkly 码率
mklz 面临着
mkmd 面膜
mkmg 面目
mkmr 面貌
mkpr 面盆
mkpy 面庞
mkqi 面前
mkro 面容
mks/ 面纱
mksf 面食
mksj 面世
mksp 面试
mkst 面色
mksu 面授
mksy 马克思列宁主义
mksy 马克思主义
mksy 面熟
mksz 面试者
mkt 殁
mkt. 殁
mkto 码头
mktp 面谈
mktt 面条
mkxw 面向
mkxx 面相
mkyh 码元
mkyp 面议
mkyq 目空一切
mkyx 眉开眼笑
mkyx 每况愈下
mkzf 面值
mkzg 面罩
mkzm 面子
ml 吗
ml. 哞
ml.q 哞
ml/ 骂
ml/z 吗
ml/z 骂
mlb 喵
mlbg 喵
mlbs 名列榜首
mlcz 绵里藏针
mldr 美丽动人
mldy 名列第一
mle 灭
mlev 灭
mlfy 鸣放
mlg 黾
mlgh 黾
mlgi 嘿
mlh 唛
mlha 唛
mlhi 灭火
mlhq 灭火器
mlht 呒
mli 咪
mlih 咩
mlij 咪
mlj/ 灭绝
mljb 霉菌
mljb 灭菌
mlje 骂街
mljl 鸣叫
mljx 马六甲海峡
mljz 明令禁止
mlkl 灭口
mlli 霉烂
mllk 模棱两可
mllz 鸣锣
mlmh 美轮美奂
mlml 咩咩
mlmt 骂名
mln, 骂娘
mlo 嘧
mlo. 嘧
mlq 霉
mlq/ 霉
mlqm 名列前茅
mlqs 毛里求斯
mlqx 鸣枪
mlr 霾
mlrf 骂人
mlri 霾
mlsh 霉素
mlsj 骂声
mlss 名利双收
mlss 名落孙山
mlt 鸣
mltp 鸣
mltx 忙里偷闲
mlwy 灭亡
mlxp 鸣谢
mlxy 马来西亚
mly 嘛
mlyc 嘛
mlyh 睦邻友好
mlyp 鸣冤
mlyq 眉来眼去
mlzy 马列主义
mm 孟
mm, 勐
mmbb 明明白白
mmbj 明码标价
mmbl 闷闷不乐
mmbr 麻木不仁
mmcc 磨磨蹭蹭
mmcf 满面春风
mmcy 满目疮痍
mmcz 美梦成真
mmdt 冒名顶替
mmel 慕名而来
mmfd 名目繁多
mmfg 眉峰
mmfz 盲目发展
mmg 眉
mmgh 眉
mmgs 孟
mmhc 明眸皓齿
mmhh 马马虎虎
mmhh 迷迷糊糊
mmhh 模模糊糊
mmhy 秘密会议
mmjd 面面俱到
mmjl 孟加拉
mmk 陌
mmkg 陌
mmlg 盲目乐观
mmll 忙忙碌碌
mmll 朦朦胧胧
mmll 骂骂咧咧
mmmg 眉目
mmmm 密密麻麻
mmmq 眉毛
mmqf 面目全非
mmqm 莫名其妙
mmqq 勉勉强强
mmsq 陌生
mmsr 陌生人
mmsx 眉梢
mmt 鹛
mmto 眉头
mmtp 鹛
mmww 默默无闻
mmxq 面面相觑
mmyo 眉宇
mmyq 梦寐以求
mmyx 面貌一新
mmzd 明目张胆
mmzm 孟子
mn 民
mnb, 民办
mnbp 弥补
mnbw 民兵
mnce 民船
mnfc 民法
mnfm 民防
mnfo 民愤
mnfp 民房
mnft 民风
mngg 民国
mngj 民工
mngj 民革
mngz 民歌
mnhe 民航
mnhq 民和
mnj 弭
mnja 弭
mnjb 民警
mnjh 民进
mnjn 民居
mnju 民间
mnlf 弥勒佛
mnlj 弥勒
mnls 蒙娜丽莎
mnmc 弥漫
mnms 民盟
mnnb 民
mnp 愍
mnpl 民品
mnpo 愍
mnqo 民情
mnqx 民权
mnsf 民俗
mnsj 民事
mnsq 民生
mnsu 弥撒
mnsy 民商
mnt 弥
mntd 弥
mnxp 民心
mnxq 民选
mnxt 民系
mnyb 民营
mnyp 民谣
mnyt 民用
mnyy 民意
mnzb 民政部
mnzf 民众
mnzh 民主化
mnzh 民族化
mnzj 民政
mnzj 民政局
mnzj 莫逆之交
mnzo 民宅
mnzt 民政厅
mnzx 民族乡
mnzy 民主
mnzy 民族
mo 密
mob 懵
mobg 懵
mobk 密布
mobs 寞
mobu 密闭
modg 密电
modo 懵懂
mody 密度
modz 慢动作
mofg 蜜蜂
mofv 密封
mog 蜜
mogj 蜜
mogq 密告
mogx 密
moj/ 密级
mojf 密集
mojf 密件
mojx 密集型
molk 忙碌
molq 忙乱
molx 密林
mom 寐
momk 密码
momk 寐
momo 慢慢
momp 密谋
mop 宓
mopi 宓
mopl 慢跑
moq; 密切
mos 慢
mosf 密使
mosg 慢
mosj 慢速
moti 蜜糖
mott 慢吞吞
mou 悯
mou. 悯
moxb 慢性病
moxf 密信
moxg 密歇根
moxo 慢性
moy 忙
moyb 忙
moyd 蜜月
moyh 忙于
moyk 密友
moyy 慢悠悠
mozc 蜜汁
mozi 忙着
mozj 密枣
mozo 密宗
mozv 慢走
mozx 密植
mp 谋
mp. 谬
mp.; 谬
mpb 谟
mpbs 谟
mpcp 名牌产品
mpdy 谜底
mpgd 摸爬滚打
mph; 谋划
mpho 谋害
mpi 谜
mpij 谜
mpja 谋
mpk 幂
mpku 幂
mplg 谋略
mplp 谬论
mplq 谋利
mpmk 谋面
mpml 谩骂
mpn 袂
mpnr 袂
mpp 谧
mppi 谧
mpqj 谋求
mpqj 谋取
mps 谩
mpsg 谩
mpsj 谋士
mpsq 谋生
mpsq 谋私
mpsr 谋杀
mptg 谜团
mpts 谜题
mpwp 谬误
mpwx 冥王星
mpxx 冥想
mpy 冥
mpyp 谜语
mpyr 冥
mpyy 谜一样
mpzj 谋职
mpzq 谬赞
mq 每
mq. 毪
mq.q 毪
mq/y 每
mq; 毛
mqbq 毛笔
mqby 毛病
mqbz 毛笔字
mqcb 牧草
mqcv 牧场
mqcy 每次
mqcz 摩拳擦掌
mqd 秒
mqd; 每到
mqdf 每当
mqdi 每道
mqdi 秒
mqdj 牡丹江
mqdl 每吨
mqdt 牡丹
mqf, 毛发
mqf/ 毛纺
mqfc 毛纺厂
mqft 每逢
mqfy 秘方
mqfz 每分钟
mqgd 明确规定
mqgf 每个
mqgj 每公斤
mqgk 敏感
mqgm 每隔
mqgr 每个人
mqgx 敏感性
mqgx 密切关系
mqgy 每个月
mqgz 密切关注
mqh 秣
mqhd 秣
mqhg 每回
mqhp 每户
mqhs 妙趣横生
mqje 每斤
mqjf 每件
mqjg 毛巾
mqjn 每届
mqjo 每家
mqjp 秘诀
mqjq 秘籍
mqju 秘技
mqju 敏捷
mqk 篾
mqkj 每克
mqkm 毛孔
mqkp 篾
mql/ 毛驴
mqlg 牡蛎
mqli 毛料
mqlq 毛利
mqlx 密切联系
mqmi 每米
mqmn 牧民
mqmo 秘密
mqmq 每每
mqmq 每秒
mqmx 眉清目秀
mqmy 美其名曰
mqnj 毛囊
mqnq 每年
mqnz 毛南族
mqp 秘
mqp, 毛皮
mqpi 秘
mqpq 每篇
mqpv 毛坯
mqq 敏
mqq; 牦
mqqj 每期
mqqk 目前情况
mqqr 牧
mqqr 敏
mqqz 牧区
mqrc 满腔热忱
mqrf 每人
mqrq 满腔热情
mqrr 毛茸茸
mqrs 每日
mqrz 敏锐
mqs/ 秘书
mqsc 秘书处
mqsd 牧师
mqsg 秘史
mqsk 秘书科
mqsl 穆斯林
mqsl 谋取私利
mqsn 毛刷
mqss 每时
mqst 毛色
mqsz 秘书长
mqt 鳘
mqt. 每台
mqtc 明确提出
mqtg 鳘
mqth 每天
mqtk 每套
mqto 毛头
mqtq 毛毯
mqtt 每条
mqtx 每桶
mqty 牧童
mqv 牡
mqw 穆
mqwf 每位
mqwn 穆
mqws 每晚
mqwu 秘闻
mqx/ 毛线
mqxg 毛细管
mqxg 密切相关
mqxj 每项
mqxn 每学年
mqxq 每星期
mqxq 每学期
mqxs 每小时
mqxz 密切协作
mqyb 每一步
mqyc 每一次
mqyd 每月
mqyg 每一个
mqyi 牧羊
mqyk 每页
mqyq 牧羊犬
mqys 牧业
mqyt 每一天
mqyw 每一位
mqyx 每样
mqyy 毛衣
mqyz 每一
mqz/ 每组
mqzc 明确指出
mqzd 毛泽东
mqzg 毛贼
mqzl 每只
mqzn 每张
mqzo 每字
mqzp 毛织品
mqzq 毛重
mqzq 毛竹
mqzt 每周
mqzx 毛主席
mqzz 秒钟
mr 貌
mrb 貘
mrbs 貘
mrg 觅
mrgt 觅
mrhh 明日黄花
mrhs 蓦然回首
mrk 貊
mrkg 貊
mrmx 盲人摸象
mrmy 名人名言
mrmy 没日没夜
mrp 邈
mrpv 邈
mrsf 貌似
mrsf 觅食
mrts 面如土色
mrwn 貌
mrzz 漠然置之
ms 明
msaj 民事案件
msas 明暗
msbk 莫桑比克
msbu 明摆
msbw 明白
msby 漫山遍野
msbz 明摆着
mscg 墨守成规
mscj 明朝
msct 明处
msd 明
msda 明点
msdc 名山大川
msdf 明代
msdi 明灯
msdk 茅塞顿开
msdz 名声大振
mset 明儿
msfk 明矾
msg 盟
msgg 盟国
msgj 名胜古迹
msgr 曼谷
msgs 曼
msgs 盟
msh 昧
mshc 妙手回春
mshd 曼哈顿
mshd 昧
mshh 明晃晃
mshi 明火
mshq 命丧黄泉
msht 明后天
msjf 民事纠纷
msjj 明基
msjp 盟军
msjs 明鉴
msjy 明净
msjz 明镜
mskk 妙手空空
msko 明快
mskx 冥思苦想
mslf 明令
mslp 明朗
msly 明亮
msm, 明媚
msmg 明目
msmk 每时每刻
msms 明明
msnq 明年
msp 暝
msps 暝
msqc 明清
msqk 明确
msrs 明日
mssh 明示
mssk 磨石
mssp 明说
msss 民事诉讼
mssz 马首是瞻
mst 昴
msth 明天
mstt 昴
msws 明晚
mswy 明文
msx/ 明细
msxp 明信片
msxs 明显
msxs 明星
msy/ 盟约
msyd 明月
msyh 民生银行
msyk 盟友
mszh 明珠
mszj 毛遂自荐
mszq 明智
mszq 明知
mszr 民事责任
mszs 明早
mszy 媒妁之言
mt 么
mt, 勉
mt/ 犸
mt/z 犸
mtb 猫
mtba 猫步
mtbd 媒体报道
mtbg 猫
mtbl 免不了
mtbs 馍
mtcb 名菜
mtcb 名茶
mtch 贸促会
mtcm 免除
mtcp 名词
mtcq 名称
mtct 名册
mtcv 名城
mtcy 名次
mtcy 猛冲
mtde 免得
mtdh 弥天大谎
mtdi 名单
mtdl 猛跌
mtdu 猛打
mtdv 猛地
mtdz 弥天大罪
mteo 名额
mtfn 免费
mtfr 名分
mtg 免
mtgf 贸
mtgg 名贵
mtgh 瞒天过海
mtgj 猛攻
mtgk 免
mtgw 名古屋
mtha 猛虎
mthl 名号
mtht 猕猴桃
mtht 猕猴
mthz 名画
mtjb 名节
mtjc 名酒
mtjh 猛击
mtjl 名叫
mtjo 名家
mtjt 名句
mtjx 免检
mtjy 名将
mtkg 埋头苦干
mtl 名
mtl, 猛力
mtlc 名流
mtlk 猛烈
mtlk 勉励
mtlk 名列
mtll 摩托罗拉
mtln 名录
mtlq 名利
mtm 卯
mtmg 名目
mtmj 猛
mtmk 猸
mtmn 没头没脑
mtmt 馍馍
mtmu 名门
mtmx 名模
mtn 猕
mtn, 猕
mtnd 猫腻
mtng 猛男
mtpj 免票
mtpw 名片
mtpw 名牌
mtqg 名曲
mtqn 勉强
mtqq 名气
mtqv 免去
mtrf 名人
mtrs 门庭若市
mtrt 猛然
mtrt 贸然
mts 馒
mtsd 名胜
mtsd 名师
mtsg 名山
mtsg 鳗
mtsg 馒
mtsi 猛兽
mtsj 名声
mtsl 慢条斯理
mtsm 免收
mtsp 免试
mtsq 免税
mtsr 免受
mttf 名堂
mtto 馒头
mttp 免谈
mttu 免提
mtty 猫头鹰
mtv 么
mtwi 名为
mtwy 名望
mtxj 名下
mtxw 冒天下之大不韪
mtxx 名校
mty. 免予
mtyb 贸易部
mtye 贸易额
mtyf 名优
mtyh 免于
mtyi 名义
mtyl 免疫力
mtyo 名誉
mtyq 贸易区
mtys 贸易
mtyt 鳗鱼
mtyy 免疫
mtyy 名言
mtyz 名医
mtzb 名著
mtzc 猛涨
mtze 免征
mtzf 迷途知返
mtzf 名作
mtzh 免责
mtzj 免遭
mtzj 免职
mtzo 名字
mtzv 猛增
mu 门
mu/ 拇
mu/y 拇
mub 摸
mub 门
mub, 门边
mubg 描
mubk 抹布
mubs 摸
mubx 门板
mubz 门巴族
mucm 摸出
muco 门窗
mud; 摸到
mudi 门道
mudq 门第
mudu 抹掉
mudy 摸底
muf/ 门缝
mufp 门房
mug 闽
mugj 摸过
mugj 闽
muh 抹
muh/ 描绘
muhd 抹
muhe 门后
muhg 抹黑
muhg 摸黑
muhh 门环
muhp 门户
mujc 闽江
mujy 门将
mukl 门口
mukx 门槛
mulg 门里
muli 门类
mull 门路
mulo 门帘
mulx 门楼
mulz 门铃
mumk 门面
mun 抿
mung 门内
munj 闽南
munn 抿
mup 闷
mupc 门派
muph 门牌号
mupj 门票
mupo 闷
mupw 门牌
muqc 摸清
muqi 门前
muqv 抹去
muru 闷热
musa 门上
musb 门市部
musj 摸索
musj 描述
musp 门神
musq 门生
musr 抹杀
must 抹煞
