l 了
l;pv 连
l;pw 连片
l;rf 连任
l;rl 连日来
l;rs 连日
l;sd 连锁店
l;sd 连胜
l;sj 连声
l;sq 连手
l;sz 连锁
l;sz 轮式
l;t 轹
l;t. 连通
l;td 轮胎
l;td 轹
l;tg 连同
l;th 连天
l;tv 辂
l;x/ 连续
l;xf 轮休
l;xj 连续剧
l;xp 轮训
l;xx 连续性
l;y 辘
l;yg 连云港
l;yq 连衣裙
l;yt 连用
l;yt 辘
l;yx 轮椅
l;yy 连夜
l;z/ 连缀
l;z; 轮转
l;z; 轮轴
l;za 连战
l;zf 轮作
l;zf 连作
l;zh 连珠
l;zi 连着
l;zj 连载
l;zm 轮子
l;zq 连长
la 虑
la, 虏
lab; 卢比
labk 卢布
laf 龄
lafg 卢浮宫
lafp 龄
lag 卤
lagq 卢沟桥
lagr 卤
lagx 两岸关系
lahc 柳暗花明又一村
lahm 柳暗花明
lak 颅
lakg 颅
lan 卢
lanc 卢
lapo 虑
larg 卤肉
larm 两岸人民
lasb 卢森堡
lat 鸬
latp 鸬
lawd 卢旺达
lb 落
lb, 劳
lb,, 荔
lb. 蓼
lb.; 蓼
lb; 莲
lb;j 莲
lbbf 劳保
lbbf 萝卜
lbbg 落败
lbbj 蓝本
lbbk 狼狈不堪
lbbq 落笔
lbbs 蓝宝石
lbbx 落榜
lbc 蒗
lbcb 落草
lbcc 落潮
lbcg 蓝筹股
lbci 落差
lbck 落成
lbcp 蒗
lbcq 蓝筹
lbct 落
lbcx 力不从心
lbd; 落到
lbdb 劳动部
lbde 落得
lbdf 劳动法
lbdh 劳动
lbdj 劳动局
lbdl 劳动力
lbdo 落定
lbdr 劳动日
lbds 落地式
lbdv 落地
lbdz 劳动者
lbf 苓
lbfl 蔹
lbfp 苓
lbfy 莅
lbg 萝
lbgj 劳工
lbgn 劳改
lbgq 芦沟桥
lbgs 萝
lbhb 莲花
lbhb 芦荟
lbhb 落花
lbhe 落后
lbhp 落户
lbhy 落后于
lbi 蒌
lbij 蒌
lbj, 劳驾
lbjd 落脚
lbjj 劳教
lbjp 拉帮结派
lbjs 两败俱伤
lbjt 菱角
lbk 茏
lbk, 苈
lbk, 茏
lbkb 劳苦
lbkj 落款
lbko 落空
lbkp 牢不可破
lbkz 乐不可支
lbl 莱
lbl, 劳力
lblb 落落
lblc 落泪
lblf 蓝领
lblg 劳累
lblk 劳碌
lblm 蕾
lblq 莱
lbls 莅临
lbly 利比里亚
lbm/ 落马
lbmb 落幕
lbmm 厉兵秣马
lbmo 落寞
lbmx 劳模
lbn. 落难
lbp 芦
lbpb 莲蓬
lbph 莨
lbpk 芦
lbpn 蓝屏
lbpw 落魄
lbq 莉
lbqd 藜
lbqd 莉
lbqj 荦
lbrr 落入
lbrs 落日
lbs 蓝
lbsg 落水
lbso 落实
lbsp 劳神
lbsq 芦笋
lbsq 蓝
lbss 乐不思蜀
lbst 蓝色
lbsy 路不拾遗
lbsz 劳什子
lbtf 落体
lbtg 蓝图
lbth 蓝天
lbtj 落汤鸡
lbu 蔺
lbub 蔺
lbv 菱
lbvr 菱
lbwb 芦苇
lbwf 劳务费
lbwf 落伍
lbwg 落网
lbwj 狼狈为奸
lbwt 劳务
lbxh 菱形
lbxj 落下
lbxq 落选
lbxy 芦席
lby 蓠
lby; 蓝牙
lbye 劳役
lbyh 莱茵河
lbyl 落叶
lbym 莱阳
lbyr 蓠
lbys 落叶松
lbyt 劳逸
lbzf 劳作
lbzk 落在
lbzm 莲子
lbzx 荔枝
lbzy 劳资
lbzy 落座
lc 流
lc; 涟
lc;j 涟
lca 滤
lca, 滤
lcan 泸
lcb 涝
lcbc 滤波
lcbm 淋巴
lcbp 乐此不疲
lcbp 涝
lcbq 滤波器
lcbu 漏报
lcby 淋病
lcby 溜冰
lccb 潦草
lccb 联产承包
lccc 浪潮
lccf 流传
lccg 流畅
lccj 澜沧江
lccm 流出
lcco 流窜
lccq 流程
lcct 流程图
lccy 流产
lcd; 流到
lcdc 漏洞
lcdf 潦倒
lcdg 漏电
lcdh 流动
lcdk 溜达
lcdo 漏斗
lcdu 漏掉
lcdx 流动性
lcf 沦
lcf, 滥发
lcfb 流芳
lcff 滥伐
lcfh 鎏
lcfl 潋
lcfn 浪费
lcfp 泠
lcft 沦
lcfy 流放
lcg 泪
lcgf 泪光
lcgh 泪
lcgj 流过
lcgj 漯
lcgj 澧
lcgk 流感
lchb 浪花
lchb 泪花
lchc 流汗
lchy 泪痕
lci 粱
lcij 粱
lcj 濑
lcj/ 流经
lcjc 漓江
lcjh 流进
lcjm 溧
lcjn 濑
lcjr 良辰吉日
lcjy 浪迹
lck 沥
lck, 泷
lck, 沥
lck. 洌
lcko 潦
lcl 潞
lcl; 流连
lcla 潞
lclb 流落
lclb 沦落
lclc 流泪
lclc 流浪
lclc 淋漓
lclh 流浪汉
lcll 流露
lclq 流利
lclq 浏览器
lclq 涞
lcls 浏览
lcls 流量
lcm 泐
lcm, 泐
lcmc 浪漫
lcmj 良辰美景
lcms 流明
lcmy 流氓
lcn 漏
lcnj 渌
lcnm 郎才女貌
lcnq 流年
lcnq 漏
lcp 浪
lcpc 流派
lcph 浪
lcqh 沥青
lcqq 漏气
lcqx 力挫群雄
lcrr 流入
lcry 绿草如茵
lcs 滥
lcsc 淋湿
lcsg 流水
lcsg 泪水
lcsg 漏水
lcsj 流速
lcsj 沦丧
lcsj 洛杉矶
lcsq 流失
lcsq 漏税
lcsq 滥
lcsr 滥杀
lcsu 流逝
lcsx 流水线
lcsy 临床试验
lcsz 流水账
lct 洛
lct. 流通
lctc 浪涛
lctc 流淌
lctd 泺
lctf 流体
lctl 流通量
lcto 浪头
lctp 溜
lctv 洛
lctx 流通性
lcu 澜
lcun 澜
lcwg 漏网
lcwi 沦为
lcwk 落草为寇
lcwy 流亡
lcx 梁
lcxb 流行病
lcxe 流行
lcxj 流下
lcxm 沦陷
lcxs 流星
lcxw 流血
lcxw 流向
lcxx 淋
lcxx 漤
lcxy 流行于
lcy 浏
lcy. 流
lcyb 来迟一步
lcyc 涟漪
lcyc 淋浴
lcyc 漏油
lcyh 流于
lcyj 漏雨
lcym 洛阳
lcyp 连成一片
lcyr 漓
lcyr 濂
lcyr 浏
lcys 滦
lcyt 滥用
lcyt 漉
lcyv 流域
lcyy 流言
lcz/ 滤纸
lcz; 流转
lczh 泪珠
lczi 流着
lczi 泸州
lczm 浪子
lczo 涝灾
lczv 溜走
ld 劣
ld, 劣
ld, 肋
lda 胪
ldan 胪
ldbc 漏洞百出
ldbd 雷打不动
ldbl 另当别论
ldby 脸部
ldbz 腊八粥
ldbz 领导班子
ldcf 立地成佛
ldck 留党察看
ldcr 龙的传人
ldcy 领导成员
lddm 脸蛋
lddq 劣等
ldf 脸
ldfl 脸
ldgb 领导干部
ldgg 肋骨
ldgw 领导岗位
ldgx 劳动关系
ldgz 领导工作
ldh/ 脸红
ldhx 领导核心
ldi 膦
ldij 膦
ldj 腊
ldja 腊
ldjl 脸颊
ldjs 劳动竞赛
ldjy 劳动就业
ldjy 劣迹
ldk 胧
ldk, 胧
ldkm 脸孔
ldl 脶
ldlg 脶
ldlh 来电来函
ldmf 劳动模范
ldmk 脸面
ldmx 腊梅
ldmy 灵丹妙药
ldmz 拉丁美洲
ldnl 劳动能力
ldnl 领导能力
ldp, 脸皮
ldpp 脸谱
ldpr 脸盆
ldpy 脸庞
ldrg 腊肉
ldrk 流动人口
ldrm 劳动人民
ldrs 劳动人事
ldry 锒铛入狱
ldsa 脸上
ldsc 落到实处
ldsj 劳动时间
ldsl 劳动生产率
ldsp 领导水平
ldst 脸色
ldsu 劣势
ldtd 脸膛
ldtj 劳动条件
ldwg 立党为公
ldxe 劣行
ldxh 脸型
ldxm 浪得虚名
ldxs 来电显示
ldxz 领导小组
ldy 臁
ldyd 腊月
ldyr 臁
ldys 领导艺术
ldyz 老当益壮
ldze 劣质
ldzf 领导作风
ldzj 流动资金
ldzm 拉丁字母
ldzr 领导责任
ldzw 领导职务
ldzy 领导作用
le 律
lea 舻
lean 舻
lefc 律法
lekj 律考
lel 徕
lelq 徕
lenh 律
lesd 律师
lesp 律诗
lewg 劳而无功
lf 领
lf, 仂
lf. 翎
lf.; 翎
lf; 瓴
lf;. 瓴
lfar 令爱
lfbh 邻邦
lfbh 领班
lfbs 流芳百世
lfbw 领兵
lfcf 伦常
lfcl 领唱
lfcx 邻村
lfd; 领到
lfdc 领导层
lfdf 伶仃
lfdj 领带
lfdm 领队
lfdn 领导
lfdp 领读
lfdq 领导权
lfdr 领导人
lfdv 领地
lfdx 领导下
lfdy 伦敦
lfdz 领导者
lff 伦
lffp 伶
lfft 伦
lffw 龙飞凤舞
lfg 赁
lfgf 赁
lfgg 邻国
lfgh 俚
lfgh 倮
lfgj 儡
lfhc 领海
lfhe 领航
lfhf 领会
lfhf 例会
lfhy 领航员
lfi 偻
lfij 偻
lfj 俩
lfj, 俩
lfj. 俪
lfj/ 领结
lfje 邻近
lfjf 例假
lfjg 立法机关
lfjj 领教
lfjk 佬
lfjm 傈
lfjn 邻居
lfjo 邻家
lfjp 领军
lfjq 令箭
lfjt 领奖台
lfjy 领奖
lfk 例
lfk. 例
lfkg 领
lfkl 领口
lfko 领空
lfko 僚
lfl 侣
lfld 领略到
lflf 伶俐
lflg 邻里
lflg 领略
lflh 伦理
lfll 领路
lfll 侣
lflx 伦理学
lfm 邻
lfmq 翎毛
lfnf 令你
lfp 令
lfpl 领跑
lfpv 令
lfpw 令牌
lfq 敛
lfqd 俐
lfqg 流芳千古
lfqj 领取
lfqo 领情
lfqr 敛
lfqz 领钱
lfr, 例如
lfrf 令人
lfsf 邻舍
lfsg 领事馆
lfsj 领事
lfsr 领受
lfsz 傈僳族
lft 仑
lftf 令堂
lfto 领头
lfts 例题
lftv 领土
lfwo 领悟
lfwt 例外
lfwy 例文
lfxe 例行
lfxe 领衔
lfxg 邻县
lfxp 领袖
lfxq 领先
lfyn 领域内
lfyp 俚语
lfyt 领用
lfyv 领域
lfyz 领域中
lfzd 来犯之敌
lfzi 领着
lfzm 例子
lfzm 领子
lfzp 例证
lfzy 领主
lg 罗
lg/ 累
lg/u 累
lgb 崂
lgb, 里边
lgbl 累不累
lgbp 崂
lgbq 蜡笔
lgcb 里程碑
lgcq 里程
lgde 累得
lgdx 理工大学
lgdy 略多于
lgdz 螺钉
lgf 岭
lgfm 两个方面
lgfp 囹
lgfp 蛉
lgfp 岭
lgft 囵
lgg 螺
lggg 蝼蛄
lggh 罗干
lggj 螺
lggx 两国关系
lggy 略高于
lgh 里
lgh, 略好
lghc 罗汉
lghg 罹患
lghx 里
lgi 嶙
lgij 髅
lgij 瞵
lgij 蝼
lgij 嵝
lgij 嶙
lgj 蜡
lgj, 累加
lgj; 逻辑
lgja 蜡
lgjg 罱
lgjh 累进
lgjp 累计
lgjq 累积
lgju 里间
lgjx 逻辑性
lgjy 立竿见影
lgk 瞭
lgk; 蛎
lgko 瞭
lgl 睐
lglg 累累
lglh 里弄
lglk 罗列
lglm 利国利民
lglq 崃
lglq 睐
lglu 里拉
lgm/ 罗马
lgmg 螺帽
lgmk 里面
lgn. 罹难
lgnj 岭南
lgo 罹
lgox 罹
lgp 逻
lgpe 罗盘
lgph 螂
lgpv 逻
lgq 蜊
lgqd 蜊
lgqv 略去
lgrc 蜡染
lgs/ 螺丝
lgsd 螺丝刀
lgsg 螺蛳
lgsj 立功受奖
lgsq 里手
lgsx 螺栓
lgt 略
lgtd 乐观态度
lgtg 略图
lgto 里头
lgtr 岚
lgtv 赂
lgtv 略
lgtv 罗
lgw/ 螺纹
lgwe 略微
lgwi 略为
lgwm 两个文明
lgwn 里屋
lgwt 里外
lgwy 瞭望
lgxf 蜡像
lgxg 嶙峋
lgxj 螺旋桨
lgxs 论功行赏
lgxt 锣鼓喧天
lgxy 螺旋
lgy 詈
lgyg 囹圄
lgyh 詈
lgyk 略有
lgyr 蠊
lgz/ 蜡纸
lgzb 立国之本
lgze 蜡质
lgzh 累赘
lgzi 蜡烛
lgzq 略知
lgzy 乐观主义
lh 理
lh; 琏
lh;j 琏
lhb 耢
lhbp 耢
lhbz 珞巴族
lhcg 理财
lhcg 理睬
lhcq 炉火纯青
lhdf 理当
lhdq 落后地区
lhdy 灵活多样
lhet 落荒而逃
lhf 玲
lhf, 理发
lhfd 理发店
lhfp 玲
lhfs 理发师
lhfw 来华访问
lhg 靓
lhgh 理
lhgj 理工
lhgk 理工科
lhgt 靓
lhhf 理会
lhi 耧
lhij 耧
lhj 耒
lhjc 耒
lhjl 理解力
lhjt 理解
lhk 珑
lhk, 嫠
lhk, 珑
lhkh 理亏
lhkq 理科
lhkx 弄
lhl 璐
lhla 璐
lhlh 玲珑
lhlh 琉璃
lhlj 理论家
lhlp 理论
lhls 理论上
lhls 落花流水
lhlw 琉璃瓦
lhlx 理论性
lhly 理疗
lhlz 靓丽
lhm, 靓妹
lhn, 靓女
lhnf 理念
lhp 琅
lhpg 理赔
lhph 琅
lhqc 理清
lhqn 理屈
lhsg 理事国
lhsh 理事会
lhsj 理事
lhsw 理顺
lhsz 理事长
lht 珞
lhtf 弄堂
lhtv 珞
lhwh 联欢晚会
lhx 琳
lhxh 理想化
lhxo 理性
lhxx 理想
lhxx 琳
lhy 璃
lhy. 琉
lhyg 理由
lhyr 璃
lhyy 理应
lhzf 靓仔
lhzq 理智
li 类
li, 娄
li,z 娄
li/ 粼
li; 炼
li;, 炼
lib; 类比
libl 类别
libt 烙饼
licb 粮草
licf 粮仓
lid; 料到
lido 料定
lidu 烂掉
lidy 粮店
lif 羚
lifp 羚
lifs 类风湿
ligs 粮管所
ligz 炼钢
lih 兰
lihb 兰花
lihi 炉火
lihk 炉灰
lihz 兰
lii 烂
liih 烂
lijc 料酒
lijf 粮价
lijg 炉具
lik 燎
lik; 粝
likj 兰考
liko 燎
likv 类
liky 粮库
lilh 料理
lili 粼粼
limc 烂漫
limg 类目
limx 粮棉
linc 烂泥
lio 料
lioj 料
lip 粮
liph 粮
lipj 粮票
lipk 炉
lipv 遴
lirr 炼乳
liry 类人猿
lisf 类似
lisf 粮食
lisj 粮食局
lisy 类似于
lit 烙
lit. 炉台
litd 炉膛
litg 粮田
litg 类同
litp 熘
litu 类推
litv 烙
litz 烂摊子
litz 烙铁
litz 炼铁
liwc 炉温
lixh 类型
lixt 粮饷
lixx 料想
liy 粒
liyc 粮油
liyc 炼油
liyi 羚羊
liyi 粒
liyk 燎原
liyt 烙印
lizc 炉渣
lizi 兰州
lizi 炉灶
lizm 炉子
lizm 粒子
lizq 炼制
lizs 兰州市
lizy 粮站
lj 两
lj, 勒
lj,v 两
lj. 醪
lj.; 醪
lj/ 鬣
lj/m 鬣
ljag 两岸
ljb, 两边
ljba 两步
ljbf 老伴
ljbf 老伯
ljbf 两倍
ljbg 屡教不改
ljbh 联邦
ljbi 两半
ljbj 老本
ljbk 两百
ljbl 老八路
ljbn 老板娘
ljbp 路见不平
ljbq 两笔
ljbr 老爸
ljbt 老鸨
ljbu 联播
ljbw 老兵
ljbx 老板
ljbx 老百姓
ljbx 屡见不鲜
ljbz 屡禁不止
ljc/ 老巢
ljcf 两侧
ljck 老成
ljcn 两层
ljcs 历尽沧桑
ljct 两处
ljcv 两场
ljcx 两重性
ljcy 两次
ljcz 离家出走
ljda 两点
ljdf 两党
ljdg 老大哥
ljdh 联动
ljdi 老道
ljdi 老弟
ljdk 老大
ljdk 两大
ljdl 两大类
ljdm 联队
ljdn 老大难
ljdn 老大娘
ljdr 老爹
ljds 老旦
ljdt 两朵
ljdv 两地
ljdy ^老底
ljdy 老掉牙
ljdy 老大爷
ljdy 两端
ljeh 老二
ljf 聆
ljfg 廉洁奉公
ljfh 两极分化
ljfl 老骥伏枥
ljfm 联防
ljfm 两方面
ljfp 聆
ljfy 两方
ljg 醴
ljgb 老干部
ljgf 两个
ljgg 两国
ljgj 醴
ljgr 老公
ljgy 两个月
ljh. 联欢
ljha 老虎
ljhb 老花
ljhc 老汉
ljhf 联合
ljhf 老化
ljhg 联合国
ljhh 联欢会
ljhj 老花镜
ljhj 老红军
ljhl 老皇历
ljhn 老黄牛
ljhp 老话
ljhr 老好人
ljhs 两回事
ljht 联合体
ljhy 老花眼
lji 联
ljih 联
ljj/ 联结
ljj/ 两级
ljjb 老茧
ljjd 两脚
ljje 老街
ljjf 两件
ljjh 老奸巨猾
ljjl 两颊
ljjn 老君
ljjo 老家
ljjo 两家
ljjp 联军
ljjs 勒紧
ljjt 两句
ljjx 联机
ljjx 两极
ljjy 老将
ljkl 两口
ljkv 两块
ljkz 两口子
ljl/ 老练
ljl/ 联络
ljl; 两轮
ljla 老龄
ljlb 联络部
ljlc 联络处
ljlf 勒令
ljlh 老龄化
ljli 两类
ljlj 聊聊
ljlk 老两口
ljll 老路
ljlw 老龄委
ljly 联络员
ljlz 联络站
ljm 郦
ljm, 老妈
ljm/ 老母
ljmb 老毛病
ljmf 老命
ljmk 两面
ljmm 老妈妈
ljmp 联袂
ljmp 两面派
ljms 联盟
ljmt 联名
ljmu 两门
ljmx 两枚
ljn 吏
ljn, 老娘
ljn. 两难
ljnc 吏
ljnd 两年多
ljnn 老奶奶
ljnp 老农
ljnq 老年
ljnr 老年人
ljp 逦
ljp, 赖皮
ljpc 老婆
ljpd 离经叛道
ljpp 联翩
ljpu 两排
ljpv 逦
ljpw 老牌
ljpy 老朋友
ljpy 两旁
ljpz 老婆子
ljqb 老前辈
ljqg 屡建奇功
ljqk 了解情况
ljqq 两千
ljqv 聊起
ljqx 两栖
ljqz 老区
ljr 酹
ljrf 老人
ljri 酹
ljrj 老人家
ljrn 老弱
ljrs 两日
ljs 剌
ljsb 乐极生悲
ljsd 老师
ljsf 老师傅
ljsh 两三
ljsj 勒索
ljsk 勒死
ljso 老实
ljso 联赛
ljsq 联手
ljsq 两手
ljsr 老实人
ljss 老是
ljst 两三天
ljsw 老鼠
ljsz 老式
ljt 老
ljt. 联通
ljtd 两腿
ljtg 赖
ljth 聊天
ljth 老天
ljtk 两套
ljtl 聆听
ljto 老头
ljto 两头
ljtp 老太婆
ljtp 鹂
ljts 聊天室
ljtt 聊
ljtt 老太太
ljtv 酪
ljty 浪迹天涯
ljty 老天爷
ljtz 老头子
ljtz 励精图治
ljw; 两万
ljwf 两位
ljwg 联网
ljwr 老翁
ljws 两旺
ljwt 老顽童
ljwt 老外
ljwu 老挝
ljx 栗
ljx/ 老乡
ljxj 两项
ljxl 老兄
ljxo 两性
ljxr 联系人
ljxs 落井下石
ljxt 联系
ljxx 老朽
ljxx 联想
ljxy 联席
ljxz 两下子
ljy, 联姻
ljy. 赖以
ljy/ 老幼
ljyb 老一辈
ljyb 联营
ljyb 略见一斑
ljyd 灵机一动
ljyd 老一代
ljyf 两亿
ljyg 两眼
ljyh 联谊会
ljyk 老友
ljym 两院
ljyp 联谊
ljyr 老爷
ljyt 老一套
ljyt 两用
ljyx 两样
ljyy 老鹰
ljyz 老爷子
ljzf 联众
ljzg 老资格
ljzh 老字号
ljzi 老总
ljzj 老者
ljzj 两者
ljzk 老在
ljzl 廉洁自律
ljzm 老子
ljzm 栗子
ljzn 两张
ljzo 两字
ljzp 老祖
ljzr 老丈人
ljzs 老早
ljzt 两周
ljzy 老战友
ljzy 聊斋
ljzy 两座
ljzz 老祖宗
lk 历
lk, 励
lk, 历
lk,v 龙
lk; 厉
lk;c 厉
lkbh 列表
lkbw 列兵
lkby 裂变
lkc; 列车
lkce 龙船
lkcm 列出
lkcq 历程
lkcy 历次
lkdf 历代
lkdi 垄断
lkdm 列队
lkdt 列岛
lkdy 烈度
lkf 殓
lkf/ 裂缝
lkfc 历法
lkfd 磷肥
lkfl 殓
lkft 龙凤
lkg 厘
lkgg 劳苦功高
lkgh 厘
lkgo 龙宫
lkha 龙虎
lkhd 龙虎斗
lkhf 硫化
lkhf 裂化
lkhi 烈火
lkhj 硫黄
lkhk 硫磺
lkho 厉害
lkhy 裂痕
lki 磷
lkij 磷
lkj 聋
lkj/ 历经
lkja 聋
lkjc 烈酒
lkjf 龙卷风
lkjh 龙井
lkjn 历尽
lkjn 历届
lkjo 列举
lkjs 烈军属
lkjt 裂解
lkk 磊
lkk; 砺
lkkh 裂开
lkkl 裂口
lkkl 砻
lkkl 磊
lkkp 奁
lkks 龙口市
lkl/ 历练
lklb 磊落
lklf 乱砍滥伐
lklk 历历
lkll 历来
lkmi 厘米
lkmu 龙门
lkmz 龙门阵
lkn 碌
lkn, 烈女
lknj 碌
lkno 列宁
lknq 历年
lko 烈
lkoo 烈
lkqn 列强
lkqw 龙泉
lkrf 历任
lkrr 列入
lkrs 烈日
lks 列
lksg 历史
lksj 烈士
lksj 硫酸
lksk 砾石
lksn 烈属
lkss 历时
lkss 历史上
lksx 历史性
lkt 砾
lktc 龙潭
lktd 砾
lkto 龙头
lktp 鹩
lktv 尥
lktv 硌
lkv 垄
lkw/ 裂纹
lkwf 列位
lkwh 龙王
lkwi 列为
lkwm 拉开帷幕
lkxb 龙芯
lkxe 厉行
lkxg 龙虾
lkxm 历险
lkxm 裂隙
lkxo 烈性
lkxy 列席
lky 裂
lky. 硫
lkyg 龙眼
lkyi 砬
lkyl 聋哑
lkyt 裂
lkyx 良苦用心
lkze 龙舟
lkzm 聋子
ll 来
ll, 另
ll, 叻
ll/ 躐
ll/m 躐
llb 唠
llb, 路边
llbb 搂搂抱抱
llbd 来不得
llbh 喇叭花
llbj 来不及
llbj 零部件
llbl 喇叭
llbm 来路不明
llbo 来宾
llbp 唠
llbs 恋恋不舍
llbu 躏
llbx 路标
llca 来此
llcc 拉拉扯扯
llcc 来潮
llcd 两肋插刀
llck 另存
llcm 露出
llcn 来迟
llcq 路程
llct 来处
llcw 另存为
lld; 来到
llda 零点
lldb 力量对比
lldd 伦理道德
llde 来得
lldf 落落大方
lldg 来电
lldg 雷电
lldh 雷动
lldi 路灯
lldj 来得及
lldk 雷达
lldl 唠叨
lldm 零蛋
lldw 路段
lldy 零度
lldz 雷达站
llex 量力而行
llf 零
llfn 路费
llfp 来访
llfp 呤
llfp 零
llfq 来复
llfx 雷厉风行
llfz 雷锋
llg 雷
llg; 路轨
llgd 劳累过度
llgf 赉
llgg 露骨
llgh 哩
llgj 来过
llgj 路过
llgj 雷
llgq 来稿
llgq 雷管
llgr 雷公
llgs 啰
llhb 零花
llhf 来华
llhg 来回
llhh 来来回回
llhm 来函
llhq 零花钱
lli 喽
llij 喽
llj 喇
llj, 另加
llj. 来劲
llja 嘞
lljc 理论基础
llje 路径
lljf 零件
lljg 来料加工
lljh 雷击
lljj 路基
lljl 零距离
lljn 喇
lljp 来讲
llju 另据
lljy 来京
lljz 淋漓尽致
llk 雳
llk, 呖
llk, 咙
llk, 雳
llk. 咧
llkg 喱
llkh 咧开
llkl 路口
llko 来客
llko 嘹
llkq 来看
llks 寥寥可数
llky 路况
lll 吕
llla 露
lllb 零落
lllc 吕梁
llld 啦啦队
llld 露脸
llli 另类
lllj 理论联系实际
lllk 来历
llll 来路
llll 喽啰
lllq 零乱
llls 来临
llly 嘹亮
llm 酃
llmb 雷鸣般
llmk 路面
llmk 露面
llml 喇嘛
llmm 琳琅满目
llmm 泪流满面
llnq 来年
llp 踉
llph 啷
llph 踉
llpj 零配件
llpk 唳
llpy 路旁
llql 踉跄
llqm 来龙去脉
llqq 冷冷清清
llqq 踉踉跄跄
llqv 来去
llqx 来
llqz 零钱
llrf 来人
llrf 路人
llrs 来日
lls/ 鹭鸶
llsa 路上
llse 零售额
llsf 零售
llsg 露水
llsg 累累硕果
llsj 雷声
llsj 零散
llsj 零售价
llsk 零碎
llsl 啰嗦
llso 露宿
llsp 来说
llsq 来生
llss 老老实实
llss 流离失所
llss 啰啰嗦嗦
llsu 来势
llt 路
lltd 跞
lltf 路途
lltg 雷同
lltg 噜
llth 露天
lltk 露天矿
lltl 雷霆
llto 零头
llto 来头
llto 露头
lltp 鹭
llts 路透社
lltt 玲珑剔透
lltv 咯
lltv 路
lltx 理论体系
llu 啦
lluy 啦
llwe 来往
llwf 流连忘返
llwi 来为
llwj 寥寥无几
llwt 另外
llwu 来问
llww 碌碌无为
llww 来来往往
llww 里里外外
llwy 来文
llx 霖
llx/ 路线
llxe 另行
llxf 来信
llxj 零下
llxk 来袭
llxq 另选
llxs 零星
llxt 露馅
llxw 来向
llxx 啉
llxx 霖
llxz 联络小组
llyb ^露营
llyb 另一边
llyc 来源
llyf 另一方
llyg 来由
llyg 另一个
llyj 雷雨
llyk 另有
llyp 另议
llyq 零用钱
llys 路易斯
llyt 零用
llyx 另一些
llyy 来意
llyy 来源于
llyz 另一
llzd 理论指导
llzf 来做
llzh 露珠
llzh 利令智昏
llzi 来着
llzj 来者
llzm 历历在目
llzm 路障
llzm 路子
llzu 另找
llzw 来自
llzy 雷阵雨
llzz 林林总总
lm 陆
lm 了
lmbd 了不得
lmbj 连绵不绝
lmbq 了不起
lmd; 辽东
lmde 了得
lmdi 了断
lmdk 罗曼蒂克
lmdt 隆冬
lmdv 陆地
lmgj 另谋高就
lmhc 辽河
lmhg 陆
lmhk 陆海空
lmj 陋
lmj, 陋
lmj/ 了结
lmjd 了解到
lmjp 陆军
lmjs 龙马精神
lmjt 了解
lmk 陇
lmk, 陇
lmku 辽阔
lmll 陆路
lmlm 了了
lmlm 隆隆
lmls 降落伞
lmmb 陵墓
lmnj 陇南
lmno 辽宁
lmny 罗马尼亚
lmp 辽
