k 可
khlg 开罗
khlk 开裂
khll 开路
khll 开来
khlp 开朗
khly 开立
khlz 狂轰滥炸
khmb 开幕
khmc 开幕词
khmh 开门红
khms 开幕式
khms 开明
khmu 开门
khpe 开盘
khpi 开炮
khpj 开票
khpn 开辟
khpq 开篇
khpu 开拍
khqh 开球
khqo 开窍
khqp 开启
khqx 开枪
khs 刊
khs, 开始
khs; 琨
khsg 开水
khsg 开山
khso 开赛
khsp 开设
khss 开始时
khsu 亏损
khsy 开市
khsz 开始在
kht. 开通
khtd 开脱
khto 开头
khtu 开拓
khtx 开拓型
khty 开庭
khtz 开拓者
khw 开
khwe 开往
khwg 开胃
khwq 刊物
khwt 开外
khwu 开挖
khwx 开玩笑
khxc 开小差
khxo 开学
khxp 开心
khxs 亏心事
khxw 开向
khxz 开销
khyc 开源
khyg 开眼
khyh 开户银行
khyh 开元
khys 开业
khyt 刊用
khyy 开颜
khz 珂
khza 开战
khze 开征
khzi 开着
khzj 开支
khzl 珂
khzn 开展
khzn 开张
khzs 开凿
khzv 开走
ki 烤
kijk 烤
kit 夔
kito 炕头
kitv 夔
kixq 烤箱
kiy 炕
kiyg 烤鸭
kiyi 烤烟
kiyt 糠
kiyt 炕
kj 款
kj, 勘
kj; 考
kj;r 戡
kjar 酷爱
kjbo 恐怖
kjbz 扩军备战
kjcc 勘测
kjcd 考察队
kjcg 科技成果
kjco 考察
kjco 勘察
kjct 考察团
kjcv 考场
kjcx 勘查
kjcx 考查
kjcy 科技产业
kjda 考点
kjde 款待
kjdo 勘定
kjdw 科技队伍
kjfd 克服
kjfg 克己奉公
kjfr 考分
kjfs 快捷方式
kjfw 科技服务
kjfz 科技发展
kjg 聩
kjg/ 考纲
kjgc 扩建工程
kjgg 科技攻关
kjgj 考古
kjgj 聩
kjgl 苦尽甘来
kjgo 考官
kjgz 科技工作
kjhd 科技活动
kjhl 恐吓
kjho 恐慌
kjhs 会计核算
kjhx 考核
kjj/ 考绩
kjjb 科技进步
kjjd 空军基地
kjjg 恐惧感
kjji 考卷
kjjl 科技交流
kjjn 克己
kjjo 恐惧
kjjo 考究
kjju 考据
kjjx 酷极
kjjy 科技教育
kjk 髡
kjkb 髡
kjkf 科技开发
kjkj 款款
kjku 克扣
kjkx 空间科学
kjl 克
kjla 考虑
kjld 考虑到
kjlk 恐龙
kjlm 克隆
kjlp 克朗
kjlt 克
kjlu 克拉
kjlu 考拉
kjly 科技领域
kjp 恐
kjpo 恐怕
kjpo 恐
kjpp 考评
kjps 恐怕是
kjq 酷
kjqa 酷
kjqi 考前
kjqj 考勤
kjqj 考取
kjqj 克期
kjqz 考区
kjrc 科技人才
kjrr 考入
kjrs 克日
kjru 酷热
kjry 科技人员
kjs 醌
kjs; 醌
kjsa 考上
kjsc 科技市场
kjsf 酷似
kjsp 考试
kjsq 考生
kjss 酷暑
kjsz 款式
kjt 壳
kjtf 款
kjtg 科技推广
kjts 考题
kjtu 勘探
kjtz 科技体制
kjwb 勘误表
kjwo 考完
kjwp 勘误
kjwq 款物
kjxg 科教兴国
kjxh 酷刑
kjxj 款项
kjxk 酷夏
kjxn 科技兴农
kjxs 克星
kjy/ 考验
kjyb 可见一斑
kjyk 考研
kjyr 款爷
kjyy 开卷有益
kjzd 会计制度
kjzm 壳子
kjzp 考证
kjzq 克制
kjzs 恪尽职守
kjzs 苛捐杂税
kjzx 科技战线
kk 矿
kkaq 苦苦哀求
kkbz 可靠保证
kkca 砍柴
kkcb 矿藏
kkcp 矿产品
kkcy 矿产
kkcy 矿床
kkd, 砍刀
kkdk 夸大
kkdu 砍掉
kket 侃侃而谈
kkff 砍伐
kkg 盔
kkgj 矿工
kkgs 盔
kkh 夸
kkhb 夸
kkja 慷慨激昂
kkjg 盔甲
kkjh 矿井
kkjn 慷慨解囊
kkjy 夸奖
kkkl 可口可乐
kkkl 夸口
kkll 快快乐乐
kkpk 磕碰
kkpp 磕磕碰碰
kkpx 苦口婆心
kkqq 客客气气
kkqs 矿泉水
kkqt 夸夸其谈
kkqv 砍去
kkqw 矿泉
kkqz 矿区
kkry 空空如也
kks 刳
kksg 矿山
kksk 矿石
kkss 口口声声
kksx 砍树
kkt 砍
kktf 矿体
kktf 砍
kkto 磕头
kktt 哭哭啼啼
kkv 奎
kkv. 磕
kkvv 奎
kkw 夼
kkwj 矿务局
kkwp 空口无凭
kkwq 矿物
kkwt 矿务
kkww 坑坑洼洼
kkwx 夼
kkwz 矿物质
kkxx 开开心心
kkyc 矿
kkyf 夸耀
kkyj 开阔眼界
kkys 矿业
kkzn 夸张
kkzq 夸赞
kl 口
kl, 咖
kl,l 咖
kla 啃
klaa 啃
klag 口岸
klaj 咔
klba 跨步
klbk 口碑
klbm 跨部门
klbw 口鼻
klbz 考虑不周
klca 口齿
klcj 口才
klck 口唇
klcl 口吃
klcl 喀嚓
klcm 跨出
klde 哭得
kldf 口袋
kldl 咔嗒
kldq 跨地区
kldy 跨度
klf 哙
klfd 口服
klfg 咖啡馆
klfh 哙
klfl 咖啡
klfp 口福
klfs 咖啡色
klft 咖啡厅
klfw 咖啡屋
klfy 咖啡因
klfy 口服液
klg 喟
klgf 口供
klgg 跨国
klgh 口干
klgj 跨过
klgj 喟
klgk 口感
klh 哐
klh/ 口红
klhc 跨海
klhj 哐
klhl 口号
klhl 哭喊
klhy 跨行业
klje 口径
kljh 跨进
kljl 哭叫
kljp 口诀
kljt 口角
kljv 跨境
klk 哭
klkc 口渴
klko 哭
klkv 喹
klky 跨
klld 科罗拉多
kllf 口令
kllg 口里
klli 口粮
kllx 跨栏
klm 叩
klmg 克里姆林宫
klmy 克拉玛依
klnd 跨年度
klng 口内
klnu 哭闹
klo 喀
klo, 喀
klqc 哭泣
klqd 口腔
klqh 口琴
klqq 口气
klqy 跨区域
klqz 跨区
klrr 跨入
klsd 跨省
klsf 喀什
klsg 口水
klsj 哭声
klsj 口述
klsj 跨世纪
klsl 咳嗽
klsl 口哨
klso 口实
klsp 哭诉
klsp 口试
klsq 口舌
klst 喀斯特
klsu 口授
klt 咯
klto 口头
kltv 咯
klty 口蹄疫
klv 嗑
klv. 嗑
klvv 跬
klwl 口味
klwl 口吻
klws 颗粒无收
klxf 口信
klxh 口型
klxj 跨下
klxk 跨学科
klxn 口弦
klxt 口香糖
kly 咳
kly, 咳
klyp 口语
klyp 口译
klyt 吭
klyv 跨越
klyy 口音
klz 呵
klzg 口罩
klzg 口中
klzi 哭着
klzl 呵
klzm 口子
km 孔
kmb 孔
kmdc 孔洞
kmdi 孔道
kmfc 枯木逢春
kmfj 口蜜腹剑
kmfx 孔方兄
kmfy 孔府
kmfz 孔夫子
kmgp 坑蒙拐骗
kmjb 快马加鞭
kmje 孔径
kmjs 开门见山
kmmy 孔庙
kmqd 孔雀
kmw 隗
kmwn 隗
kmxm 孔隙
kmzm 孔子
kn 恳
kncc 困难重重
knfs 可能发生
knhb 垦荒
knpo 恳
knq; 恳切
knqj 恳求
knqp 恳请
knt 尻
kntp 恳谈
knv 垦
ko 快
kob 宽
koba 快步
kobd 空白点
kobg 宽
kobk 快不快
kobp 快被
kobu 快报
kobw 空白
koc; 客车
koca 快餐
kocc 窥测
koce 客船
kocf 宽敞
kocg 客串
kocj 空城计
kocv 客场
kod. 愧对
kod; 快到
koda 快点
kodc 空洞
kodd 空荡荡
kodd 空对地
kodd 快得多
kode 快得
kodi 快递
kodj 宽带
kodk 宽大
kodm 客队
kodv 空地
kodx 空档
kody 客店
kody 宽度
koet 空儿
kofc 空泛
kofd 客服
kofd 空腹
kofm 空防
kofp 客房
kofy 空方
kog 窠
kog. 客观
kogg 恺
kogh 悝
kogh 窠
kogj 空格键
kogj 愦
kogk 快感
kogo 客官
kogs 客观上
kogx 空格
kogx 悃
kogy 宽广
koh 寇
kohc 快活
kohf 客货
kohk 宽厚
kohl 空喊
koho 宽宏
kohp 客户
kohr 窥
koht 寇
koj 空
koj, 空姐
kojb 空降兵
kojg 窥见
kojj 快捷键
kojm 空降
kojo 客家
kojp 空军
koju 空间
koju 快捷
kojx 客机
kojy 愧疚
kojz 空间站
kojz 空
koko 慷慨
koko 空空
kokq 快看
koks 空旷
koku 宽阔
kol; 客轮
kolc 客流
koll 客流量
koln 空灵
kolo 窟窿
kolt 快乐
kom/ 快马
komc 客满
komo 快慢
komu 快门
kon 慨
kon. 空难
kon; 慨
konr 快
kont 窟
kope 空盘
kopj 客票
kopl 快跑
koq 喾
koq; 忾
koqa 喾
koqi 空前
koqj 空勤
koqq 客气
koqq 空气
koqq 空缺
koqv 快去
korf 客人
koro 宽容
kos, 宽恕
kosj 快速
koso 恪守
kosp 窥视
kosq 空手
kost 愧色
kosu 恺撒
kosx 宽松
kosy 客商
kot 客
kote 快艇
kotf 客体
kotk 客厅
kotk 客套
koto 空头
kotp 空调
kotp 空谈
kotu 窥探
kotu 空投
kotv 恪
kotv 客
kow 愧
kowf 空位
kown 宽慰
kown 快慰
kown 愧
koxa 空虚
koxf 快信
koxk 空袭
koxm 空隙
koxm 宽限
koxo 空穴
koxp 空心
koxp 快讯
koxu 空闲
koxx 空想
koxz 空心砖
koy 慷
koyc 客源
koyf 空余
koyh 客运
koyh 空运
koyh 快于
koyj 快要
koyl 客运量
koyp 宽裕
koyt 慷
koyv 空域
koyy 快意
koz; 空转
koza 空战
kozg 空中
kozi 空着
kozj 空载
kozl 快嘴
kozm 空子
kozo 宽窄
kozv 快走
kozx 客栈
kp 课
kpbh 课表
kpbj 课本
kpcp 裤衩
kpcq 课程
kpdf 裤袋
kpdj 裤带
kpdw 裤兜
kpgh 课
kpgn 课改
kph 诓
kphe 课后
kphj 诓
kpjc 课间操
kpjd 裤脚
kpjf 课件
kpju 课间
kpmg 课目
kpn 裉
kpn; 裉
kpng 课内
kpqi 课前
kpsq 课税
kpss 课时
kpt 诳
kptd 裤腿
kptf 课堂
kpto 裤头
kptq 诳
kpts 课题
kptz 课题组
kpwt 课外
kpwy 课文
kpy 裤
kpyd 裤腰
kpyf 课余
kpyq 裤
kpys 课业
kpza 课桌
kpzm 裤子
kq 看
kqa 靠
kqag 靠岸
kqah 靠
kqb, 靠边
kqba 靠背
kqbc 看不出
kqbd 看不到
kqbg 看不惯
kqbh 科班
kqbj 看不见
kqbp 看扁
kqbq 看不起
kqbs 看不上
kqbu 看报
kqby 看病
kqbz 靠不住
kqbz 靠边站
kqck 看成
kqcl 看出来
kqcm 看出
kqco 看穿
kqcz 看错
kqd; 看到
kqda 看点
kqdc 看得出
kqde 看待
kqdj 看得见
kqdk 科大
kqdo 看懂
kqdq 看得起
kqdz 靠得住
kqfc 看法
kqg 稞
kqgh 看
kqgh 稞
kqgj 看过
kqgj 篑
kqgq 看管
kqh 筐
kqh, 看好
kqh/ 科幻
kqhe 看后
kqhj 筐
kqhu 看护
kqj 氪
kqj/ 科级
kqjb 科技部
kqje 靠近
kqjg 看见
kqjh 空前绝后
kqjj 科教
kqjl 氪
kqjo 科举
kqjp 科教片
kqjs 科技司
kqju 科技
kqjy 科技园
kqkd 可圈可点
kqkj 可亲可敬
kqkj 克勤克俭
kqko 看客
kqkq 看看
kqlb 犒劳
kqll 看来
kqls 看来是
kqlu 靠拢
kqmg 科目
kqmu 看门
kqo 科
kqo, 箜
kqog 筷
kqoj 科
kqp 适
kqpi 科普
kqpk 看破
kqpv 适
kqqc 看清
kqqh 看球
kqqi 靠前
kqql 看起来
kqqv 看去
kqqy 看齐
kqs/ 看书
kqsa 看上
kqsf 看似
kqsg 靠山
kqso 科室
kqso 看守
kqsp 看谁
kqsq 看上去
kqss 看守所
kqt. 看台
kqtg 看图
kqto 看头
kqtq 看透
kqu 筘
kqul 筘
kqwo 看完
kqwq 科委
kqwr 空气污染
kqwt 科威特
kqwy 看望
kqx. 看戏
kqxh 科学化
kqxj 科学家
kqxo 科学
kqxx 科学性
kqxy 科学院
kqy 犒
kqyb 科研部
kqyk 科研
kqyl 科员
kqyl 犒
kqys 科研所
kqyu 看押
kqyx 看一下
kqyz 看样子
kqzc 看涨
kqzd 考勤制度
kqzf 看作
kqzg 看中
kqzi 看着
kqzk 看在
kqzm 筷子
kqzq 看重
kqzq 科长
kqzy 看准
krbd 岿然不动
krcj 旷日持久
krcs 溘然长逝
krjg 抗日救国
krky 快人快语
krxh 口若悬河
krxx 扣人心弦
krzz 抗日战争
ks 昆
ks. 暌
ks.e 暌
ks;t 昆
kscg 昆虫
kscj 考试成绩
kscs 靠山吃山
ksdh 可视电话
kseg 空手而归
ksfy 快速反应
ksfz 快速发展
ksgj 旷工
kskp 旷课
kslf 昆仑
ksls 昆仑山
ksms 昆明
ksmx 苦思冥想
ksqg 昆曲
kssg 昆山
kssj 旷世
kssx 开始实行
kssy 开始使用
kswp 口说无凭
ksxf 口是心非
ksy 旷
ksyc 旷
ksyd 困兽犹斗
ksyg 旷野
kszl 哭丧着脸
kszz 快速增长
kt 狂
ktbk 狂奔
ktbk 狂飙
ktcc 狂潮
ktcx 开拓创新
ktf 狯
ktfh 狯
ktfl 狂吠
ktft 狂风
ktg 馈
ktgj 馈
kth. 狂欢
ktha 狂
kti 馗
ktik 馗
ktjl 狂叫
ktjs 开拓精神
ktjx 课堂教学
ktlc 狂澜
ktlq 狂乱
ktpd 开天辟地
ktqb 狂犬病
ktqk 狂犬
ktrf 狂人
ktru 狂热
kts 鲲
kts; 鲲
ktwy 狂妄
ktx/ 馈线
ktxj 狂喜
ktxq 狂笑
ktyg 狂野
ktzg 馈赠
ktzl 狂躁
ktzp 空头支票
ku 抗
ku. 揆
ku.e 揆
ku; 揩
ku;t 揩
kuay 抗癌
kub/ 捆绑
kub/ 扩编
kuba 阔步
kubg 拷贝
kubl 阔别
kubt 挎包
kuby 抗病
kuc 阔
kuc/ 阔绰
kucm 扣除
kucq 阔
kucy 扩充
kudd 扩大到
kudh 扩大会
kudk 扩大
kudq 抗敌
kudu 拷打
kudu 扣掉
kuf, 扣发
kufc 抗法
kufr 扣分
kug 捆
kugd 控股
kugq 控告
kugr 抗干扰
kugx 阃
kugx 捆
kuhc 抗洪
kuhe 抗衡
kuhl 括号
kuhn 括弧
kuho 抗寒
kuhs 抗旱
kuj 扛
kuj/ 扣缴
kujb 抗菌
kujf 控件
kujh 抗击
kujk 拷
kujn 扩建
kujp 扩军
kujs 抗菌素
kuju 抗拒
kujz 扛
kuk 抠
kukj 扣款
kukp 抠
kuky 挎
kul 扣
kulf 阔佬
kulq 扣篮
kult 扣留
kumu 抠门
kun 阚
kuns 阚
kunx 抗逆性
kuo 控
kuo, 控
kuq 括
kuqh 控球
kuqh 扣球
kuqq 阔气
kuqv 扣去
kuqx 括
kuro 扩容
kurs 抗日
kusa 扣上
kusj 扩散
kusp 控诉
kusp 抗诉
kusq 抗税
kusr 扣杀
kuss 抗生素
kuss 阔叶树
kutf 抗体
kutg 抠图
kuwu 拷问
kuy 扩
kuyc 扩
kuye 抗御
kuyj 扩音机
kuyk 扣压
kuyp 抗议
kuyt 闶
kuyt 抗
kuyu 扣押
kuyx 抗药性
kuza 抗战
kuzc 扩展槽
kuzf 扣住
kuzi 扣着
kuzj 控制键
kuzk 扣在
kuzl 抗震
kuzm 扣子
kuzn 扩展
kuzn 扩张
kuzo 抗灾
kuzq 控制
kuzs 控制室
kuzt 抗争
kuzt 控制台
kuzu 捆扎
kuzx 控制线
kuzz 控制在
kv 块
kvcq 堪称
kvdi 坑道
kvdu 垮掉
kvg 坤
kvgg 垲
kvgh 坤
kvho 坑害
kvj 堪
kvja 堪
kvjb 块茎
kvk 垮
kvkl 坑口
kvkv 坎坷
kvky 垮
kvn 堀
kvnr 块
kvnt 堀
kvp 逵
kvp/ 坑骗
kvpl 堪培拉
kvpv 逵
kvrf 坑人
kvt 坎
kvt. 垮台
kvtf 坎
kvy 坑
kvyc 圹
kvyo 堪忧
kvyt 坑
kvz 坷
kvzl 坷
kvzy 块状
kw 魁
kwbj 可望不可及
kwbk 魁北克
kwdw 课外读物
kwej 可望而不可及
kwhd 课外活动
kwoj 魁
kwwf 魁伟
kwwx 魁梧
kwyd 课外阅读
kwyr 空无一人
kwzd 狂妄自大
kwzl 口无遮拦
kx 棵
kx; 楷
kx;t 楷
kxbd 哭笑不得
kxcb 枯草
kxdk 柯达
kxez 可想而知
kxff 科学方法
kxfx 科学分析
kxfz 科学发展
kxgh 棵
kxgl 科学管理
kxgx 枯槁
kxgy 苦心孤诣
kxh 框
kxhj 枯黄
kxhj 框
kxj 枯
kxj, 框架
kxjk 栲
kxjl 枯
kxjs 科学技术
kxjy 枯竭
kxkc 科学考察
kxkx 框框
kxlf 空穴来风
kxll 科学理论
kxmx 楷模
kxpj 科学普及
kxq 栝
kxqx 栝
kxs 槛
kxs/ 楷书
kxsg 枯水
kxsk 枯死
kxsq 槛
kxsx 枯树
kxsy 科学事业
kxsy 枯瘦
kxtd 科学态度
kxtf 楷体
kxtg 框图
kxwb 枯萎
kxwh 科学文化
kxyj 科学研究
kxyq 科学仪器
kxz 柯
kxzi 枯燥
kxzl 柯
kxzm 框子
kxzs 科学知识
kxzx 枯枝
ky 库
ky;j 库
kybb 刻薄
kybm 康巴
kybx 刻板
kycb 库藏
kycg 科研成果
kyck 库存
kycm 刻出
kydl 开业典礼
kydw 科研单位
kydy 刻度
kyel 库尔勒
kyeq 可遇而不可求
kyfk 亢奋
kyfp 库房
kyfq 康复
kygg 刻骨
kygj 刻工
kygz 科研工作
kyhy 刻痕
kyhz 刻画
kyjd 宽衣解带
kyjf 科研经费
kyjg 科研机构
kyjh 亢进
kyjj 可以解决
kyjl 开源节流
kyk 颏
kykb 刻苦
kykc 可以看出
kykd 可以看到
kykg 颏
kykt 科研课题
kykw 可有可无
kyl 况
kylf 库仑
kylj 刻录机
kyln 刻录
kylt 康乐
kylt 况
kym 邝
kyn 康
kynj 康
kynx 康乃馨
kyqd 抗压强度
kyqg 况且
kyqz 库区
kyro 库容
kyry 科研人员
kys 刻
kysa 刻上
kyss 可以说是
kyt 亢
kytg 可以通过
kyv 堃
kyxj 康熙
kyxm 科研项目
kyxz 可以选择
kyy 廓
kyyk 刻有
kyyl 廓
kyys 科研院所
kyyt 刻印
kyyy 刻意
kyz 疴
kyzl 疴
kyzo 刻字
kyzx 可移植性
kz 匡
kz; 锴
kz;t 锴
kzar 可爱
kzau 可按
kzb; 可比
kzba 可悲
kzbf 口诛笔伐
kzbk 可不
kzbl 可鄙
kzbp 可被
kzbs 可不是
kzbx 可比性
kzby 可变
kzcj 可耻
kzcm 可出
kzcx 可持续
kzdd 康庄大道
kzde 可得
kzdk 可达
kzdx 可读性
kzfk 可否
kzfr 匮乏
kzfs 开闸放水
kzfw 可分为
kzg 铠
kzg. 可观
kzgc 控制工程
kzgf 可供
kzgg 可贵
kzgg 铠
kzgh 锞
kzgj 匮
kzgz 开展工作
kzha 匡
kzho 可恨
kzj 铐
kzjb 可敬
kzjd 可见度
kzjg 可见
kzjg 铠甲
kzjk 铐
kzkl 可口
kzkq 可靠
kzku 可控
kzkx 可靠性
kzkz 可可
kzl 可
kzlc 可怜虫
kzlg 空中楼阁
kzlo 可怜
kzlt 可乐
kzly 可利用
kzmb 控制面板
kzml 开足马力
kzmy 开宗明义
kzn. 可能
kznh 可能会
kzni 可逆
kzns 可能是
kznx 可能性
kzny 可能要
kznz 可能在
kzpo 可怕
kzqj 可取
kzqj 刻舟求剑
kzqq 可气
kzqy 可亲
kzqz 铿锵
kzri 可燃
kzrk 脍炙人口
kzrp 可让
kzrx 可燃性
kzrx 可溶性
kzs 铿
kzs. 铿
kzs; 锟
kzsf 可使
kzsn 可是那
kzsp 可视
kzsq 匡算
kzss 可是
kzsx 可塑性
kztg 可通过
kztl 可叹
kzu 锎
kzun 锎
kzwi 可为
kzwj 可恶
kzwp 可谓
kzww 枯燥无味
kzwy 可望
kzxe 可行
kzxf 可信
kzxj 可喜
kzxo 可惜
kzxq 可笑
kzxt 控制系统
kzxx 可行性
kzy 钪
kzy. 可以
kzyb 可以把
kzyg 可由
kzyj 可以将
kzyr 可以让
kzys 可以说
kzyt 可疑
kzyt 钪
kzyw 可以为
kzyy 可言
kzyz 可以在
kzz 钶
kzzj 匡正
kzzl 钶
kzzo 可憎
kzzq 可知
