f 分
falp 非礼
fam 酆
fan. 非难
farf 非人
fart 斐然
fatg 非同
fay 斐
fayj 非要
faym 非也
fayp 非议
fayr 斐
fazc 非洲
fazr 非洲人
fazs 非正式
fb 范
fba 菲
fbah 菲
fbbb 菲薄
fbbj 范本
fbc 藩
fbc/ 范
fbcb 芳草
fbcg 范畴
fbcr 藩
fbd 菔
fbdm 菔
fbf 苻
fbfb 芬芳
fbfj 苻
fbfk 茯
fbfz 腐败分子
fbgs 奋不顾身
fbh 芙
fbhr 芙
fbj 芾
fbjm 芾
fbla 芳龄
fblb 菲律宾
fblf 范例
fbli 芬兰
fblx 分崩离析
fbmt 芳名
fbq 蘩
fbq/ 蘩
fbqb 蕃茄
fbr 芬
fbr, 芬
fbrb 芙蓉
fbri 莩
fbrq 蕃
fbsd 腹背受敌
fbsf 防不胜防
fbsm 发表声明
fbsn 藩属
fbth 发表谈话
fbv 葑
fbvv 葑
fbwg 范围
fbwn 范围内
fbws 反败为胜
fbwy 范文
fbwz 发表文章
fbxp 芳心
fbxq 芳香
fby 芳
fby, 芳
fbyj 发表意见
fbzm 方便之门
fc 法
fcao 法案
fcb, 法办
fcbo 法宝
fcbw 泛白
fccc 浮沉
fccd 风吹草动
fccm 浮出
fccv 法场
fcd 淝
fcda 沸点
fcda 浮点
fcdc 风驰电掣
fcdg 法典
fcdh 浮动
fcdm 淝
fcdo 法定
fcdt 浮雕
fcfc 泛泛
fcgg 法国
fcgh 法规
fcgo 法官
fcgr 法国人
fcgx 非常感谢
fcgx 非常高兴
fch 沣
fchf 法会
fchj 沣
fchl 法号
fci 瀵
fcij 瀵
fcj/ 法纪
fcjb 非此即彼
fcjc 汾酒
fcjo 法家
fcjp 法军
fckf 浮夸风
fckk 浮夸
fcl, 浮力
fcl; 法轮
fclc 泛滥
fclc 浮粱
fcle 法律
fclf 法令
fclg 法轮功
fclh 法理
fcli 法兰
fclj 法老
fcll 法拉利
fclm 涪陵
fclp 法郎
fcls 风餐露宿
fclx 法兰西
fcmt 法名
fcmu 法门
fcmy 法盲
fcn 沸
fcn, 沸
fcpp 风尘仆仆
fcqc 浮浅
fcql 法器
fcqv 泛起
fcqx 浮桥
fcqx 法权
fcr 泛
fcr, 汾
fcr. 泛
fcrf 法人
fcri 浮
fcrr 滏
fcsd 法师
fcsg 沸水
fcsj 法术
fctd 沸腾
fctv 浮土
fcty 法庭
fcv. 法
fcwg 法网
fcwh 法王
fcwy 法文
fcxh 浮现
fcxj 反唇相讥
fcxo 法学
fcxq 浮选
fcxs 法西斯
fcxt 法系
fcxy 法学院
fcxz 浮现在
fcy 涪
fcyc 浮游
fcyd 风吹雨打
fcyh 浮云
fcyi 涪
fcym 法院
fcyp 法语
fcyy 妇产医院
fcyz 法医
fczc 法治
fczd 浮肿
fczg 法则
fczh 法制化
fczi 泛着
fczk 浮在
fczl 浮躁
fczm 法子
fczq 法制
fczu 泛指
fczx 逢场作戏
fczy 非常重要
fd 服
fda 腓
fdah 腓
fday 肺癌
fdbd 肥膘
fdbj 放荡不羁
fdbx 奋斗不息
fdby 肺病
fdby 腹部
fdcf 服从
fdcx 釜底抽薪
fdcy 房地产业
fddh 服毒
fddk 肥大
fddq 发达地区
fddr 法定代表人
fddv 腹地
fddx 复旦大学
fdfd 肺腑
fdgj 发达国家
fdgq 腹稿
fdgz 负担过重
fdh 肤
fdhk 肥厚
fdhl 肺活量
fdhr 肤
fdj 肺
fdjh 肺结核
fdjm 肺
fdjn 脯
fdl, 肥力
fdli 肥料
fdm 肥
fdm. 服
fdm; 肥
fdmb 奋斗目标
fdmi 肥美
fdmk 腹面
fdnl 发电能力
fdpc 肺泡
fdpd 肥胖
fdpp 风度翩翩
fdpz 肥胖症
fdq 腹
fdqc 肤浅
fdqd 腹腔
fdqq 服气
fdqs 腹
fdrg 肥肉
fds; 服输
fdsf 服侍
fdsg 肥水
fdsl 反动势力
fdst 肤色
fdst 服饰
fdsy 肥瘦
fdtg 肥田
fdty 腹痛
fdwb 服务部
fdwc 肥沃
fdwf 服务费
fdwq 服务器
fdws 服务社
fdws 服务商
fdwt 服务
fdww 服务网
fdwx 服务性
fdwy 服务员
fdwy 服务业
fdwz 服务站
fdxc 腹泻
fdxh 服刑
fdxj 服下
fdxp 腹心
fdxx 非典型性
fdxy 肥效
fdy 肪
fdy, 肪
fdyb 分道扬镳
fdyb 服药
fdyc 腑
fdye 服役
fdyi 肺炎
fdyq 服役期
fdyt 服用
fdzc 服装厂
fdzd 肺脏
fdzg 腹中
fdzg 服罪
fdzj 服装界
fdzt 肥猪
fdzw 肥皂
fdzy 服装
fe 反
fe. 反
feb/ 反驳
feb; 反比
febl 反比例
fecf 反常
feci 反差
fecp 反衬
fect 反刍
fecv 反超
fecx 反查
fed. 反对
fedd 反对党
fedf 反倒
fedf 反党
fedh 反动
fedp 反调
fedp 反对派
fedp 反动派
fedy 反帝
fedz 反对者
feek 反而
fefb 反腐败
fefj 反封建
fefq 反复
fefy 反腐
feg. 反观
fegf 反光
fegj 反攻
fegk 反感
fegl 反过来
fegm 反革命
fehe 返航
fehf 反华
fehg 返回
fehk 返还
feho 反悔
fehp 反话
fehs 反函数
fejh 反击
fekb 反恐怖
fekj 反恐
fekt 反馈
feku 反抗
femg 反目
femi 反美
femk 反面
feml 福尔马林
fep 返
feph 飞蛾扑火
fepi 反叛
fepj 返聘
fepu 反扑
fepv 返
feqc 反潜
feqh 返青
feqx 反倾销
fers 反日
fesg 反思
fesl 反射率
fesp 反诉
fesq 反手
fesw 反射
fesx 反射线
fesz 反锁
fetf 反贪
fetj 反贪局
fetw 反贪污
fewu 反问
fex/ 返乡
fexd 反省
fexf 返修
fexl 反响
fexw 反向
fexx 返校
fexz 返销
fey 舫
fey, 彷
fey, 舫
feyc 反义词
feyd 反映的
feyq 反应器
feys 反映
feyy 反应
fez; 反转
feza 反战
fezf 反政府
fezj 反正
fezp 反之
fezy 反作用
ff 份
ff; 伐
ff;r 伐
ffao 伏案
ffbb 缝缝补补
ffbp 愤愤不平
ffbq 伏笔
ffbw 伏兵
ffcb 非法出版
ffcl 反腐倡廉
ffcm 付出
ffcy 俯冲
ffcz 非法操作
ffdc 丰富多彩
ffdd 疯疯癫癫
ffdg 佛典
ffdk 发放贷款
ffdn 佛殿
ffdv 伏地
ffej 伏尔加
ffeo 份额
ffet 泛泛而谈
fffc 佛法
ffff 仿佛
fffn 付费
fffy 付方
ffg/ 付给
ffgj 仿古
ffh 俸
ffha 伏虎
ffhb 俘获
ffhd 非法活动
ffhh 风风火火
ffhk 俸
ffhl 佛号
ffhq 夫复何求
ffj 付
ffj/ 佛经
ffjb 偾
ffjh 伏击
ffjj 佛教
ffjn 傅
ffjo 佛家
ffjt 佛教徒
ffjv 付
ffjy 非法经营
ffk 伏
ffkg 俯瞰
ffkj 付款
ffko 伏
ffla 俘虏
fflm 纷纷落马
ffmm 方方面面
ffmu 佛门
ffmx 伐木
ffn 佛
ffn, 佛
ffqc 付清
ffqz 付钱
ffr 俘
ffr, 份
ffri 俘
ffsd 非法所得
ffsg 佛山
ffsi 俯首
ffsj 佛事
ffso 仿宋
ffsp 俯视
ffsq 仿生
ffsr 非法收入
ffst 仿宋体
ffsv 佛寺
ffsw 俯身
ffsx 仿生学
ffsz 凡夫俗子
ffth 伏天
fftm 佛陀
fftq 奋发图强
fftq 伏特
fftt 服服帖帖
fftv 佛塔
ffv 垡
ffwc 反复无常
ffwj 俯卧
ffxf 佛像
ffxi 伏羲
ffxj 俯下
ffxo 佛学
ffxs 奋发向上
ffxw 付息
ffxy 仿效
ffy 仿
ffy, 仿
ffyc 俯
ffyj 反复研究
ffyt 付印
ffyy 沸沸扬扬
ffzg 付账
ffzh 佛珠
ffzj 仿真
ffzp 佛祖
ffzp 付诸
ffzq 仿造
ffzq 仿制
ffzs 仿照
ffzy 肺腑之言
ffzz 非法组织
fg 峰
fgbk 帆布
fgby 富贵不能淫
fgce 帆船
fgch 赋春
fgda 贩毒案
fgdh 贩毒
fgdj 峰顶
fgdy 幅度
fge 贩
fge. 畈
fge. 贩
fgfp 蜂房
fgfz 分工负责
fgh 赋
fgha 赋
fghf 峰会
fghr 蚨
fgj 赙
fgjf 罚金
fgjn 赙
fgk 罘
fgkf 罘
fgkj 罚款
fglg 蜂蜡
fgls 反过来说
fgly 峰峦
fgmc 罚没
fgmj 贩卖
fgmk 幅面
fgmo 蜂蜜
fgnt 蜂鸟
fgp 罚
fgps 罚
fgq 蝮
fgqh 罚球
fgqn 蜂群
fgqs 蝮
fgr 幡
fgri 蜉
fgrq 幡
fgs 幞
fgsf 奉公守法
fgsi 幞
fgsp 赋诗
fgsq 赋税
fgsq 贩私
fgt 帆
fgtv 帆
fgty 蜂
fgty 峰
fgwh 蜂王
fgwj 丰功伟绩
fgwo 蜂窝
fgxc 罚下场
fgxq 蜂箱
fgxu 赋闲
fgxw 罚息
fgxz 分工协作
fgy. 赋予
fgyc 蜂涌
fgyh 贩运
fgyl 幅员
fgyn 风光旖旎
fgyu 蜂拥
fgz 幅
fgzf 峰值
fgzf 赋值
fgzl 蝠
fgzl 幅
fgzm 贩子
fgzy 罚站
fh 夫
fhbk 丰碑
fhcl 复合材料
fhcm 奉承
fhcr 丰采
fhcy 丰产
fhdl 腐化堕落
fhf, 夫妇
fhfo 丰富
fhgj 丰功
fhgq 奉告
fhgs 放虎归山
fhh 奉
fhhf 奉化
fhhk 丰厚
fhhk 奉还
fhhr 麸
fhhx 奉
fhj 丰
fhjn 夫君
fhlp 废话连篇
fhlz 峰回路转
fhmc 丰满
fhmf 奉命
fhmi 丰美
fhnq 丰年
fhpm 奉陪
fhq. 奉劝
fhq; 夫妻
fhr 玢
fhr 夫
fhr, 玢
fhrc 丰润
fhrf 夫人
fhrl 风和日丽
fhrr 丰乳
fhsi 奉送
fhsj 繁花似锦
fhsk 丰盛
fhsk 丰硕
fhsl 发号施令
fhsm 丰收
fhtd 飞黄腾达
fhtg 丰田
fhtq 丰台区
fhv 珐
fhv. 珐
fhwj 分化瓦解
fhx, 夫婿
fhxe 奉行
fhxj 奉献
fhxy 风花雪月
fhyd 丰腴
fhyr 防患于未然
fhys 发挥优势
fhzm 风华正茂
fhzy 发挥作用
fi 粉
fibf 粪便
fibq 粉笔
ficd 粉尘
ficj 粉刺
fih/ 粉红
fihf 粉盒
fihi 烽火
fihs 粉红色
fij 粪
fija 粪
fijy 粉剂
fik 烦
fikg 烦
fikv 粪坑
filq 烦乱
fimh 粉末
fimu 烦闷
fino 烦恼
fir 燔
fir, 粉
firf 烦人
firq 燔
firu 烦扰
fis/ 粉丝
fish 烦琐
fisk 粉碎
fisn 粉刷
fist 粉饰
fit 烽
fitv 粪土
fity 烽
fixp 烦心
fiyi 烽烟
fizl 烦躁
fizy 粉状
fj 覆
fjcy 风卷残云
fjdh 翻江倒海
fjed 覆
fjgi 覆盖
fjgl 覆盖率
fjgm 覆盖面
fjmc 覆没
fjml 覆灭
fjms 风景名胜
fjmx 封建迷信
fjn 甫
fjny 弗吉尼亚
fjnz 甫
fjq 敷
fjqj 酚醛
fjqr 敷
fjqz 负荆请罪
fjr 酚
fjr, 酚
fjsh 封建社会
fjsx 封建思想
fjtj 附加条件
fjtz 封建统治
fjxj 费尽心机
fjxl 风景秀丽
fjye 敷衍
fjz; 覆辙
fjzd 封建制度
fjzf 发家致富
fjzx 抚今追昔
fjzy 封建主义
fk 否
fkdg 富可敌国
fkdo 否定
fkdo 奋斗
fkf, 奋发
fkfs 付款方式
fkg 奋
fkgj 奋
fkjh 奋进
fkl 否
fkl, 奋力
fkmk 砝码
fkn 砩
fkn, 砩
fkqv 奋起
fkrp 否认
fkt 矾
fktr 砜
fktv 矾土
fktv 矾
fkv 砝
fkv. 砝
fkwz 反客为主
fky. 奋勇
fkza 奋战
fkzg 否则
fl 霏
fla 啡
flah 啡
flah 霏
flbr 翻脸不认人
flcz 泛滥成灾
fldw 法律地位
flf 咐
flfg 法律法规
flfj 跗
flfj 咐
flfl 吩咐
flfq 翻来覆去
flft 霏凡
flgd 法律规定
flgw 法律顾问
flh 呋
flhk 唪
flhr 趺
flhr 呋
flht 返老还童
flk 吠
flkf 法兰克福
flko 吠
flld 佛罗里达
flls 佛罗伦萨
fllw 法律行为
flpb 奋力拼搏
flr 吩
flr, 吩
flrq 蹯
flrw 风流人物
flsd 法律手段
flsy 福利事业
flth 富丽堂皇
fltt 风流倜傥
flwh 法律委员会
flxh 放浪形骸
flxl 法律效力
flxq 父老乡亲
flxy 扶老携幼
flyf 翻了一番
flyz 法律援助
flzc 法律制裁
flzd 法律制度
flzr 法律责任
flzs 法律知识
flzx 法律咨询
flzy 分裂主义
fm 防
fmbh 附表
fmbi 防爆
fmbl 锋芒毕露
fmbl 分门别类
fmbt 防备
fmby 防病
fmbz 分秒必争
fmcc 反目成仇
fmcc 防潮
fmcd 防尘
fmcz 发明创造
fmdc 粉墨登场
fmdh 防毒
fmdj 附带
fmdv 防地
fmdy 防盗
fmf 附
fmfb 防范
fmfj 防腐剂
fmfj 附
fmfl 防风林
fmft 防风
fmfy 防腐
fmgl 放马过来
fmhc 防洪
fmhe 附后
fmhf 附会
fmhg 防患
fmhi 防火
fmhl 防护林
fmho 防寒
fmhq 防火墙
fmhq 附和
fmhu 防护
fmj, 附加
fmjc 反面教材
fmje 附近
fmjf 附件
fmjf 附加费
fmjs 附加税
fmjz 附加值
fmkd 防空洞
fmko 防空
fmku 防控
fmlj 凤毛麟角
fmln 附录
fmnj 风马牛不相及
fmqz 防区
fmsa 附上
fmsc 防沙
fmsg 防水
fmsi 附送
fmsn 附属
fmso 防守
fmsp 附设
fmss 防晒
fmss 防暑
fmsw 防身
fmtg 附图
fmwc 防污
fmwf 防伪
fmwm 防卫
fmwt 防务
fmx/ 防线
fmxc 防汛
fmxy 防锈油
fmxz 防锈
fmy, 防
fmye 防御
fmyj 防雨
fmyk 附有
fmys 风靡一时
fmyx 负面影响
fmyy 防疫
fmyy 附言
fmyy 附庸
fmyz 防疫站
fmza 防止
fmzc 防治
fmzg 附中
fmzg 附则
fmzi 附着
fmzk 附在
fmzl 防震
fmzo 防灾
fmzu 防撞
fn 费
fn, 弗
fn,x 弗
fncv 费城
fndg 费电
fndw 妇女地位
fngf 费
fngj 逢年过节
fngj 费工
fnj. 费劲
fnjn 费尽
fnjt 费解
fnl, 费力
fnly 费率
fnqz 费钱
fnsj 费事
fnsp 费神
fnss 费时
fnt 艴
fntm 艴
fnxp 费心
fnyt 费用
fnzz 妇女组织
fo 富
foa 悱
foah 悱
foco 悱恻
fofo 愤愤
fogg 富贵
fohf 富含
foho 愤恨
fohy 富豪
foj 愤
fojb 愤
fojc 愤激
fojo 富家
fokk 富矿
foko 愤慨
foky 富康
folz 富丽
fomc 愤懑
fomn 富民
fon 怫
fon, 愤怒
fon, 怫
fonp 富农
fopc 富婆
foqh 愤青
foqn 富强
forf 富人
fort 富饶
fort 愤然
fosj 富士
foss 富士山
fosy 富商
fosy 富庶
fowr 富翁
foyf 富余
foyh 富于
foyk 富有
foyp 富裕
fozl 富足
fozl 富
fp 房
fpa 扉
fpah 诽
fpah 扉
fpbl 分配比例
fpbp 诽谤
fpbu 福报
fpcj 讽刺
fpcy 房产
fpcz 房产证
fpd; 房东
fpdc 房地产
fpdd 奉陪到底
fpde 福德
fpdf 房贷
fpdg 福鼎
fpdj 房顶
fpf 讣
fpfk 袱
fpfn 房费
fpfr 福分
fpgj 房管局
fpgn 房改
fpgq 讣告
fpgq 房管
fpgs 房管所
fpgz 返朴归真
fpgz 返璞归真
fphf 访华
fpht 访华团
fpjf 房价
fpjk 扶贫济困
fpjn 福建
fpjt 房角
fpju 房间
fpk 祓
fpk. 祓
fpkj 房款
fpko 房客
fplf 福利费
fplg 房里
fplj 风平浪静
fplq 福利
fply 福利院
fpmi 访美
fpmu 房门
fpn, 房奴
fpng 房内
fpqh 房契
fpqi 房前
fpqq 福气
fpqz 房钱
fprs 访日
fpsf 房舍
fpsh 福寿
fpso 房室
fpt 讽
fptp 访谈
fptq 福特
fptr 讽
fpwk 访贫问苦
fpwn 房屋
fpwt 访问团
fpwu 访问
fpy 访
fpy, 房
fpy, 访
fpyc 房源
fpyk 访友
fpyx 房檐
fpyy 福音
fpyz 分配原则
fpz 福
fpzd 分配制度
fpzi 福州
fpzl 福
fpzm 房子
fpzp 福祉
fpzq 房租
fpzs 福州市
fq 复
fq/ 繁
fq/u 繁
fqbn 复辟
fqcf 复仇
fqcm 复出
fqcx 复查
fqde 复得
fqdg 复电
fqdp 复读
fqds 复旦
fqdt 繁多
fqdw 粉墙黛瓦
fqdz 反其道而行之
fqf 符
fqf, 复发
fqf; 筏
fqfj 符
fqfk 分期付款
fqfp 分期分批
fqfq 繁复
fqfy 复方
fqgj 复工
fqgj 复古
fqhc 复活
fqhf 符合
fqhf 繁华
fqhf 复合
fqhl 符号
fqhm 复函
fqhx 复核
fqj 缶
fqjb 缶
fqjh 篚
fqjq 繁简
fqjt 复句
fqjy 复交
fqkh 复刊
fqkp 复课
fqmb 繁茂
fqmo 繁忙
fqn 氟
fqn, 氟
fqn. 繁难
fqq 馥
fqqs 馥
fqr 氛
fqr, 氛
fqrb 繁荣
fqri 稃
fqsb 复苏
fqsf 分清是非
fqsh 繁琐
fqsi 复数
fqsj 复述
fqsk 繁盛
fqso 复赛
fqso 复审
fqsp 复试
fqsq 复生
fqst 复
fqsz 复式
fqtf 繁体
fqtz 繁体字
fqwf 复位
fqwg 氛围
fqws 废寝忘食
fqx. 复习
fqx/ 复线
fqxf 复信
fqxo 复兴
fqxp 复写
fqxq 复选
fqxs 繁星
fqxt 复习题
fqxz 复写纸
fqye 繁衍
fqyg 复眼
fqyj 复印机
fqyj 复印件
fqyk 复原
fqyk 馥郁
fqyl 复员
fqyp 复议
fqyt 复印
fqyy 繁育
fqyy 风起云涌
fqyz 封妻荫子
fqzh 复杂化
fqzk 繁殖
fqzl 繁殖力
fqzp 复制品
fqzq 繁重
fqzq 复制
fqzs 飞禽走兽
fqzt 复杂
fqzx 复杂性
fqzz 奋起直追
fr 翻
fr, 分
fr. 乏
fr.; 翻
frao 翻案
frba 分步
frba 父辈
frbb 分别比
frbc 分泌
frbf 翻倍
frbg 分贝
frbk 分布
frbl 分别
frbl 分辨率
frbq 分不清
frbs 分别是
frbw 分泌物
frbw 翻版
frbw 分兵
frby 分辨
frby 分辩
frby 分部
frbz 分别在
frc; 翻车
frcc 翻沉
frci 翻炒
frcj 分寸
frck 分厂
frck 分成
frcl 翻唱
frcm 分出
frcn 分层
frcp 分词
frcs 繁荣昌盛
frct 分册
frcv 分场
frd; 分到
frdb 法人代表
frde 分得
frdh 翻动
frdm 分队
frdu 分担
frdw 分段
frdx 分档
frdy 分店
fre 斧
frej 斧
frf, 分发
frfp 分房
frfq 繁荣富强
frfr 翻番
frfv 分赴
frg 番
frg/ 分给
frgc 翻滚
frgf 翻供
frgj 分工
frgj 番
frgm 分隔
frgo 分割
frgq 分管
frgs 分公司
frh 釜
frh/ 分红
frhb 分获
frhc 分洪
frhe 分行
frhf 分会
frhf 分化
frhf 釜
frhl 分号
frhp 分户
frhy 分毫
frj/ 分级
frjd 分阶段
frjg 分界
frji 分卷
frjj 繁荣经济
frjn 分居
frjn 分局
frjo 分家
frjt 分解
frjx 分界线
frjz 妇孺皆知
frkh 分开
frkh 翻开
frkq 翻看
frl, 乏力
frlc 分流
frld 翻脸
frlf 翻两番
frli 分类
frlj 父老
frlk 分裂
frln 翻录
frls 分量
frly 分离
frm 郛
frm, 分娩
frm/ 父母
frm/ 分母
frmi 分米
frmq 父母亲
frmq 分秒
frms 分明
frmz 孚
frn, 父女
frng 分内
frp 忿
frpa 分频
frpc 分派
frpj 分配
frpo 忿
frpq 分配器
frpu 分批
frpu 翻拍
frqa 分歧
frqb 番茄
frqc 分清
frqj 分期
frqv 翻墙
frqy 父亲
frqz 分区
frr 父
frsg 釜山
frsi 分数
frsj 分散
frsk 翻砂
frsl 分水岭
frsm 奉若神明
frsn 分属
frsp 分设
frsq 分手
frss 发人深思
frst 分色
frsw 翻身
frsx 分数线
frsx 发人深省
frtd 翻腾
frto 斧头
frto 分头
frtu 分摊
frwi 分为
frwl 乏味
frwt 分外
frwy 分文
frxf 翻修
frxj 分析家
frxp 分心
frxs 分晓
frxw 繁荣兴旺
frxx 分析
frxy 分享
frxy 翻新
frxz 分销
fryf 翻一番
fryk 翻页
frym 分院
fryo 分忧
fryp 翻译
frys 分以上
fryt 翻印
fryu 翻阅
fryv 翻越
frz/ 分组
frz; 翻转
frzg 分赃
frzg 法人资格
frzi 翻着
frzj 分支
frzl 放任自流
frzm 分子
frzm 父子
frzp 分之
frzq 分制
frzr 妇人之仁
frzs 分子式
frzz 分钟
fs 黻
fsbh 发生变化
fscg 丰硕成果
fscx 非生产性
fshl 风声鹤唳
fsj 黼
fsjn 黼
fsjs 愤世嫉俗
fsjs 俯拾即是
fsjw 防暑降温
fsk. 黻
fssg 粉身碎骨
fssq 风生水起
fste 俯首帖耳
fstp 粉饰太平
fswg 反守为攻
fsxg 风俗习惯
fsyl 翻山越岭
fsyl 封山育林
fszl 犯上作乱
fszs 飞沙走石
ft 风
ft. 凤
ft/ 犯
fta 鲱
ftah 鲱
ftbc 风波
ftby 犯病
ftbz 犯不着
ftcb 饭菜
ftcc 风潮
ftcd 风尘
ftcl 风吹
ftcr 风采
ftcw 犯错误
ftcz 犯错
ftde 肥头大耳
ftdg 负电
ftdh 赴汤蹈火
ftdj 风带
ftdu 负担
ftdy 饭店
ftdy 风度
fte 饭
fte. 饭
ftet 风儿
ftf 鲋
ftfb 风范
ftfc 犯法
ftfd 翻天覆地
ftfg 风帆
ftfh 凡夫
ftfj 鲋
ftft 狒狒
ftg 负
ftgf 风光
ftgf 负
ftgh 犯规
ftgh 风干
ftgt 饭馆
ftgx 风格
fthb 负荷
fthe 饭后
fthf 饭盒
fthf 风化
fthf 孵化
ftho 风寒
ftht 凤凰
ftj 鲼
ftj/ 风纪
ftjb 鲼
ftjn 饭局
ftjq 风景区
ftjs 风景
ftjx 风景线
ftjy 负疚
ftkg 犯困
ftkl 分庭抗礼
ftl, 风力
ftlc 风浪
ftlc 风流
ftlg 风里
ftlh 风凉话
ftli 饭粒
ftll 风雷
ftls 风量
ftlz 风铃
ftmk 负面
ftmr 风貌
ftmy 风靡
ftn 狒
ftn, 狒
ftp 逢
ftpj 饭票
ftpv 逢
ftq 鳆
ftqh 风琴
ftqi 饭前
ftqo 风情
ftqq 风气
ftqs 鳆
ftqv 风趣
ftr 孵
ftr 风
ftrf 犯人
ftri 孵
ftrq 风土人情
fts/ 风骚
ftsb 风湿病
ftsc 风沙
ftsc 风湿
ftsf 风尚
ftsf 负伤
ftsf 风俗
ftsg 风水
ftsi 负数
ftsj 凡事
ftsj 风声
ftsj 风速
ftsl 凡士林
ftsl 风霜
ftsn 凡属
ftsp 风扇
ftss 凡是
ftsx 风湿性
ftt 凫
fttf 饭堂
fttk 饭厅
ftto 风头
fttv 风土
fttx 饭桶
ftty 风瘫
ftv 凡
ftwk 饭碗
ftwl 风味
ftwq 风物
ftxb 风向标
ftxc 非同寻常
ftxe 风行
ftxj 犯下
