b 不
b;zq 比重
b;zs 比照
ba 北
ba; 辈
ba;j 辈
baa 步
baag 北岸
baax 步
baay 悲哀
bab, 北边
baba 步步
babg 步步高
babq 北半球
babs 步兵师
babt 背包
babw 步兵
baby 北部
baby 背部
baby 北冰洋
bacf 北侧
bacm 辈出
baco 悲惨
bacq 步长
bad 背
bad. 背对
badb 背对背
badh 北戴河
badj 背带
badk 北大
badl 背地里
bado 北斗
badp 步调
badv 背地
badx 北斗星
bae 彪
baec 彪
bafa 北非
bafc 步法
bafe 背反
baff 步伐
bafg 步幅
bafo 悲愤
bafr 辈分
baft 背负
baft 北风
bafu 步阀
bafy 北方
bag. 悲观
bagf 背光
bagg 北国
bagz 悲歌
bah. 悲欢
bahc 北海
bahd 北海道
bahe 背后
bahg 背黑锅
bahj 步话机
bajg 北极光
bajn 悲剧
bajq 北极圈
bajr 北京人
bajs 背景
bajx 北极
bajy 北京
bajz 北京站
bakb 悲苦
bakq 背靠
ball 北路
baln 步履
balx 北麓
baly 背离
baly 悲凉
bam 邶
bami 北美
bamk 背面
bamk 北面
bamo 悲悯
bamu 北门
bamz 北美洲
baok 北欧
bap 悲
bapi 背叛
bapl 北平
bapo 悲
baq; 悲切
baqc 悲泣
baqo 悲情
baqt 背鳍
baqv 背起
baqx 步枪
baqy 背弃
barr 步入
bas/ 背书
basa 背上
basa 北上
basf 悲伤
baso 北宋
basp 背诵
bass 不谙世事
bat 龅
bat 北
batl 悲叹
batn 龅
bato 悲恸
batu 背投
baty 悲痛
baw/ 北纬
bawd 北温带
bawq 北魏
baxe 步行
baxj 悲喜
baxp 背心
baxw 背向
bay/ 北约
bayc 北洋
baym 背阴
bays 背影
baz/ 步骤
bazi 背着
bazm 步子
bazt 北周
bazy 悲壮
bb 薄
bb; 荜
bb;t 芘
bb;t 荜
bbad 苯胺
bbbb 薄薄
bbbk 不卑不亢
bbbx 薄板
bbby 褒贬不一
bbc 菠
bbc, 菠
bbcb 菠菜
bbcj 薄
bbcn 薄层
bbcy 百步穿杨
bbdd 斑斑点点
bbdy 并不等于
bbf 蓓
bbfj 苯酚
bbfl 葆
bbfy 蓓
bbhb 薄荷
bbhh 苯环
bbi 蔽
bbig 蔽
bbj 苯
bbjb 芭蕉
bbjj 苯基
bbjl 变本加厉
bbjp 荸
bbjr 苯
bbjs 比比皆是
bbjs 半壁江山
bbjz 标本兼治
bbk 茇
bbk. 茇
bbks 必不可少
bblb 菠萝
bblb 芭蕾
bblq 薄利
bblw 芭蕾舞
bbm 芭
bbm; 芭
bbmd 薄膜
bbmm 爸爸妈妈
bbmy 蓖麻
bbn 薜
bbnc 薜
bbpw 薄片
bbqb 荸荠
bbqg 遍布全国
bbqo 薄情
bbr 蕃
bbrd 兵败如山倒
bbrn 薄弱
bbrq 蕃
bbs/ 薄纱
bbsj 勃勃生机
bbss 颁布实施
bbt 苞
bbtg 薄田
bbtn 苞
bbtt 蹦蹦跳跳
bbu 菝
bbuk 菝
bbw 萆
bbw 蓖
bbw, 蓖
bbwc 卑鄙无耻
bbwl 薄雾
bbwn 萆
bbwy 步步为营
bbxr 兵不血刃
bby 苄
bbyf 苄
bbyi 蒡
bbyl 彬彬有礼
bbyz 兵不厌诈
bbz/ 薄纸
bbzd 不败之地
bbzj 八拜之交
bbzy 不白之冤
bc 波
bc,g 波
bca 濒
bcaa 濒
bcc; 泊车
bccq 波长
bcdh 波动
bcdn 波导
bcdw 波段
bceb 不辞而别
bceg 波恩
bcfg 波峰
bcgf 波光
bcgm 本草纲目
bcgr 波谷
bcgt 百尺竿头
bchc 渤海
bchg 波黑
bchw 渤海湾
bchx 包藏祸心
bcj 渤
bcjc 滨江
bcjp 渤
bcjt 波及
bckr 病从口入
bcl 灞
bclc 波澜
bclc 波浪
bcli 波兰
bclm 灞
bcls 濒临
bcmj 鞭长莫及
bcnn 泌尿
bco 滨
bco, 滨
bcp 泌
bcpi 泌
bcpp 波谱
bcq 滗
bcqi 滗
bcs 瀑
bcsd 波士顿
bcsj 波斯
bcsj 瀑
bcsl 不出所料
bcsm 补充说明
bcsq 抱残守缺
bcsw 波斯湾
bctc 波涛
bctt 不成体统
bcw 泊
bcw/ 波纹
bcwd 保持稳定
bcwj 浜
bcwn 濞
bcwn 泊
bcwt 濒危
bcxc 别出心裁
bcxh 报仇雪恨
bcxk 不辞辛苦
bcxw 不耻下问
bcy 汴
bcyf 汴
bcyh 濒于
bcyy 波音
bcyz 保持一致
bczc 博采众长
bczj 彼此之间
bczu 波折
bd 胞
bdbl 宝刀不老
bdbs 不打不相识
bdby 百读不厌
bdch 不到长城非好汉
bdcx 不断创新
bddi 胞弟
bdec 背道而驰
bdeq 拔地而起
bdez 不得而知
bdfd 膘肥
bdfh 标点符号
bdfs 表达方式
bdfz 不断发展
bdgj 变得更加
bdgr 病毒感染
bdhs 不到黄河心不死
bdj 脖
bdjm 膘
bdjn 膊
bdjp 脖
bdjq 不断加强
bdjs 博大精深
bdkd 不断扩大
bdkh 遍地开花
bdkn 不大可能
bdky 不但可以
bdlg 布达拉宫
bdls 弊多利少
bdm, 胞妹
bdnl 表达能力
bdo 膑
bdo, 膑
bdqj 不断前进
bdrx 不得人心
bdsh 冰冻三尺非一日之寒
bdsr 不断深入
bdss 不动声色
bdtd 胞胎
bdtg 不断提高
bdtn 胞
bdwl 宝刀未老
bdws 不断完善
bdxl 胞兄
bdxy 北大西洋
bdxz 拔刀相助
bdy 膀
bdyi 膀
bdyl 不得要领
bdyy 棒打鸳鸯
bdzc 不当之处
bdzm 脖子
bdzz 不打自招
be 般
be, 彼
be,g 彼
be; 舭
be;t 舭
beag 彼岸
bebj 避而不见
bebt 避而不谈
beca 彼此
becj 彼此间
bee 舨
bee. 舨
befm 不二法门
begd 贝尔格莱德
belp 舶来品
bels 白俄罗斯
bepj 般配
berb 般若
besk 布尔什维克
bess 彼时
bet. 般
bew 舶
bewn 舶
beyz 避而远之
bf 卜
bfao 保安
bfaz 保安族
bfbd 边防部队
bfbf 伯伯
bfbj 保本
bfbp 便被
bfbu 便把
bfbz 保镖
bfbz 百发百中
bfca 便餐
bfcb 保藏
bfcc 白发苍苍
bfck 保存
bfcl 不费吹灰之力
bfcq 保存期
bfcu 保持
bfcz 保持着
bfd; 便到
bfdf 便当
bfdi 保单
bfdi 便道
bfdk 傍大款
bfdo 保定
bfdq 部分地区
bfdx 百废待兴
bfdy 保底
bfeo 保额
bfet 伴儿
bffd 便服
bffn 保费
bffr 伯父
bfft 便饭
bffz 不法分子
bfgk 倍感
bfgq 保管
bfgy 保管员
bfhc 保护层
bfhf 便会
bfhg 保护国
bfhm 保函
bfhp 保皇派
bfhq 保护区
bfhr 保护人
bfhu 保护
bfhw 保护网
bfi 伴
bfih 伴
bfir 煲
bfj 便
bfj, 倍加
bfj/ 保级
bfjc 保健操
bfjf 保健
bfjh 保监会
bfjn 便
bfjo 保家
bfjp 保健品
bfjq 便笺
bfjr 伯爵
bfju 便捷
bfjx 百废俱兴
bfjy 便将
bfk 佰
bfkg 佰
bfkz 便可
bfl 保
bfl. 堡垒
bfla 保龄
bfld 保留地
bflf 伴侣
bflh 保理
bflp 伴郎
bflq 便利
bflq 保龄球
bfls 保量
bflt 保留
bflx 保
bfly 倍率
bfm, 保姆
bfm/ 伯母
bfmh 伯明翰
bfmn 便民
bfmo 保密
bfmq 便秘
bfn, 伴娘
bfn. 便能
bfns 保暖
bfo 傧
bfo, 傧
bfpa 倍频
bfqb 不分青红皂白
bfqf 保全
bfqr 不乏其人
bfrc 并非如此
bfsc 保湿
bfsd 保守党
bfsf 不分胜负
bfsi 倍数
bfsi 保送
bfsj 便士
bfsm 伴随
bfso 保守
bfsp 便说
bfsq 保税
bfsr 倍受
bfss 便是
bfsz 伴随着
bftt 便条
bftz 膘肥体壮
bfv 堡
bfw 伯
bfwb 变废为宝
bfwc 保温
bfwk 保卫科
bfwm 保卫
bfwn 俾
bfwn 伯
bfwp 保温瓶
bfwq 伴舞
bfws 傍晚
bfwu 便问
bfwz 保卫者
bfxd 保险单
bfxf 保修
bfxg 保险柜
bfxj 保险金
bfxm 保险
bfxq 保修期
bfxs 便携式
bfxt 保鲜
bfxu 便携
bfxw 不法行为
bfxx 保险箱
bfxy 保险业
bfy 倍
bfy. 便以
bfy; 便与
bfyf 保佑
bfyh 便于
bfyi 傍
bfyi 倍
bfyi 保养
bfyj 便要
bfyk 便有
bfyn 便已
bfys 并非易事
bfyy 便衣
bfyy 保育
bfzb 百分之百
bfze 保质
bfzf 保住
bfzf 保值
bfzf 伯仲
bfzh 伴奏
bfzi 伴着
bfzj 保证金
bfzk 便在
bfzm 保障
bfzp 保证
bfzq 保重
bfzr 保证人
bfzs 保证书
bfzt 不法之徒
bfzv 倍增
bfzw 不负众望
bfzy 便装
bfzy 捕风捉影
bg 败
bgba 败北
bgbd 半工半读
bgbg 不尴不尬
bgbj 毕恭毕敬
bgbj 不干不净
bgbq 败笔
bgbs 秉公办事
bgbv 蚌埠
bgcf 宝贵财富
bgcg 罢黜
bgd 崩
bgdd 崩
bgdf 贬低
bgdl 办公大楼
bgdt 不共戴天
bgee 不过尔尔
bgf 贝
bgfg 蝙蝠
bgg/ 败给
bggj 罢工
bggo 罢官
bgh 蚌
bghj 蚌
bghv 败坏
bgj/ 败绩
bgjj 百感交集
bgjm 不甘寂寞
bgjn 败局
bgjz 败家子
bgk 畀
bgkc 崩溃
bgkj 贝壳
bgkp 罢课
bgkx 畀
bglb 败落
bglh 不甘落后
bgli 败类
bglk 崩裂
bgll 败露
bglm 罢了
bgm 岜
bgm; 岜
bgmt 罢免
bgng 睥睨
bgo 髌
bgo, 髌
bgp 蝙
bgpe 崩盘
bgpk 蝙
bgqr 败
bgqx 卑躬屈膝
bgr 贬
bgr. 贬
bgsg 闭关锁国
bgsp 败诉
bgsq 罢手
bgsr 不甘示弱
bgss 兵贵神速
bgsu 贬损
bgsw 悲观失望
bgsy 罢市
bgsy 杯弓蛇影
bgsy 不管三七二十一
bgtj 博古通今
bgtn 败退
bgtv 崩塌
bgv 罢
bgv. 罢
bgw 髀
bgwn 睥
bgwn 髀
bgwx 报告文学
bgxf 罢休
bgxo 败兴
bgyc 贬义词
bgyi 贬义
bgyp 办公用品
bgyq 不顾一切
bgyx 不苟言笑
bgzc 报告指出
bgzf 贬值
bgzf 败仗
bgzj 败者
bgzm 败阵
bgzp 不攻自破
bgzs 闭关自守
bgzy 悲观主义
bh 表
bh, 玻
bh,g 玻
bhb/ 斑驳
bhbc 碧波
bhbh 帮帮
bhbm 不慌不忙
bhbw 表白
bhbw 斑白
bhc; 班车
bhcn 表层
bhcs 保护措施
bhct 表册
bhcy 班次
bhda 斑点
bhdc 表达出
bhdd 变化多端
bhdi 表弟
bhdk 表达
bhdm 帮倒忙
bhds 表达式
bhdy 班底
bhel 不寒而栗
bhes 不欢而散
bhfp 班房
bhg 帮
bhgb 班干部
bhgj 帮工
bhgs 百货公司
bhgx 表格
bhgx 帮
bhgz 表哥
bhhb 班花
bhhf 帮会
bhhy 不怀好意
bhhy 斑痕
bhi 班
bhih 班
bhj, 表姐
bhj/ 班级
bhjj 帮教
bhjq 表决权
bhjt 斑鸠
bhjx 班机
bhjy 表决
bhk 碧
bhkl 碧
bhko 碧空
bhl/ 碧绿
bhl; 班轮
bhlb 碧蓝
bhlc 玻璃窗
bhlg 表里
bhlh 玻璃
bhlh 悲欢离合
bhll 表露
bhlp 玻璃瓶
bhls 辩护律师
bhly 斑斓
bhlz 表链
bhm 邦
bhm, 表妹
bhm/ 斑马
bhm; 耙
bhmc 变幻莫测
bhmh 表面化
bhmj 表面积
bhmk 表面
bhml 兵荒马乱
bhmo 帮忙
bhms 表明
bhmx 斑马线
bhp, 表皮
bhpc 帮派
bhpe 表盘
bhqd 帮腔
bhqf 百花齐放
bhqo 表情
bhqy 表亲
bhr 玢
bhr, 玢
bhrf 帮人
bhsa 班上
bhsc 百货商场
bhsh 表示
bhsj 表述
bhsq 帮手
bhsw 拨号上网
bhsy 表率
bhtk 表态
bhtr 表
bhwc 变幻无常
bhxc 表现出
bhxh 表现
bhxr 帮凶
bhxt 表象
bhxw 表现为
bhxz 表现在
bhy 斑
bhyc 表演
bhyh 碧玉
bhyp 表语
bhyr 斑
bhys 不好意思
bhyu 表扬
bhyy 表意
bhz/ 班组
bhze 表征
bhzg 帮助
bhzh 表彰会
bhzi 帮着
bhzm 班子
bhzn 不惑之年
bhzq 班长
bhzr 班主任
bhzx 帮助下
bhzy 表彰
bi 并
biau 并按
bib, 半边
bibd 并不多
bibh 并不会
bibk 并不
bibn 并不能
bibp 并被
bibs 并不是
bibt 半边天
bibu 并把
biby 弊病
bibz 并不在
bicf 并从
bici 爆炒
bick 并存
bicm 爆出
bicm 迸出
bicp 半成品
bicq 半程
bict 并处
bicv 半场
bid. 并对
bid; 并到
bida 半点
bidd 并得到
bidl 并蒂莲
bidt 半岛
bidt 半导体
bidy 弊端
bif, 爆发
bifa 并非
bifj 半封建
bifm 并附
bifr 半分
bifz 并发症
big; 并轨
bigf 半个
bigg 并购
bigy 半个月
bih 半
bihb 并获
bihf 并会
bihq 并和
bihw 并
bihx 半
bij 炳
bij, 炳
bijd 蹩脚
bije 半径
bijf 半价
bijh 并进
bijj 半截
bijl 并建立
bijo 并举
bijp 并肩
bijs 半决赛
bijt 半角
bijt 半句
bijy 并将
bik 弊
bikl 并口
biko 半空
bikx 弊
bikz 并可
bil 蹩
bila 蹩
bilj 并联
bilk 并列
bill 半路
bilm 爆冷门
bilu 并拢
bily 并立
bim 粑
bim; 粑
bimc 爆满
bimh 爆米花
bimu 憋闷
bimy 并没有
bin. 并能
bing 并能够
binn 半年内
binq 半年
bip 憋
bipj 半票
bipk 爆破
bipk 煸
bipo 憋
bipu 并排
bipv 迸
biq 敝
biqg 并且
biqh 半球
biqj 半期
biqq 憋气
biqr 敝
birp 并让
birr 并入
birs 半日
bis 爆
bisf 并使
bisi 半数
bisj 爆
bisk 半死
bisq 半生
biss 半晌
bisw 半身
bisy 半山腰
bit 鳖
bitf 半途
bitg 鳖
bith 半天
biwh 并未
biwh 并无
biwi 并为
biwm 半文盲
bixe 并行
bixq 爆笑
bixs 半小时
bixw 并向
biy 焙
biy. 并以
biy; 并与
biyc 并以此
biyd 半月
biyg 半圆
biyh 并于
biyi 焙
biyj 并要
biyk 并有
biyn 并已
biyt 并用
biyy 半夜
biz; 并转
bizd 半自动
bizi 爆炸
bizk 并在
bizq 爆竹
bizq 并重
bizw 爆炸物
bizx 爆炸性
bj 本
bj, 勃
bj,v 丙
bj; 甏
bj;. 甏
bjao 本案
bjar 博爱
bjbc 不计报酬
bjbd 兵家必争之地
bjbf 本办法
bjbk 本不
bjbl 半斤八两
bjbl 不即不离
bjbm 不紧不慢
bjbn 笔记本电脑
bjbs 不见不散
bjbs 八九不离十
bjbu 本报
bjbw 本币
bjbx 本报讯
bjby 本部
bjbz 不骄不躁
bjcb 编辑出版
bjck 本厂
bjcq 鞭策
bjcq 鞭笞
bjcr 博彩
bjcs 饱经沧桑
bjcv 本场
bjcx 本村
bjcy 本次
bjde 博得
bjdk 博大
bjdm 本队
bjdn 不减当年
bjdq 本地区
bjdr 本地人
bjdt 北京电视台
bjdu 鞭打
bjdv 本地
bjdw 本单位
bjdx 北京大学
bje 髟
bjec 髟
bjeh 贝加尔湖
bjey 比较而言
bjez 不胫而走
bjf 鞭
bjf, 勃发
bjfd 比较发达
bjfj 鞭
bjfq 不解风情
bjfr 本分
bjfs 饱经风霜
bjfy 丙方
bjfz 比较复杂
bjg 贲
bjgc 本港
bjgf 贲
bjgg 本国
bjgp 本该
bjgs 本公司
bjgx 白驹过隙
bjhe 本行
bjhf 本会
bjhh 保驾护航
bjj 博
bjj/ 本级
bjja 鞴
bjjb 本节
bjjf 本金
bjjn 本届
bjjn 博
bjjo 本家
bjjq 本季
bjjs 不仅仅是
bjjt 鬓角
bjjx 别具匠心
bjjz 不见经传
bjkh 本刊
bjkn 比较困难
bjko 博客
bjkq 本科
bjks 本科生
bjl/ 丙纶
bjl; 本轮
bjlf 本领
bjlh 博览会
bjli 本类
bjll 本来
bjlq 本利
bjls 博览
bjlx 背井离乡
bjly 保加利亚
bjm 邴
bjm; 靶
bjmh 本末
bjmn 本命年
bjmx 比较明显
bjmy 比较满意
bjmz 孛
bjn. 本能
bjnd 本年度
bjnq 本年
bjo 鬓
bjo, 鬓
bjp 逋
bjpi 鞭炮
bjpq 本篇
bjpv 逋
bjqc 比较清楚
bjqj 本期
bjqq 并驾齐驱
bjqs 不计其数
bjqv 勃起
bjqx 不计前嫌
bjqy 不解其意
bjqz 本钱
bjrb 北京日报
bjrc 不仅如此
bjrf 本人
bjrh 伴君如伴虎
bjrl 不绝如缕
bjrq 不近人情
bjrs 本日
bjrt 勃然
bjry 不尽人意
bjrz 本
bjs 醭
bjs/ 本书
bjse 本所
bjsf 北京市政府
bjsh 博士后
bjsi 醭
bjsj 博士
bjsj 本事
bjsj 北京时间
bjsl 比较顺利
bjsp 保健食品
bjss 本是
bjst 本色
bjst 巴基斯坦
bjsw 本身
bjsy 本市
bjt 鹁
bjt. 本台
bjtf 本体
bjtg 本田
bjth 本土化
bjtl 本条例
bjtp 鹁
bjts 别具特色
bjtt 本条
bjtu 鞭挞
bjtv 本土
bjwb 北京晚报
bjwf 本位
bjwg 博物馆
bjwq 博物
bjws 比较完善
bjwu 博闻
bjwy 本文
bjwz 本网站
bjx/ 本乡
bjxc 本溪
bjxg 本县
bjxi 丙烯
bjxj 不拘小节
bjxk 本学科
bjxo 本性
bjxo 博学
bjxp 靶心
bjxt 不尽相同
bjxw 本息
bjxx 本校
bjyc 本源
bjyd 本月
bjye 不绝于耳
bjyg 别具一格
bjyg 不拘一格
bjyi 本义
bjyk 本原
bjym 本院
bjyn 本已
bjyy 本意
bjyy 博弈
bjyy 本应
bjze 本质
bjzi 本着
bjzj 本职
bjzl 必经之路
bjzm 百家争鸣
bjzs 本质上
bjzt 本周
bjzy 本站
bjzy 不解之缘
bjzy 拜金主义
bjzz 并肩作战
bk 百
bk, 夯
bkao 不安
bkar 不爱
bkb 礴
bkb, 不办
bkb; 不比
bkbc 奔波
bkbc 礴
bkbe 百般
bkbf 不便
bkbf 百倍
bkbg 不败
bkbk 不包括
bkbm 不可避免
bkbn 不避
bkbp 不必
bkbs 不必说
bkbt 不备
bkbu 不把
bkbx 百宝箱
bkby 不变
bkc/ 奔驰
bkc; 飙车
bkca 不齿
bkcc 不测
bkcf 不从
bkcg 不超过
bkci 不曾
bkcj 不耻
bkck 不成
bkcl 不吃
bkcm 不出
bkcq 磅秤
bkcw 不成文
bkcy 百次
bkcz 不错
bkd. 不对
bkd; 不到
bkdb 不得不
bkdc 不动产
bkde 不得
bkdf 不但
bkdh 不动
bkdi 不断
bkdj 不多见
bkdk 不大
bkdl 不得了
bkdo 不懂
bkdq 不等
bkds 不但是
bkdt 不多
bkdw 不倒翁
bkdy 百度
bkdy 不得已
bkdy 不低于
bkf 不
bkf, 不妨
bkfb 百分比
bkfc 不法
bkfd 百分点
bkfg 不可分割
bkfl 百分率
bkfm 布防
bkfn 不费
bkfq 不符
bkfr 不乏
bkfs 百分数
bkft 不负
bkfv 奔赴
bkfy 奔放
bkfz 百分之
bkg 布
bkg/ 不给
bkg; 不轨
bkgf 不规范
bkgg 不过关
bkgh 不干
bkgi 不关
bkgj 不过
bkgk 不顾
bkgl 不跟
bkgn 不敢
bkgo 百官
bkgp 不该
bkgq 不管
bkgq 布告
bkgr 不可告人
bkgr 不公
bkgr 泵
bkgs 不过是
bkgt 不够
bkgx 不高兴
bkgx 布
bkgy 不高
bkgz 百
bkh, 不好
bkhb 百花
bkhe 不很
bkhf 不会
bkhh 百合花
bkhj 百花奖
bkho 不慌
bkhq 不可或缺
bkhs 不堪回首
bkhv 不坏
bkhz 不惑
bkj 奔
bkj/ 不经
bkjb 不具备
bkjc 不济
bkjd 不见得
bkjf 不仅
bkjg 不见
bkjh 不仅会
bkjj 不仅仅
bkjk 奔
bkjm 嫑
bkjm 不结盟
bkjn 布局
bkjo 不觉
bkjo 百家
bkjp 不计
bkjq 不久前
bkjr 不尽然
bkjs 布景
bkjt 不解
bkjt 不久
bkjt 不及
bkju 不拘
bkjv 不均
bkjx 不禁
bkjy 不可救药
bkjy 不经意
bkjz 不仅在
bkka 不肯
bkkb 不可不
bkkh 不开
bkkj 不可开交
bkkl 不可抗力
bkkn 不可能
bkko 不愧
bkkq 百科
bkks 不愧是
bkkv 不堪
bkkw 不愧为
bkky 不可以
bkkz 不可
bkl, 不力
bklc 奔流
bklg 百里
bklh 不理
bkli 不料
bkli 布料
bkll 不来
bkln 百灵
bklp 不论
bklq 不利
bkls 不论是
bklw 不例外
bkly 不利于
bklz 布朗族
bkm, 不妙
bkm/ 奔马
bkmb 不明白
bkmc 不满
bkmc 布满
bkmd 百慕大
bkmg 不瞒
bkmi 百米
bkmk 布面
bkml 不灭
bkmm 不可磨灭
bkmo 奔忙
bkms 不明
bkmt 不免
bkmy 不满意
bkmz 不可名状
bkn. 不能
bknb 不能不
bknf 不耐烦
bkng 不能够
bkno 不宁
bknq 百年
bkns 不能说
bknz 不能再
bko 殡
bko, 殡
bkp 碥
bkpd 不平等
bkpf 不平凡
bkph 不平衡
bkpj 不配
bkpk 碥
bkpl 奔跑
bkpo 不怕
bkpz 布匹
bkqc 不清
bkqd 不确定
bkqf 不全
bkqi 不前
bkqj 不求
bkqn 不屈
bkqn 不强
bkqq 不缺
bkqs 百科全书
bkqv 不去
bkqy 不起眼
bkr 砭
bkr, 不忍
bkr, 不如
bkr. 砭
bkrm 不堪入目
bkro 不容
bkrp 不让
bkrs 不认识
bkrt 不然
bkrx 不忍心
bkry 不容易
bkrz 不认真
bksa 不上
bksc 不深
bksd 不少
bksf 布什
bksg 百岁
bksi 不善
bksj 不甚
bksj 奔丧
bksm 别开生面
bkso 不慎
bksp 不说
bksq 不算
bksq 不失
bksr 不受
bkss 不是
bkss 不时
bkst 百色
bksw 不失为
bksx 不堪设想
bksy 不可思议
bksy 不熟
bksy 不少于
bksz 不爽
bkt 飙
bkt. 不通
bktd 奔腾
bktf 不停
bktg 不同
bkth 甭
bktk 不太
bktl 不听
bktn 不退
bkto 奔头
bktp 不谈
bktr 不妥
bktr 飙
bktx 不可推卸
bkty 不同于
bkw 碑
bkw; 百万
bkwd 不稳定
bkwg 不畏
bkwh 不无
bkwh 不外乎
bkwi 不为
bkwn 碑
bkwq 不完全
bkws 不完善
bkwu 不问
bkww 布娃娃
bkwx 不枉
bkwy 不忘
bkx, 百姓
bkx/ 布线
bkxc 不寻常
bkxd 不小
bkxe 不行
bkxf 不信
bkxf 不像
bkxg 不锈钢
bkxh 不喜欢
bkxj 布鞋
bkxl 不需
bkxm 不限
bkxn 不屑
bkxo 不惜
bkxo 不懈
bkxp 不许
bkxr 不相容
bkxv 不幸
bkxw 奔向
bkxx 不想
bkxy 不需要
bky 磅
bky, 不孕
bky. 不予
bkyc 百叶窗
bkyc 不远处
bkyd 不由得
bkyd 不一定
bkyf 百余
bkyg 不应该
bkyh 不远
bkyi 碚
bkyi 磅
bkyj 不要
bkyj 不堪一击
bkyk 不愿
bkyl 不要脸
bkyn 不已
bkyo 不宜
bkyp 不语
bkyq 不要求
bkys 不易
bkyt 不用
bkyx 不允许
bkyy 不应
bkyy 不亚于
bkyy 不可逾越
bkyz 不一致
bkz; 不致
bkza 不止
bkzb 殡葬
bkzc 不正常
bkzd 不知道
bkzf 不住
bkzg 布置
bkzh 不在乎
bkzi 不着
bkzj 不再
bkzk 不在
bkzl 不足
bkzl 不只
bkzm 不可捉摸
bkzq 不知
bkzs 不再是
bkzt 不周
bkzu 不振
bkzv 奔走
bkzy 不准
bkzz 报刊杂志
bl 吧
bl, 跛
bl,g 跛
bl; 吡
bl;t 哔
bl;t 跸
bl;t 吡
blbb 鄙薄
blbc 不理不睬
blbl 不伦不类
blbq 不离不弃
blbr 不冷不热
blbu 别把
blby 表里不一
blc 啵
blc, 啵
blcg 百炼成钢
blcj 半路出家
blcl 别吃
blcq 别称
blct 别处
blcx 兵临城下
bldh 波罗的海
bldi 霸道
bldk 不良贷款
blds 闭路电视
bldw 别的
bldx 薄利多销
bleh 不劳而获
blf 卟
blfq 不良风气
blfy 不良反应
blfz 拨乱反正
blg 蹦
blgf 呗
blgg 别国
blgq 别管
blgx 嘣
blgx 蹦
blhg 不良后果
blhj 兵连祸结
blhl 别号
blhp 跋扈
blj 霸
blja 霸
bljg 别具
bljj 濒临绝境
bljn 哺
bljs 本来就是
bljx 蹦极
blk 跋
blk. 跋
