c 成
cbsg 苍山
cbsj 草酸
cbsj 草
cbsq 成百上千
cbss 菖
cbst 茶色
cbsw 藏身
cbsx 苍松
cbsx 茶树
cbsy 草率
cbsz 赤膊上阵
cbt 葱
cbte 葱
cbtf 草堂
cbtg 草图
cbth 苍天
cbto 蔡
cbwk 茶碗
cbwl 苍白无力
cbwn 草屋
cbx/ 茶乡
cbxc 初步形成
cbxj 草鞋
cbxy 草席
cby 茨
cby, 蔟
cby. 茺
cbyb 草药
cbyb 茶艺
cbyf 萃
cbyg 苍蝇
cbyg 菜园
cbyg 茶园
cbyk 草原
cbyl 茶叶
cbyr 菜肴
cbyt 茨
cbyy 苍鹰
cbz/ 草纸
cbzi 藏着
cbzk 藏在
cbzq 沉不住气
cbzy 茶座
cbzz 成倍增长
cc 测
cc. 澄
cc.e 澄
cc.v 汊
cca 浈
ccag 浈
ccao 淳安
ccbj 愁肠百结
ccbq 参差不齐
ccbq 层出不穷
ccbq 踌躇不前
ccbs 寸草不生
ccbx 财产保险
cccc 沉沉
cccc 潺潺
cccc 澄澈
ccce 沉船
ccdc 沉淀
ccdd 层层叠叠
ccdd 沉甸甸
ccde 测得
ccdf 粗茶淡饭
ccdo 测定
ccdr 楚楚动人
ccdy 沉底
ccew 除此而外
ccf 沧
ccf/ 沧
ccfc 沉浮
ccfm 层次分明
ccg 涔
ccgf 测
ccgx 涔
cch/ 测绘
cchc 沧海
cchh 吃吃喝喝
cchi 淬火
cchk 淳厚
ccj 潮
ccjc 沉浸
ccjg 出厂价格
ccjh 沉静
ccjl 测距
ccjm 沉降
ccjn 漕
ccjo 沉寂
ccjq 沉积
ccjs 潮
ccjw 沉积物
ccjy 重操旧业
ccjy 从长计议
cckl 楚楚可怜
ccku 测控
cclc 沉沦
cclc 潮流
ccld 陈词滥调
cclg 池里
ccls 测量
ccls 潺潺流水
ccls 草草了事
ccm 池
ccmb 池
ccmc 沉没
ccmc 沉湎
ccmf 滁
ccmg 沉默
ccmi 沉迷
ccml 初出茅庐
ccmm 匆匆忙忙
ccmu 沉闷
ccmz 踌躇满志
ccn 潺
ccnc 沉溺
ccnf 插翅难飞
ccnn 吵吵闹闹
ccnt 潺
ccny 沉溺于
cco 淙
ccon 淙
ccp 沉
ccpp 测评
ccpt 沈
ccpt 沉
ccpx 淳朴
ccqc 澄清
ccqq 潮气
ccrr 沉入
ccs. 沧桑
ccsb 测试版
ccsc 潮湿
ccsg 潮水
ccsg 沉睡
ccsg 沉思
ccsp 测试
ccsq 测算
ccss 财产损失
ccsy 测试仪
cctv 池塘
ccty 沉痛
ccwq 沉稳
ccxc 潮汐
ccxm 沉陷
ccxy 唇齿相依
ccy 淳
ccy. 澈
ccy/ 测验
ccyd 蠢蠢欲动
ccyf 淬
ccyg 澶
ccyh 从此以后
ccyh 漕运
ccyk 从长远看
ccyl 沉吟
ccyl 淳
ccyw 除此以外
ccyw 长此以往
ccyy 绰绰有余
cczc 沉渣
cczg 池中
cczi 沉着
cczj 沉醉
cczl 成才之路
cczm 池子
cczq 沉重
cczs 沧州市
cczw 除此之外
cczy 沉醉于
cd 尘
cd, 肠
cd,c 肠
cdav 尘埃
cdbt 程度不同
cdby 长短不一
cdcc 尺短寸长
cddi 肠道
cdf 脞
cdff 脞
cdfv 尘封
cdfx 承担风险
cdfz 重蹈覆辙
cdgv 尘垢
cdgz 肠梗阻
cdh 腠
cdhk 腠
cdi 塍
cdih 塍
cdjj 彻底解决
cdjy 初等教育
cdmd 柴达木盆地
cdqc 财大气粗
cdrn 脆弱
cdsc 尘沙
cdsj 尘世
cdt 脆
cdtk 脆
cdtv 尘土
cdv 尘
cdwg 肠胃
cdwl 尘雾
cdwl 此地无银三百两
cdxo 脆性
cdy 膪
cdyi 肠炎
cdyi 膪
cdzm 肠子
cdzx 赤胆忠心
ce 船
ce; 彻
ce;, 彻
ceb, 惩办
cebe 船舶
cebw 充耳不闻
cece 船舱
ceck 船厂
cect 惩处
cedm 船队
cedy 彻底
cef 舱
cef/ 舱
cefe 出尔反尔
cefg 惩罚
cefh 船夫
cefw 徜
cefx 惩罚性
ceg 徂
cegh 徂
cegj 船工
cej 斥
cejn 艚
cejv 斥
cejz 惩戒
cejz 舡
cekj 船壳
cekl 舱口
cemu 舱门
ceng 舱内
cep 惩
cepj 船票
cepo 惩
cesa 船上
cesw 船身
cetf 船体
cetl 船
ceto 船头
cewc 超额完成
cewf 舱位
cewn 船尾
cewv 船坞
cex 彳
cexe 船舷
cexj 差额选举
cey 艟
ceye 徜徉
ceyh 船运
ceyi 艟
ceyl 船员
ceys 惩恶扬善
ceyy 彻夜
cezc 惩治
cezh 斥责
cezl 船只
cezq 船长
cezy 船主
cf 从
cf/ 仓
cfb, 创办
cfb/ 创编
cfbk 从不
cfbl 储备粮
cfbl 储备量
cfbp 传遍
cfbr 创办人
cfbt 储备
cfbt 常备
cfbu 传播
cfca 从此
cfcb 储藏
cfcf 常常
cfcf 催促
cfcf 仓促
cfcf 仓储
cfck 储存
cfck 促成
cfcl 常吃
cfcm 传出
cfcm 传承
cfct 仓猝
cfcy 催产
cfd; 传到
cfde 常德
cfdh 传动
cfdi 传递
cfdi 传单
cfdk 传达
cfdn 倡导
cfdn 传导
cfdq 仇敌
cfds 传达室
cfdy 春风得意
cfdz 倡导者
cfej 侧耳
cfek 从而
cfes 从而使
cff 偿
cff 从
cff/ 伧
cfff 偿付
cffh 充分发挥
cffp 仓房
cffr 偿
cfft 从犯
cffw 倘
cffy 充分反映
cfg 常
cfg/ 传给
cfgf 侧
cfgh 常规
cfgk 传感
cfgq 传感器
cfgx 催
cfgx 常
cfh 传
cfh. 尝
cfh. 传
cfhc 创汇
cfhf 伺候
cfhf 催化
cfhg 传回
cfhj 催化剂
cfhk 偿还
cfhk 俦
cfhl 传呼
cfho 仇恨
cfhp 储户
cfhw 仓皇
cfhy 春风化雨
cfj/ 传经
cfjb 常见病
cfjf 从今
cfjg 常见
cfjh 促进
cfjj 仓颉
cfjj 传教
cfjn 创建
cfjo 创举
cfjo 仇家
cfjp 从军
cfjp 侧记
cfjq 从简
cfjq 藏风聚气
cfjs 传教士
cfjt 从句
cfjx 伺机
cfjy 创建于
cfkd 充分肯定
cfkh 创刊
cfkh 传开
cfkh 敞开
cfkh 丛刊
cfkj 催款
cfkl 充分考虑
cfko 常客
cfkq 传看
cfky 仓库
cfl 促
cfla 促
cflf 传令
cflh 常理
cfll 从来
cfll 传来
cflp 从良
cflq 创利
cfls 常量
cfls 储量
cflx 丛林
cfly 创立
cfly 充分利用
cfm, 传媒
cfmf 偿命
cfmf 从命
cfmg 催眠
cfmg 侧目
cfmk 侧面
cfmk 创面
cfmm 春风满面
cfmq 催眠曲
cfmu 侧门
cfmy 侈靡
cfn 伺
cfn. 储能
cfnl 伺
cfnq 常年
cfp 储
cfpf 雠
cfpj 传票
cfpj 储
cfpl 乘风破浪
cfq 敞
cfq. 伥
cfq; 从轻
cfq; 氅
cfqc 偿清
cfqh 传球
cfqh 常青
cfqi 从前
cfqk 传奇
cfqo 常情
cfqo 传情
cfqr 敞
cfqv 常去
cfrb 传染病
cfrc 传染
cfrf 常任
cfro 从容
cfrr 传入
cfrs 充分认识
cfru 传热
cfrx 传染性
cfs 创
cfs, 创始
cfs/ 丛书
cfs; 传输
cfsc 促生产
cfsd 从师
cfsf 促使
cfsf 创伤
cfsg 常山
cfsi 传送
cfsi 常数
cfsj 从事
cfsm 创收
cfsn 从属
cfsp 常识
cfsp 尝试
cfsp 传说
cfsp 传神
cfsp 仇视
cfsq 催生
cfsq 丛生
cfsr 创始人
cfsr 传颂
cfss 倡
cfsu 传授
cfsw 侧身
cfsx 传输线
cfsy 从商
cft 仇
cft/ 传统
cfti 侈
cftk 常态
cfto 从头
cfto 傺
cftp 催讨
cfts 超凡脱俗
cftx 充分体现
cfty 创痛
cfwc 常温
cfwh 从未
cfwi 传为
cfwj 侧卧
cfwq 常委
cfwt 常务
cfwu 传闻
cfxb 储蓄
cfxd 从小
cfxf 传信
cfxg 创新高
cfxj 创下
cfxp 传讯
cfxs 储蓄所
cfxy 创新
cfxz 促销
cfxz 传销
cfxz 冲锋陷阵
cfy 侪
cfyb 传艺
cfyf 创优
cfyf 从优
cfyh 隹
cfyj 从严
cfyk 常有
cfyl 创一流
cfyp 倡议
cfyr 侪
cfys 创业
cfys 从业
cfys 淳风优俗
cfyt 常用
cfyu 传扬
cfyu 传阅
cfyy 创意
cfyy 传言
cfyz 创业者
cfz 丛
cfz/ 常驻
cfzc 创造出
cfzd 侧重点
cfzf 创作
cfzg 从中
cfzi 常州
cfzj 传真
cfzj 从政
cfzj 传真机
cfzk 常在
cfzl 创造力
cfzq 创造
cfzq 侧重
cfzq 创制
cfzx 创造性
cfzy 侧重于
cfzz 创造者
cg 财
cg, 畅
cg,c 畅
cg. 蛏
cg.k 黪
cg.v 蛏
cgbd 才高八斗
cgbo 财宝
cgbq 崇拜
cgcg 蟾蜍
cgcq 财产权
cgcy 财产
cgdj 从古到今
cgf 崔
cgfh 蜍
cgfo 财富
cgfp 岑
cgfr 瞠
cgfw 出国访问
cgfy 崔
cgg/ 赐给
cggy 崇高
cgh 畴
cghk 帱
cghk 畴
cghk 蝽
cgho 虫害
cgi 蝉
cgig 蝉
cgih 嵯
cgj 虫
cgj/ 财经
cgjb 崇敬
cgjb 串
cgjc 财
cgjd 成果鉴定
cgjg 瞅见
cgjj 赐教
cgjn 螬
cgjy 成功经验
cgjz 虫
cgkc 出国考察
cgkf 财会
cgkl 串口
cgko 畅快
cgl, 财力
cglj 蝉联
cglj 串联
cglx 陈规陋习
cgm 黜
cgmg 黜
cgmm 春光明媚
cgmt 财贸
cgmu 串门
cgo 崇
cgon 崇
cgp 遄
cgpv 遄
cgq 瞅
cgqd 瞅
cgqx 财权
cgr 睬
cgri 睬
cgs 赐
cgsc 春耕生产
cgsf 崇尚
cgsp 财神
cgsq 财税
cgst 赐
cgsy 财神爷
cgsz 出国深造
cgt 蟾
cgt. 畅通
cgt. 串通
cgtg 财团
cgti 眵
cgtk 蟾
cgtp 畅谈
cgwb 财务部
cgwc 财务处
cgwk 财务科
cgwq 财物
cgwt 财务
cgwy 崇文
cgxe 串行
cgxe 畅行
cgxf 畅叙
cgxm 财险
cgxs 畅销书
cgxx 畅想
cgxz 畅销
cgy 幢
cgy. 赐予
cgyc 财源
cgyc 畅游
cgyh 财运
cgyi 幢
cgyr 螭
cgyt 畅饮
cgzb 财政部
cgzg 虫蛀
cgzi 瞅着
cgzj 财政
cgzl 成功之路
cgzm 虫子
cgzo 虫灾
cgzp 崇祯
cgzt 财政厅
cgzy 财主
ch 春
cha 璨
chat 璨
chbl 残花败柳
chbq 蠢笨
chbu 春播
chcb 春茶
chch 璀璨
chck 诚惶诚恐
chcv 春城
chcz 才华出众
chd 耖
chdd 春回大地
chdi 耖
chdj 趁火打劫
chds 长话短说
chdz 蚕豆
chft 春风
chg 蠢
chgf 春光
chgh 春耕
chgj 蚕
chgj 蠢
chgx 璀
chhb 春花
chhl 沧海横流
chhs 春晖
chhy 才华横溢
chjb 春节
chjb 蚕茧
chjq 春季
chlj 春联
chll 春雷
chlq 春寒料峭
cho 琮
chon 琮
chp 琛
chpr 琛
chqq 春秋
chqs 春华秋实
chqy 春花秋月
chrs 春日
chs 春
chs. 蚕桑
chs/ 蚕丝
chsf 蚕食
chsg 春水
chsj 蠢事
chsq 春笋
chst 春色
chst 沧海桑田
chth 春天
chtn 冲昏头脑
chw 舂
chw, 璁
chw; 舂
chwl 吃喝玩乐
chwq 蠢物
chx 亍
chxc 超乎寻常
chxk 春夏
chxm 春小麦
chyb 春药
chyc 春游
chyg 蚕蛹
chyh 春运
chyj 春雨
chyl 出乎意料
chys 沧海一粟
chyy 春意
chzj 此话怎讲
chzl 吹灰之力
chzy 春装
ci 差
ci/ 兹
ci/p 兹
cia 焯
ciar 慈爱
cias 焯
ciba 慈悲
cibd 差不多
cibi 糍粑
cibl 差别
cibp 曾被
cicb 炒菜
cicc 差池
cici 粗糙
cicz 差错
cid 炒
cida 差点
cide 差点儿
cidi 炒
cidk 粗大
cieo 差额
cifr 差分
cify 粗放
cig 粗
cigd 炒股
cigh 单
cigh 粗
cigt 粗犷
cigx 灿
cihc 粗活
cihp 粗话
cii 糍
cii; 糍
cij. 差劲
cij/ 曾经
cijf 差价
cijg 炊具
cijl 差距
cijz 差
cil 炽
cilf 差旅费
cilg 粗略
cili 灿烂
cili 粗粮
cilk 炽烈
cilr 炽
cilt 粗鲁
cim/ 慈母
cimi 糙米
cimk 炒面
cin 冁
cinq 冁
cip 慈
cipo 慈
ciq 糙
ciqa 糙
ciqc 粗浅
ciqg 差遣
cirf 曾任
ciru 炽热
cis 曾
cisb 炊事班
cisc 粗沙
cisf 粗俗
cisi 慈善
cisj 差事
ciss 曾是
cisy 炊事员
cit 炊
citf 炊
citp 鹚
ciwi 曾为
cix/ 粗细
cixc 慈溪
cixp 粗心
cixp 慈祥
cixt 粗线条
ciy 粹
ciy. 曾以
ciy; 曾与
ciyd 差一点
ciye 差役
ciyf 粹
ciyg 粗野
ciyh 单于
ciyi 炊烟
ciyk 曾有
ciym 曾用名
ciyn 差异
ciyt 曾用
ciyx 差异性
ciyy 炒鱿鱼
cizf 炒作
cizf 差值
cizk 曾在
cizq 粗重
cizy 粗壮
cj 刺
cj. 翅
cj.; 翅
cja 耻
cjaa 耻
cjba 寸步
cjbd 翅膀
cjbh 才不会
cjbo 酬宾
cjbp 才被
cjbu 才把
cjc 才
cjcf 才从
cjcm 刺出
cjco 刺穿
cjcu 曹操
cjcx 初见成效
cjd 朝
cjd, 刺刀
cjd. 才对
cjd; 才到
cjdf 朝代
cjdg 超级大国
cjdo 裁定
cjdq 长江大桥
cjeb 纯净二笔
cjeg 擦肩而过
cjej 刺耳
cjf/ 裁缝
cjfd 臣服
cjfr 成绩斐然
cjfx 才发现
cjg/ 才给
cjgg 刺骨
cjgh 才干
cjgm 初具规模
cjgn 才敢
cjgt 才够
cjh, 才好
cjhf 才华
cjhf 才会
cjhh 聪慧
cjhp 持久和平
cjhs 曾几何时
cji 聪
cjil 聪
cjiu 酬
cjj 醋
cjja 醋
cjjc 刺激
cjjd 初级阶段
cjjf 酬金
cjjg 矗
cjji 裁剪
cjjj 促进经济
cjjl 才叫
cjjp 裁军
cjjx 刺激性
cjjy 裁减
cjjy 裁决
cjjy 重建家园
cjka 才肯
cjkn 才可能
cjko 刺客
cjkt 吃尽苦头
cjky 才可以
cjkz 才可
cjl 酲
cjlb 酬劳
cjlg 才略
cjlh 酲
cjlj 超级链接
cjll 才来
cjly 长江流域
cjly 矗立
cjmg 刺目
cjmn 臣民
cjmr 才貌
cjms 聪明
cjn 臣
cjn, 才女
cjn. 才能
cjng 才能够
cjnx 臣
cjpi 裁判
cjpk 刺破
cjpy 裁判员
cjq 敕
cjqa 酢
cjqh 刺青
cjqq 才气
cjqr 敕
cjqv 才去
cjqy 才尽其用
cjrh 惨绝人寰
cjrk 耻辱
cjrm 草菅人命
cjrp 才让
cjrx 出将入相
cjs 曹
cjs 刺
cjsb 传经送宝
cjsc 促进生产
cjsf 刺伤
cjsg 刺史
cjsh 成吉思汗
cjsj 醋酸
cjsk 刺死
cjsp 才识
cjsq 才算
cjsq 触景生情
cjsr 刺杀
cjss 才是
cjsx 长江三峡
cjsy 长江上游
cjsz 长江三角洲
cjtr 重见天日
cjtv 寸土
cjty 朝庭
cjty 刺痛
cjtz 醋坛子
cjv 寸
cjwt 刺猬
cjx/ 刺绣
cjxe 才行
cjxo 才学
cjxp 酬谢
cjxq 耻笑
cjxt 朝鲜
cjy 醇
cjyb 才艺
cjyh 从今以后
cjyj 才要
cjyk 才有
cjyl 裁员
cjyl 醇
cjyt 裁
cjyx 辞旧迎新
cjzb 传家之宝
cjzd 才知道
cjzj 长久之计
cjzm 才子
cjzm 臣子
cjzq 才智
cjzs 寸照
ck 厂
ck. 碜
ck.k 碜
ck/c 成
ck; 砗
ck;j 砗
ckah 残奥会
ckb 礤
ckbf 成倍
ckbg 成败
ckbj 成本
ckbt 礤
ckbw 残兵
ckby 残部
ckby 厂部
ckca 唇齿
ckcf 存储
ckcg 成虫
ckch 出口创汇
ckcj 成才
ckck 残存
ckcp 出口产品
ckcq 存储器
ckcr 唇彩
ckcv 磁场
ckcx 成材
ckcz 出口成章
ckd. 成对
ckda 参考答案
ckdf 存贷
ckdh 插科打诨
ckdi 存单
ckdj 成都
ckdj 磁带
ckdk 存贷款
ckds 成都市
ckdv 成堆
ckdx 存档
ckfb 成反比
ckfp 厂房
ckfp 厨房
ckfr 成分
ckft 成风
ckfy 残废
ckfy 存放
ckfy 厂方
ckfy 盛放
ckg 厕
ckgf 厕
ckgg 成果
ckgh 殂
ckgj 成功
ckgl 成功率
ckgs 盛
ckgx 存根
ckgy 唇膏
ckh 残
ckh, 辰
ckh, 成婚
ckh, 残
ckhc 存活
ckhc 成活
ckhf 磁化
ckhf 存货
ckhg 残骸
ckhl 成活率
ckho 残害
cki 磁
cki; 磁
ckih 磋
ckj 厝
ckj/ 成绩
ckja 厝
ckjd 成绩单
ckje 成交额
ckjg 成见
ckjl 成交量
ckjn 残局
ckjo 厂家
ckjo 成家
ckjr 残疾人
ckjx 磁极
ckjy 成就
ckjy 残疾
ckjy 成交
ckke 存款额
ckkj 残酷
ckkj 存款
ckkk 厂矿
ckkv 成块
ckl 唇
ckl, 磁力
ckla 蹙
cklg 厂里
cklh 成立后
cklj 残联
cklk 成龙
ckls 存栏数
cklt 残留
cklx 摧枯拉朽
cklx 存栏
ckly 成立
ckm 存
ckmg 础
ckmt 成名
ckmy 出口贸易
ckmz 存
ckn. 磁能
cknl 吃苦耐劳
cknq 成年
cknr 成年人
ckpe 磁盘
ckpe 存盘
ckpj 磁偏角
ckpk 残破
ckpl 成品
ckpu 成批
ckpw 成片
ckpy 成品油
ckqf 成全
ckqj 存取
ckql 成器
ckqn 成群
ckqq 残缺
ckqy 成亲
ckqz 存钱
ckqz 厂区
ckr, 残忍
ckrf 成人
ckrr 存入
cks. 成双
cksd 厨师
ckse 厕所
cksk 磁石
cksp 出口商品
cksq 唇舌
cksr 残杀
ckst 成色
cksu 残损
cksy 成熟
cksy 厂商
cksy 磋商
cktf 磁体
ckth 成天
cktk 成套
ckto 磁头
cktz 磁铁
ckwi 成为
ckwt 成问题
ckwy 存亡
ckx 碴
ckx/ 存续
ckxe 成行
ckxf 成像
ckxf 磁悬浮
ckxh 成型
ckxo 磁性
ckxp 存心
ckxq 磁选
ckxs 碴
ckxx 参考消息
ckxy 成效
ckyb 成荫
ckyf 残余
ckyg 成因
ckyg 成员国
ckyk 存有
ckyl 成员
ckyp 成语
ckyt 存疑
ckyy 成瘾
ckz 厨
ckzb 成正比
ckzc 残渣
ckzg 存贮
ckzj 成真
ckzk 存在
ckzl 厨
ckzm 厂子
ckzm 厨子
ckzo 成灾
ckzq 成长
ckzq 厂长
ckzu 存折
ckzv 厂址
ckzx 成长性
ckzy 存在于
ckzz 存在着
cl 吹
cl. 啜
cl.. 啜
cla 呲
claa 呲
clas 踔
clb 躇
clbc 出类拔萃
clbj 躇
clbq 查漏补缺
clbt 吃饱
clbu 呈报
clbx 川流不息
clbz 吃不准
clcb 吃菜
clcj 吃醋
clcl 踌躇
clcm 吃出
clcp 唱词
clcw 常来常往
cld 吵
cld; 吃到
clda 吃点
clde 吃得
cldh 吹动
cldi 呈递
cldi 吵
cldk 吃得开
cldn 初露端倪
cldu 吃掉
cldw 唱段
cldz 层峦叠嶂
clfh 吹风会
clfj 吹风机
clfm 初露锋芒
clfp 嘲讽
clft 吃饭
clfu 吹拂
clg 喘
clga 踹
clga 喘
clgj 吃过
clgo 嗔怪
clgs 吹鼓手
clgz 唱歌
clh 呈
clha 呈
clhk 踌
clhl 吃喝
cli 蹭
clig 噌
clig 蹭
clih 蹉
clj 嘲
clj, 吵架
cljg 嗔
cljh 吃进
cljn 嘈
cljo 吃惊
cljs 吃紧
cljs 嘲
cljx 唱机
clk 蹰
clkb 吃苦
clkh 吃亏
clkt 吃苦头
clkx 乘龙快婿
clkz 蹰
cll, 吃力
cllb 吃老本
clli 吃粮
clll 吹来
clm 嗤
clma 嗤
clml 吹灭
clmy 从来没有
cln, 吃奶
cln. 逞能
clnh 嘲弄
clnl 处理能力
clnp 吹牛皮
clnq 吹牛
clnu 吵闹
clo 蹿
clo, 嚓
clo, 蹿
clp 逞
clpe 唱盘
clpj 唱票
clpt 触类旁通
clpu 吹捧
clpv 逞
clpw 唱片
clq 吃
clqb 吃
clqc 啜泣
clqd 唱腔
clqk 踟
clqn 逞强
clqp 吃请
clqq 喘气
clqq 吹气
clr 踩
clrg 吃肉
clri 踩
clrl 吵嚷
cls 唱
clsa 吃上
clsg 吃水
clsh 吃素
clsh 呈示
clsj 嘬
clsl 吹哨
clss 唱
clt 叱
cltf 吹
cltj 初露头角
cltl 蹉跎
cltq 吃透
cltz 垂帘听政
clv 哧
clvw 哧
clwh 藏龙卧虎
clwl 财力物力
clwo 吃完
clx 喳
clx. 唱戏
clxc 呈现出
clxf 吃闲饭
clxh 呈现
clxj 吵醒
clxl 吹嘘
clxq 嘲笑
clxq 吃香
clxr 逞凶
clxs 喳
clxw 喘息
cly 啐
clyb 吃药
clyf 啐
clyl 蹴
clyq 吃一堑
clyw 躔
clyz 错落有致
clzd 初来乍到
clzf 吃住
clzh 吹奏
clzi 吃着
clzj 唱主角
clzl 吵嘴
clzl 叱咤
clzt 嘈杂
clzv 吹走
cm 出
cm; 陈
cm;d 陈
cmb, 承办
cmbf 承保
cmbg 丑八怪
cmbj 出版界
cmbk 出殡
cmbr 承包人
cmbs 出版社
cmbt 承包
cmbw 出版
cmbw 出兵
cmbx 出榜
cmby 沉默不语
cmby 出版业
cmbz 愁眉不展
cmca 除此
cmcb 除草
cmcd 除尘
cmcg 出成果
cmci 出差
cmcj 出厂价
cmck 出厂
cmcm 出丑
cmcp 陈词
cmcr 出彩
cmct 出处
cmcu 出操
cmcv 出场
cmcy 出产
cmcz 出错
cmde 承德
cmdf 承当
cmdh 出动
cmdi 承兑
cmdq 承担起
cmdu 承担
cmdu 除掉
cmej 丑恶
cmf 除
cmf, 出发
cmfa 除非
cmfc 除法
cmfd 出发点
cmfh 除
cmfp 出访
cmft 出风头
cmfy 陈腐
cmg 蚩
cmg; 出轨
cmgc 出港
cmgf 出个
cmgg 出国
cmgh 陈规
cmgj 出工
cmgj 蚩
cmgu 出阁
